aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,CENTRAL HIDROELECTRICA PACARENCA,15/05/1996,Energético,Superficial,Licencia,Río,PATIVILCA,1.08864e+07,0035-1996 AG-UAD.LC/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0035-1996-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO CHAVIN S.A.,18/10/2002,Poblacional,Superficial,Licencia,Río,PATIVILCA,600000,0235-2002 AG-DRA.LC/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0235-2002-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO CHAVIN S.A.,18/10/2002,Poblacional,Superficial,Licencia,Quebrada,MISHAY,410000,0236-2002 AG-DRA.LC/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0236-2002-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,HIDRANDINA S.A.,05/01/2005,Energético,Superficial,Licencia,Río,PATIVILCA,4.35456e+07,0001-2005 AG-DRA.LC/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0001-2005-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,HIDRANDINA S.A.,05/01/2005,Energético,Superficial,Licencia,Río,PATIVILCA,0,0001-2005 AG-DRA.LC/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0001-2005-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,MUNICIPALIDAD DISTRITAL DE HUAYLLACAYAN,26/10/2005,Poblacional,Superficial,Licencia,Manantial,PUMAPAYACUN,31536,0193-2005 AG-GRL.DRA.L/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0193-2005-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMPAÑIA MINERA SANTA LUISA S.A.,30/01/2006,Minero,Superficial,Licencia,Quebrada,OGOCUTA,37843.2,0008-2006 AG-GRL.DRA.L/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0008-2006-03.pdf,UTM 8871043N 286748E,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMPAÑIA MINERA SANTA LUISA S.A.,30/01/2006,Poblacional,Superficial,Licencia,Quebrada,SOCLLAPATA,3153.6,0009-2006 AG-GRL.DRA.L/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0009-2006-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,ICM PACHAPAQUI S.A.C.,21/07/2006,Energético,Superficial,Licencia,Río,PICHARAGRA,9.4608e+07,0119-2006 AG-GRL.DRA.L/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0119-2006-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,ICM PACHAPAQUI S.A.C.,21/07/2006,Energético,Superficial,Licencia,Río,PICHARAGRA,0,0119-2006 AG-GRL.DRA.L/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0119-2006-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,EMPRESA MINERA ICM PACHAPAQUI S.A.C.,21/07/2006,Minero,Superficial,Licencia,Quebrada,HUISHCASH,378432,0120-2006 AG-GRL.DRA.L/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0120-2006-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,ICM PACHAPAQUI S.A.C.,21/07/2006,Poblacional,Superficial,Licencia,Quebrada,HUISHCASH,3153,0121-2006 AG-GRL.DRA.L/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0121-2006-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,EMPRESA MINERA ICM PACHAPAQUI S.A.C.,21/07/2006,Energético,Superficial,Licencia,Río,PATIVILCA,6.3072e+07,0122-2006 AG-GRL.DRA.L/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0122-2006-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,ICM PACHAPAQUI S.A.C.,11/06/2008,Minero,Superficial,Licencia,Quebrada,TUNACANCHA,0,0497-2008 INRENA-IRH,http://file2.ana.gob.pe/dir_rada/16/16-RI-0497-2008-03.pdf,UTM PSAD56 8900144N 271086E ,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,ICM PACHAPAQUI S.A.C.,11/06/2008,Minero,Superficial,Licencia,Quebrada,HUICUSH,0,0497-2008 INRENA-IRH,http://file2.ana.gob.pe/dir_rada/16/16-RI-0497-2008-03.pdf,UTM PSAD56 8899328N 272017E,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE AQUIA,12/12/2013,Agrario,Superficial,Licencia,Quebrada,,125222.11,0771-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0771-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE AQUIA,12/12/2013,Agrario,Superficial,Licencia,Quebrada,,430281.02,0773-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0773-2013-04.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE AQUIA,12/12/2013,Agrario,Superficial,Licencia,Quebrada,,202720.94,0774-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0774-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE AQUIA,16/12/2013,Agrario,Superficial,Licencia,Quebrada,,692462.62,0850-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0850-2013-04.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO YUMPE,18/12/2013,Poblacional,Superficial,Licencia,Filtración,,38171.7,0865-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0865-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE LLAMAC,18/12/2013,Agrario,Superficial,Licencia,Río,,163710.2,0874-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0874-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,MUNICIPALIDAD DISTRITAL DE ANTONIO RAYMONDI - RAQUIA,18/12/2013,Poblacional,Superficial,Licencia,Quebrada,,4174.94,0879-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0879-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE LLAMAC,12/12/2013,Agrario,Superficial,Licencia,Río,,203083.89,0881-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0881-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE LLAMAC,18/12/2013,Agrario,Superficial,Licencia,Río,,100689.4,0886-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0886-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE LLAMAC,18/12/2013,Agrario,Superficial,Licencia,Río,,101488.52,0888-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0888-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,"QUIROZA LARA DE ROJAS, MARIA TERESA / ROJAS LUIS, LORENO HUGO",18/12/2013,Agrario,Superficial,Licencia,Río,SUPE,6772.68,0889-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0889-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,"QUIROZA LARA DE ROJAS, MARIA TERESA / ROJAS LUIS, LORENO HUGO",18/12/2013,Agrario,Superficial,Licencia,Río,SUPE,0,0889-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0889-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE CAJACAY,23/12/2013,Agrario,Superficial,Licencia,Quebrada,,561113.85,0936-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0936-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE LLAMAC,23/12/2013,Agrario,Superficial,Licencia,Río,,719075.23,0937-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0937-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE CAJACAY,23/12/2013,Agrario,Superficial,Licencia,Quebrada,,806124.65,0938-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0938-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,MUNICIPALIDAD DISTRITAL DE MANGAS,23/12/2013,Poblacional,Superficial,Licencia,Quebrada,,68433.12,0939-2013 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0939-2013-03.pdf,,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE CHAMAS,08/01/2014,Agrario,Superficial,Licencia,Manantial,,104717,0001-2014 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0001-2014-03.pdf,LAT-10.3899/LON-77.1357,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE MANGAS,09/02/2014,Agrario,Superficial,Licencia,Manantial,,62704.8,0016-2014 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0016-2014-03.pdf,LAT-10.339/LON-77.132,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE MANGAS,13/01/2014,Agrario,Superficial,Licencia,Manantial,,82846,0025-2014 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0025-2014-03.pdf,LAT-10.3529/LON-77.1238,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE NANIS,17/02/2013,Agrario,Superficial,Licencia,Manantial,,172369,0155-2014 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0155-2014-03.pdf,LAT-10.3831/LON-77.1363,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE MANGAS,18/02/2014,Agrario,Superficial,Licencia,Quebrada,,162778,0209-2014 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0209-2014-03.pdf,LAT-10.354/LON-77.1166,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE PACLLON,19/02/2014,Agrario,Superficial,Licencia,Manantial,,655432.44,0216-2014 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0216-2014-03.pdf,LAT-10.2324/LON-77.0821,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE PACLLON,12/03/2014,Agrario,Superficial,Licencia,Quebrada,,475522.6,0477-2014 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0477-2014-03.pdf,LAT-10.2367/LON-77.0694,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE PACLLON,12/03/2014,Agrario,Superficial,Licencia,Río,,240846.91,0478-2014 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0478-2014-03.pdf,LAT-10.2227/LON-77.0762,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE PACLLON,12/03/2014,Agrario,Superficial,Licencia,Río,,52233.47,0479-2014 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-0479-2014-03.pdf,LAT-10.2028/LON-77.1046,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE GORGORILLO,11/11/2014,Agrario,Superficial,Licencia,Quebrada,TAYAS,252021.61,1317-2014 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1317-2014-07.pdf,LAT-10.3347/LON-77.123,Sierra
Cañete Fortaleza,Barranca,Áncash,Bolognesi,ANCASHBOLOGNESI,COMUNIDAD CAMPESINA DE GORGORILLO,11/11/2014,Agrario,Superficial,Licencia,Quebrada,TUPUHUAIN,614800.21,1317-2014 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1317-2014-07.pdf,LAT-10.3281/LON-77.1238,Sierra
