aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,ALCALDE PROVINCIAL DE CORONGO,06/08/2004,Poblacional,Superficial,Licencia,Manantial,CANTA GALLO,0,0377-2004 AG.DR-ANCASH/DRHz/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0377-2004-02.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,ALCALDE PROVINCIAL DE CORONGO,06/08/2004,Poblacional,Superficial,Licencia,Manantial,SAUCE,283824,0377-2004 AG.DR-ANCASH/DRHz/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0377-2004-02.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,ALCALDE PROVINCIAL DE CORONGO,06/08/2004,Poblacional,Superficial,Licencia,Manantial,QUISHUAR,0,0377-2004 AG.DR-ANCASH/DRHz/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0377-2004-02.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,ALCALDE DISTRITAL LA PAMPA,06/08/2004,Poblacional,Superficial,Licencia,,,126144,0378-2004 AG.DR-ANCASH/DRHz/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0378-2004-02.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS COYLLORCOCHA,18/06/2010,Agrario,Superficial,Licencia,Río,,7.86574e+06,0438-2010 ANA-ALA-HUARAZ,http://file2.ana.gob.pe/dir_rada/14/14-RA-0438-2010-03.pdf,LAT-8.69978/LON-77.9002,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS COYLLORCOCHA,18/06/2010,Agrario,Superficial,Licencia,Puquio,,0,0438-2010 ANA-ALA-HUARAZ,http://file2.ana.gob.pe/dir_rada/14/14-RA-0438-2010-03.pdf,LAT-8.69978/LON-77.9002,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS COYLLORCOCHA,18/06/2010,Agrario,Superficial,Licencia,Puquio,,0,0438-2010 ANA-ALA-HUARAZ,http://file2.ana.gob.pe/dir_rada/14/14-RA-0438-2010-03.pdf,LAT-8.69978/LON-77.9002,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS COYLLORCOCHA,18/06/2010,Agrario,Superficial,Licencia,Puquio,,0,0438-2010 ANA-ALA-HUARAZ,http://file2.ana.gob.pe/dir_rada/14/14-RA-0438-2010-03.pdf,LAT-8.69978/LON-77.9002,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS COYLLORCOCHA,18/06/2010,Agrario,Superficial,Licencia,Puquio,,0,0438-2010 ANA-ALA-HUARAZ,http://file2.ana.gob.pe/dir_rada/14/14-RA-0438-2010-03.pdf,LAT-8.69978/LON-77.9002,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA LLACUSBAMBA,04/07/2014,Agrario,Superficial,Licencia,Quebrada,,34032.2,0465-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-465-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA CORONGO PARTE BAJA,15/07/2014,Agrario,Superficial,Licencia,Río,,81014,0474-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0474-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA CORONGO PARTE ARRIBA,15/07/2014,Agrario,Superficial,Licencia,Río,,18248,0475-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0475-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA LA PAMPA,15/07/2014,Agrario,Superficial,Licencia,Manantial,,60472,0476-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0476-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA AGROECOLÓGICO CHACO,15/07/2014,Agrario,Superficial,Licencia,Quebrada,,4065,0480-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0480-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA CORONGO PARTE ARRIBA,15/07/2014,Agrario,Superficial,Licencia,Quebrada,,3961,0481-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0481-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA LA PAMPA,15/07/2014,Agrario,Superficial,Licencia,Manantial,,17319,0482-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0482-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA LA PAMPA,15/07/2014,Agrario,Superficial,Licencia,Manantial,,52096,0483-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0483-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA CORONGO PARTE ARRIBA,15/07/2014,Agrario,Superficial,Licencia,Río,,3557,0484-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0484-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA LA PAMPA,15/07/2014,Agrario,Superficial,Licencia,Manantial,,9794,0485-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0485-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA LA PAMPA,15/07/2014,Agrario,Superficial,Licencia,Manantial,,52448,0491-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0491-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA AGROECOLÓGICO CHACO,15/07/2014,Agrario,Superficial,Licencia,Quebrada,,352103,0497-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0497-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA AGROECOLÓGICO CHACO,15/07/2014,Agrario,Superficial,Licencia,Quebrada,,173498,0498-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0498-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA LA PAMPA,16/07/2014,Agrario,Superficial,Licencia,Manantial,,134150,0505-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0505-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA LLACUSBAMBA,16/07/2014,Agrario,Superficial,Licencia,Manantial,,18312,0506-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0506-2014-03.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Corongo,ANCASHCORONGO,COMITÉ DE USUARIOS DE AGUA LA PAMPA,16/07/2014,Agrario,Superficial,Licencia,Manantial,,28106,0507-2014 ANA-AAA IV HCH,http://file2.ana.gob.pe/dir_rada/14/14-RD-0507-2014-03.pdf,,Sierra
