aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Huarmey Chicama,Huaraz,Áncash,Yungay,ANCASHYUNGAY,JUNTA ADMINISTRADORA DE SERVICIO DE AGUA POTABLE DEL CASERIO MARAP,10/04/1998,,Superficial,Autorización,Filtración,SHIRACSHAPUQUIO,0,0011-1998 RCH/DR.AG-DRH/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0011-1998-02.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Yungay,ANCASHYUNGAY,JUNTA ADMINISTRADORA DE SERVICIO DE AGUA POTABLE DEL CASERIO MARAP,10/04/1998,,Superficial,Autorización,Filtración,LLACLLAPUQUIO,0,0011-1998 RCH/DR.AG-DRH/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0011-1998-02.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Yungay,ANCASHYUNGAY,JUNTA ADMINISTRADORA DE AGUA POTABLE PATA PATA,26/04/1999,Poblacional,Superficial,Licencia,Filtración,ISQUE SEQUIA PAMPA,233280,0025-1999 AG.DRA-ANCASH/ATDRHz/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0025-1999-02.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Yungay,ANCASHYUNGAY,COMPAÑÍA MINERA NUEVA CALIFORNIA S.A.,07/09/1999,Minero,Superficial,Licencia,Quebrada,MINAS,0,0067-1999 DR.AG-ANCASH/DRH/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0067-1999-03.pdf,UTM 8987820N 208850E,Sierra
Huarmey Chicama,Huaraz,Áncash,Yungay,ANCASHYUNGAY,COMPAÑÍA MINERA NUEVA CALIFORNIA S.A.,07/09/1999,Minero,Superficial,Licencia,Quebrada,MINAS,207688.32,0067-1999 DR.AG-ANCASH/DRH/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0067-1999-03.pdf,UTM 8987360N 208540E,Sierra
Huarmey Chicama,Huaraz,Áncash,Yungay,ANCASHYUNGAY,MUNICIPALIDAD DISTRITAL DE MANCOS,01/03/2000,Poblacional,Superficial,Licencia,Quebrada,HUAYTAPALLANA,622080,0019-2000 DR-AG-ANCASH/DRH/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0019-2000-02.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Yungay,ANCASHYUNGAY,JUNTA ADMINISTRADORA DE AGUA POTABLE SANTA TERESA-QUILLASH,24/04/2001,Poblacional,Superficial,Licencia,Manantial,OCUNAL PUQUIO,15768,0042-2001 AG.DR-ANCASH/DRHz/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0042-2001-02.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Yungay,ANCASHYUNGAY,JUNTA ADMINISTRADORA DE AGUA POTABLE PATA PATA,21/12/2001,Poblacional,Superficial,Licencia,Filtración,ISQUE SEQUIA PAMPA,25228.8,0145-2001 AG.DR-ANCASH/DRHz/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0145-2001-02.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Yungay,ANCASHYUNGAY,JUNTA ADMINISTRADORA DE AGUA POTABLE TUMPA,17/01/2002,Poblacional,Superficial,Licencia,Manantial,COCURI  CAKA,189216,0002-2002 AG.DR-ANCASH/DRHz/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0002-2002-02.pdf,,Sierra
Huarmey Chicama,Huaraz,Áncash,Yungay,ANCASHYUNGAY,JUNTA ADMINISTRADORA DE AGUA POTABLE TUMPA,17/01/2002,Poblacional,Superficial,Licencia,Manantial,LLACLLA MONTE,0,0002-2002 AG.DR-ANCASH/DRHz/AT,http://file2.ana.gob.pe/dir_rada/14/14-RA-0002-2002-02.pdf,,Sierra
