aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Mantaro,Ayacucho,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,COMITÉ DE REGANTES DE COCHABAMBA BAJA,21/08/2002,Agrario,Superficial,Licencia,,,0,0040-2002 INRENA-DGAS-DRA/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0040-2002-02.pdf,,Sierra
Mantaro,Ayacucho,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,COMITÉ DE REGANTES DE COCHABAMBA BAJA,21/08/2002,Agrario,Superficial,Licencia,,,0,0040-2002 INRENA-DGAS-DRA/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0040-2002-02.pdf,,Sierra
Mantaro,Ayacucho,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTOS PARIAHUANCA / JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTOS PARIAHUANCA,22/01/2008,Poblacional,Superficial,Licencia,Manantial,CCOTO LLIHUA,4036.608,0005-2008 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0005-2008-02.pdf,,Sierra
Mantaro,Ayacucho,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTOS PARIAHUANCA / JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTOS PARIAHUANCA,22/01/2008,Poblacional,Superficial,Licencia,Manantial,CCOTO LLIHUA,4036.608,0005-2008 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0005-2008-02.pdf,,Sierra
Mantaro,Huancavelica,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,ANEXO DE CUICHA,08/06/2005,Agrario,Superficial,Licencia,Manantial,,15552,0190-2005 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0190-2005-01.pdf,,Sierra
Mantaro,Huancavelica,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,"QUISPE GOMEZ, HUMBERTO",23/08/2005,Agrario,Superficial,Licencia,Manantial,,6220.8,0222-2005 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0222-2005-01.pdf,,Sierra
Mantaro,Huancavelica,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,COMUNIDAD CAMPESINA DE HUILLHUECC,23/08/2005,Agrario,Superficial,Licencia,Manantial,,12441.6,0223-2005 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0223-2005-01.pdf,,Sierra
Mantaro,Huancavelica,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,COMUNIDAD CAMPESINA DE HUILLHUECC,23/08/2005,Agrario,Superficial,Licencia,Manantial,,0,0223-2005 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0223-2005-01.pdf,,Sierra
Mantaro,Huancavelica,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,COMUNIDAD CAMPESINA DE HUILLHUECC,23/08/2005,Agrario,Superficial,Licencia,Riachuelo,,0,0223-2005 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0223-2005-01.pdf,,Sierra
Mantaro,Huancavelica,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,ENEXO DE HUANUPAMPA,23/08/2005,Agrario,Superficial,Licencia,Manantial,,11010.82,0224-2005 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0224-2005-01.pdf,,Sierra
Mantaro,Huancavelica,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,ENEXO DE HUANUPAMPA,23/08/2005,Agrario,Superficial,Licencia,Riachuelo,,0,0224-2005 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0224-2005-01.pdf,,Sierra
Mantaro,Huancavelica,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,"PRADO YALO, ALBINA",19/09/2005,Agrario,Superficial,Licencia,Manantial,,0,0239-2005 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0239-2005-01.pdf,,Sierra
Mantaro,Ayacucho,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTOS BASILO AUQUI DE CHUPAS,31/10/2013,Poblacional,Superficial,Licencia,Manantial,MUTUYNIYOCC,7884,0300-2013 ANA-ALA AYACUCHO,http://file2.ana.gob.pe/dir_rada/60/60-RA-0300-2013-03.pdf,,Sierra
Mantaro,Huancavelica,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO JASS DEL CERCADO DE POMACOCHA,28/11/2014,Poblacional,Superficial,Licencia,Manantial,VIACUCHO MATARA,19929,0589-2014 ANA-AAA X MANTARO,http://file2.ana.gob.pe/dir_rada/55/55-RD-0589-2014-02.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,COMITÉ DE USUARIOS PAMPAMARCA ALTA,16/02/2016,Agrario,Superficial,Licencia,Quebrada,TAYACHAYOQ,74177,0103-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-0103-03.pdf,LAT-13.7218/LON-73.4656,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,COMITÉ DE USUARIOS PAMPAMARCA ALTA,16/02/2016,Agrario,Superficial,Licencia,Bofedal,QATUNPUQUIO,19268,0103-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-0103-03.pdf,LAT-13.7218/LON-73.4656,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,COMITÉ DE USUARIOS PAMPAMARCA ALTA,16/02/2016,Agrario,Superficial,Licencia,Bofedal,SUYTUPUQUIO,2559,0103-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-0103-03.pdf,LAT-13.7218/LON-73.4656,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,COMITÉ DE USUARIOS PAMPAMARCA ALTA,16/02/2016,Agrario,Superficial,Licencia,Bofedal,ANTILLA,5797,0103-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-0103-03.pdf,LAT-13.7218/LON-73.4656,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,COMITE DE USUARIOS KISHUARPATA,16/02/2016,Agrario,Superficial,Licencia,Manantial,maraypata,31337,0104-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-0104-03.pdf,LAT-13.7254/LON-73.4431,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Andahuaylas,APURIMACANDAHUAYLAS,COMITE DE USUARIOS KISHUARPATA,16/02/2016,Agrario,Superficial,Licencia,Manantial,yuraqyaku 01,6938,0104-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-0104-03.pdf,LAT-13.7254/LON-73.4431,Sierra
