aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,EMPRESA MINERA SANTA CRUZ DE PISCOYA S.A.,09/12/2016,Minero,Superficial,Licencia,Quebrada,Palmadera,6377.1,1030-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/62/62-RD-2016-1030-02.pdf,UTM WGS 84 ZONA 18S E708491 N8423125,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,COMITÉ DE AGUA POTABLE LUYCHUPATA,23/12/1996,Poblacional,Superficial,Licencia,Manantial,CCOTOPUQUIO,77760,0120-1996 DSRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0120-1996-01.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,COMITÉ DE AGUA POTABLE DE SAN MATEO,01/10/1997,Poblacional,Superficial,Licencia,Manantial,,47304,0067-1997 DSRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0067-1997-01.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,CONSEJO MENOR DE SAN MATEO,24/04/2000,Poblacional,Superficial,Licencia,Manantial,,47304,0022-2000 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0022-2000-02.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,MINERA ARES S.A.C.,22/05/2002,Poblacional,Superficial,Licencia,Río,,0,0071-2002 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0071-2002-02.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,MINERA ARES S.A.C.,22/05/2002,Minero,Superficial,Licencia,Río,HUINCHUYO,1.5552e+06,0072-2002 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0072-2002-02.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,SOUTHERN PERU COPPER CORPORATION,02/08/2002,Poblacional,Superficial,Licencia,Manantial,,46656,0095-2002 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0095-2002-03.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,SOUTHERN PERU COPPER CORPORATION,02/08/2002,Poblacional,Superficial,Licencia,Manantial,,0,0095-2002 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0095-2002-03.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,SOUTHERN PERU COPPER CORPORATION,02/08/2002,Poblacional,Superficial,Licencia,Manantial,,0,0095-2002 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0095-2002-03.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,SOUTHERN PERU COPPER CORPORATION,02/08/2002,Poblacional,Superficial,Licencia,Manantial,,0,0095-2002 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0095-2002-03.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,SOUTHERN PERU COPPER CORPORATION,02/08/2002,Minero,Superficial,Licencia,Manantial,SENEJAPUQUIO,0,0096-2002 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0096-2002-03.pdf,UTM 8434737N 703027E,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,SOUTHERN PERU COPPER CORPORATION,02/08/2002,Minero,Superficial,Licencia,Manantial,ÑOÑOYANI,0,0096-2002 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0096-2002-03.pdf,UTM 8434344N 703295E,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,SOUTHERN PERU COPPER CORPORATION,02/08/2002,Minero,Superficial,Licencia,Manantial,MUJINIPIQUIO,0,0096-2002 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0096-2002-03.pdf,UTM 8435024N 703756E,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,SOUTHERN PERU COPPER CORPORATION,02/08/2002,Minero,Superficial,Licencia,Manantial,PAJARIPATA ,0,0096-2002 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0096-2002-03.pdf,UTM 8434864N 703145E,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,ASOCIACIÓN DE PRODUCTORES PISCÍCOLAS NUEVA ESPERANZA DE UMALO,17/09/2002,Acuícola,Superficial,Autorización,Manantial,,0,0141-2002 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0141-2002-02.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,MINERA ARES S.A.C.,14/01/2003,Poblacional,Superficial,Licencia,Río,,311040,0001-2003 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0001-2003-02.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,MINERA ARES S.A.C.,14/01/2003,Minero,Superficial,Licencia,Río,SULLCA,1.5552e+06,0002-2003 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0002-2003-02.pdf,UTM 8378369N 701400E,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,ASOCIACIÓN DE PRODUCTORES PISCÍCOLAS NUEVA ESPERANZA DE UMALO,27/01/2003,Acuícola,Superficial,Licencia,Manantial,,933120,0013-2003 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0013-2003-03.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,ASOCIACIÓN DE PRODUCTORES PISCÍCOLAS NUEVA ESPERANZA DE UMALO,08/07/2003,Acuícola,Superficial,Licencia,Manantial,,2.79936e+06,0114-2003 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0114-2003-02.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,"PRADA PRADA, ALFREDO / PRADA PRADA, PORFIRIO",05/09/2003,Agrario,Superficial,Autorización,Manantial,,279936,0171-2003 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0171-2003-02.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,"PRADA PRADA, ALFREDO / PRADA PRADA, PORFIRIO",05/09/2003,Agrario,Superficial,Autorización,Manantial,,0,0171-2003 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0171-2003-02.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,"PRADA PRADA, ALFREDO / PRADA PRADA, PORFIRIO",05/03/2004,Agrario,Superficial,Autorización,Manantial,,279936,0038-2004 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0038-2004-03.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Aymaraes,APURIMACAYMARAES,"PRADA PRADA, ALFREDO / PRADA PRADA, PORFIRIO",05/03/2004,Agrario,Superficial,Autorización,Manantial,,0,0038-2004 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0038-2004-03.pdf,,Sierra
