aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Chincheros,APURIMACCHINCHEROS,JUNTA ADMINISTRADORA DE SERVICIOS Y SANEAMIENTO (JASS) DEL ANEXO DE SANTA ROSA,07/12/2016,Poblacional,Superficial,Licencia,Manantial,Verdepuquio,4866,1015-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-1015-02.pdf,LAT-13.5625/LON-73.58,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Chincheros,APURIMACCHINCHEROS,JUNTA ADMINISTRADORA DE SERVICIOS Y SANEAMIENTO (JASS) DEL ANEXO DE SANTA ROSA,07/12/2016,Poblacional,Superficial,Licencia,Manantial,Yucalituyoc,3649,1015-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-1015-02.pdf,LAT-13.5625/LON-73.58,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Chincheros,APURIMACCHINCHEROS,JUNTA ADMINISTRADORA DE SERVICIOS Y SANEAMIENTO (JASS) DEL ANEXO HUACSONE,07/12/2016,Poblacional,Superficial,Licencia,Manantial,Mullacayuq Cucho,1892,1016-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-1016-02.pdf,LAT-13.5102/LON-73.5977,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Chincheros,APURIMACCHINCHEROS,JUNTA ADMINISTRADORA DE SERVICIOS Y SANEAMIENTO (JASS) DEL ANEXO HUACSONE,07/12/2016,Poblacional,Superficial,Licencia,Manantial,Accopuquio,1419,1016-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-1016-02.pdf,LAT-13.5102/LON-73.5977,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Chincheros,APURIMACCHINCHEROS,JUNTA ADMINISTRADORA DE SERVICIOS Y SANEAMIENTO (JASS) DEL ANEXO HUACSONE,07/12/2016,Poblacional,Superficial,Licencia,Manantial,Humanhuasi,2365,1016-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-1016-02.pdf,LAT-13.5102/LON-73.5977,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Chincheros,APURIMACCHINCHEROS,JUNTA ADMINISTRADORA DE SERVICIOS Y SANEAMIENTO (JASS) DE LA COMUNIDAD DE CCENHUA,07/12/2016,Poblacional,Superficial,Licencia,Manantial,Piscapuquio Chilcayuq Unu,6307,1017-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-1017-02.pdf,LAT-13.5515/LON-73.5813,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Chincheros,APURIMACCHINCHEROS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) PRIMERO DE MAYO,20/12/2016,Poblacional,Superficial,Licencia,Manantial,Pacchehuaycco,8.887e+06,1075-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-1075-02.pdf,LAT-13.4677/LON-73.5271,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Chincheros,APURIMACCHINCHEROS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) PRIMERO DE MAYO,20/12/2016,Poblacional,Superficial,Licencia,Manantial,Qatumpampa,2925,1075-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-1075-02.pdf,LAT-13.4677/LON-73.5271,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Chincheros,APURIMACCHINCHEROS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) LOS ANGELES Y CHAUPIMAYO,20/12/2016,Poblacional,Superficial,Licencia,Manantial,Ccellolambras,34374,1076-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-1076-02.pdf,LAT-13.5223/LON-73.6717,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Apurímac,Chincheros,APURIMACCHINCHEROS,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO (JASS) DE LA COMUNIDAD DE MOLLEBAMBA,30/12/2016,Poblacional,Superficial,Licencia,Manantial,Qellopuquio I,2623,1158-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-1158-02.pdf,LAT-13.5823/LON-73.5704,Sierra
