aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Cotabambas,APURIMACCOTABAMBAS,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE SAN ANDRES DE YANACA DEL DISTRITO DE TAMBOBAMBA,09/12/2016,Poblacional,Superficial,Licencia,Manantial,Agenta,945,1029-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/62/62-RD-2016-1029-02.pdf,LAT-13.965/LON-72.2037,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Cotabambas,APURIMACCOTABAMBAS,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE SAN ANDRES DE YANACA DEL DISTRITO DE TAMBOBAMBA,09/12/2016,Poblacional,Superficial,Licencia,Manantial,Chayapuquio I,7725,1029-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/62/62-RD-2016-1029-02.pdf,LAT-13.965/LON-72.2037,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Cotabambas,APURIMACCOTABAMBAS,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE SAN ANDRES DE YANACA DEL DISTRITO DE TAMBOBAMBA,09/12/2016,Poblacional,Superficial,Licencia,Manantial,Chayapuquio II,8372,1029-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/62/62-RD-2016-1029-02.pdf,LAT-13.965/LON-72.2037,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Cotabambas,APURIMACCOTABAMBAS,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO (JASS) DE PICHACA,20/12/2016,Poblacional,Superficial,Licencia,Manantial,Accoccasahuayco,945,1083-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/62/62-RD-2016-1083-02.pdf,LAT-14.0038/LON-72.2238,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Cotabambas,APURIMACCOTABAMBAS,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO (JASS) DE PICHACA,20/12/2016,Poblacional,Superficial,Licencia,Manantial,Rayapuquio,4039,1083-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/62/62-RD-2016-1083-02.pdf,LAT-14.0038/LON-72.2238,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Cotabambas,APURIMACCOTABAMBAS,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO (JASS) DE PICHACA,20/12/2016,Poblacional,Superficial,Licencia,Manantial,Ñahuinpuquio,8701,1083-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/62/62-RD-2016-1083-02.pdf,LAT-14.0038/LON-72.2238,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Cotabambas,APURIMACCOTABAMBAS,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO (JASS) DE PICHACA,20/12/2016,Poblacional,Superficial,Licencia,Manantial,Niñopuquio 01 02 y 03,9018,1083-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/62/62-RD-2016-1083-02.pdf,LAT-14.0038/LON-72.2238,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Cotabambas,APURIMACCOTABAMBAS,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE QQUEUÑAPAMPA DEL DISTRITO DE HAQUIRA,22/12/2016,Poblacional,Superficial,Licencia,Manantial,Challhuapuquio,12470,1103-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/62/62-RD-2016-1103-02.pdf,LAT-14.3038/LON-72.2704,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Cotabambas,APURIMACCOTABAMBAS,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO JASS DE LA LOCALIDAD EL MOCABAMBA DEL DISTRITO DE HAQUIRA,28/12/2017,Poblacional,Superficial,Licencia,Manantial,Ñahuinpuquio uno,2932,1135-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/62/62-RD-2016-1135-02.pdf,LAT-14.1399/LON-72.1287,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Cotabambas,APURIMACCOTABAMBAS,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO JASS DE LA LOCALIDAD EL MOCABAMBA DEL DISTRITO DE HAQUIRA,28/12/2017,Poblacional,Superficial,Licencia,Manantial,Ñahuinpuquio tres,1884,1135-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/62/62-RD-2016-1135-02.pdf,LAT-14.1399/LON-72.1287,Sierra
