aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Mantaro,Pasco,Apurímac,Grau,APURIMACGRAU,MUNICIPALIDAD DISTRITAL DE VILCABAMBA,23/08/2010,Acuícola,Superficial,Licencia,Riachuelo,PUQUIRAGRA,296.088,0039-2010 ANA-ALA PASCO,http://file2.ana.gob.pe/dir_rada/50/50-RA-0039-2010-02.pdf,,Sierra
Mantaro,Pasco,Apurímac,Grau,APURIMACGRAU,MUNICIPALIDAD DISTRITAL DE VILCABAMBA,08/08/2011,Poblacional,Superficial,Licencia,Manantial,TINYAPUQUIO,21614,0161-2011 ANA-ALA PASCO,http://file2.ana.gob.pe/dir_rada/50/50-RA-0161-2011-03.pdf,,Sierra
Mantaro,Pasco,Apurímac,Grau,APURIMACGRAU,MUNICIPALIDAD DISTRITAL DE VILCABAMBA,08/08/2011,Poblacional,Superficial,Licencia,Manantial,PALGAPUQUIO,0,0161-2011 ANA-ALA PASCO,http://file2.ana.gob.pe/dir_rada/50/50-RA-0161-2011-03.pdf,,Sierra
Mantaro,Pasco,Apurímac,Grau,APURIMACGRAU,MUNICIPALIDAD DISTRITAL DE VILCABAMBA,08/08/2011,Poblacional,Superficial,Licencia,Manantial,PATACANCHA,0,0161-2011 ANA-ALA PASCO,http://file2.ana.gob.pe/dir_rada/50/50-RA-0161-2011-03.pdf,,Sierra
Mantaro,Pasco,Apurímac,Grau,APURIMACGRAU,MUNICIPALIDAD DISTRITAL DE VILCABAMBA,23/08/2010,Acuícola,Superficial,Licencia,Riachuelo,PUQUIRAGRA,296.088,0039-2010 ANA-ALA PASCO,http://file2.ana.gob.pe/dir_rada/50/50-RA-0039-2010-02.pdf,,Sierra
Mantaro,Pasco,Apurímac,Grau,APURIMACGRAU,MUNICIPALIDAD DISTRITAL DE VILCABAMBA,08/08/2011,Poblacional,Superficial,Licencia,Manantial,TINYAPUQUIO,21614,0161-2011 ANA-ALA PASCO,http://file2.ana.gob.pe/dir_rada/50/50-RA-0161-2011-03.pdf,,Sierra
Mantaro,Pasco,Apurímac,Grau,APURIMACGRAU,MUNICIPALIDAD DISTRITAL DE VILCABAMBA,08/08/2011,Poblacional,Superficial,Licencia,Manantial,PALGAPUQUIO,0,0161-2011 ANA-ALA PASCO,http://file2.ana.gob.pe/dir_rada/50/50-RA-0161-2011-03.pdf,,Sierra
Mantaro,Pasco,Apurímac,Grau,APURIMACGRAU,MUNICIPALIDAD DISTRITAL DE VILCABAMBA,08/08/2011,Poblacional,Superficial,Licencia,Manantial,PATACANCHA,0,0161-2011 ANA-ALA PASCO,http://file2.ana.gob.pe/dir_rada/50/50-RA-0161-2011-03.pdf,,Sierra
Mantaro,Pasco,Apurímac,Grau,APURIMACGRAU,MUNICIPALIDAD DISTRITAL DE VILCABAMBA,23/08/2010,Acuícola,Superficial,Licencia,Riachuelo,PUQUIRAGRA,296.088,0039-2010 ANA-ALA PASCO,http://file2.ana.gob.pe/dir_rada/50/50-RA-0039-2010-02.pdf,,Sierra
Mantaro,Pasco,Apurímac,Grau,APURIMACGRAU,MUNICIPALIDAD DISTRITAL DE VILCABAMBA,08/08/2011,Poblacional,Superficial,Licencia,Manantial,TINYAPUQUIO,21614,0161-2011 ANA-ALA PASCO,http://file2.ana.gob.pe/dir_rada/50/50-RA-0161-2011-03.pdf,,Sierra
Mantaro,Pasco,Apurímac,Grau,APURIMACGRAU,MUNICIPALIDAD DISTRITAL DE VILCABAMBA,08/08/2011,Poblacional,Superficial,Licencia,Manantial,PALGAPUQUIO,0,0161-2011 ANA-ALA PASCO,http://file2.ana.gob.pe/dir_rada/50/50-RA-0161-2011-03.pdf,,Sierra
Mantaro,Pasco,Apurímac,Grau,APURIMACGRAU,MUNICIPALIDAD DISTRITAL DE VILCABAMBA,08/08/2011,Poblacional,Superficial,Licencia,Manantial,PATACANCHA,0,0161-2011 ANA-ALA PASCO,http://file2.ana.gob.pe/dir_rada/50/50-RA-0161-2011-03.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Grau,APURIMACGRAU,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO JASS DE LA LOCALIDAD DE TASTAPATA DEL DISTRITO DE CURPAHUASI,07/12/2016,Poblacional,Superficial,Licencia,Manantial,Serccasti,11038,1010-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/62/62-RD-2016-1010-02.pdf,LAT-14.0453/LON-72.6362,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Grau,APURIMACGRAU,COMUNIDAD DE CHAHUARINAY,08/08/1996,Agrario,Superficial,Licencia,Manantial,Tanti (Tantihuaycco),1.5552e+06,0064-1996 DSRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0064-1996-01.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Grau,APURIMACGRAU,COMUNIDAD DE COOCCO RUNCOHUASI,08/08/1996,Agrario,Superficial,Licencia,Río,,1.2241e+06,0065-1996 DSRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0065-1996-01.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Grau,APURIMACGRAU,EMPRESA EL MISTI GOLD S.A,06/09/2001,Minero,Superficial,Licencia,Quebrada,,46656,0185-2001 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0185-2001-02.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Grau,APURIMACGRAU,EMPRESA EL MISTI GOLD S.A,06/09/2001,Minero,Superficial,Licencia,Quebrada,,15552,0186-2001 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0186-2001-02.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Grau,APURIMACGRAU,"SUMARRIVA VALENZUELA, ALFREDO",08/06/2004,Agrario,Superficial,Autorización,Manantial,,13996.8,0167-2004 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0167-2004-02.pdf,,Sierra
Pampas Apurimac,Medio Apurimac Pachachaca,Apurímac,Grau,APURIMACGRAU,"SUMARRIVA VALENZUELA, ALFREDO",08/06/2004,Agrario,Superficial,Autorización,Manantial,,0,0167-2004 DRA-AP/ATDR-AB,http://file2.ana.gob.pe/dir_rada/62/62-RA-0167-2004-02.pdf,,Sierra
