aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Caplina Ocoña,Camaná - Majes,Arequipa,Castilla,AREQUIPACASTILLA,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,13/06/1989,Energético,Superficial,Licencia,Río,HUANCARAMA,0,0057-1989 AG-DGAS,http://file2.ana.gob.pe/dir_rada/26/26-RD-0057-1989-02.pdf,,Costa
Caplina Ocoña,Camaná - Majes,Arequipa,Castilla,AREQUIPACASTILLA,MINERA ARES S.A.C.,14/02/1995,Minero,Superficial,Licencia,,CAJCHAYA,157680,0008-1995 AG-DRAA-ATDR-CM,http://file2.ana.gob.pe/dir_rada/26/26-RA-0008-1995-01.pdf,,Costa
Caplina Ocoña,Camaná - Majes,Arequipa,Castilla,AREQUIPACASTILLA,SOCIEDAD ELECTRICA DEL SUR OESTE S.A.,09/03/1995,Energético,Superficial,Licencia,Quebrada,CARHUANZA,0,0016-1995 AG-DRAA-ATDR.CM,http://file2.ana.gob.pe/dir_rada/26/26-RA-0016-1995-01.pdf,,Costa
Caplina Ocoña,Camaná - Majes,Arequipa,Castilla,AREQUIPACASTILLA,SOCIEDAD ELECTRICA DEL SUR OESTE S.A.,31/03/1995,Energético,Superficial,Licencia,Río,MAJES,0,0042-1995 AG-DRAA-ATDR.CM,http://file2.ana.gob.pe/dir_rada/26/26-RA-0042-1995-01.pdf,,Costa
Caplina Ocoña,Camaná - Majes,Arequipa,Castilla,AREQUIPACASTILLA,MINERA ARES S.A.C.,17/03/2000,Poblacional,Superficial,Licencia,Manantial,POCOÑAPAUSA,158000,0049-2000 AG-DRAA-ATDR.CM,http://file2.ana.gob.pe/dir_rada/26/26-RA-0049-2000-01.pdf,,Costa
Caplina Ocoña,Camaná - Majes,Arequipa,Castilla,AREQUIPACASTILLA,MINERA ARES S.A.C.,18/03/2000,Poblacional,Superficial,Licencia,Laguna,MACHUCOCHA,630000,0050-2000 AG-DRAA-ATDR.CM,http://file2.ana.gob.pe/dir_rada/26/26-RA-0050-2000-01.pdf,,Costa
Caplina Ocoña,Camaná - Majes,Arequipa,Castilla,AREQUIPACASTILLA,MINERA ARES S.A.C.,18/03/2000,Minero,Superficial,Licencia,Laguna,MACHUCOCHA,1.58e+06,0050-2000 AG-DRAA-ATDR.CM,http://file2.ana.gob.pe/dir_rada/26/26-RA-0050-2000-01.pdf,,Costa
Caplina Ocoña,Camaná - Majes,Arequipa,Castilla,AREQUIPACASTILLA,MINERA ARES S.A.C.,28/03/2000,Acuícola,Superficial,Licencia,Laguna,MACHUCOCHA,500000,0056-2000 AG-DRAA-ATDR-CM,http://file2.ana.gob.pe/dir_rada/26/26-RA-0056-2000-01.pdf,,Costa
Caplina Ocoña,Camaná - Majes,Arequipa,Castilla,AREQUIPACASTILLA,COMPAÑIA MINERA ARCATA S.A.,28/03/2000,Minero,Superficial,Licencia,Laguna,HUISCA HUISCA,500000,0058-2000 AG-DRAAA-ATDR.CM,http://file2.ana.gob.pe/dir_rada/26/26-RA-0058-2000-01.pdf,,Costa
Caplina Ocoña,Camaná - Majes,Arequipa,Castilla,AREQUIPACASTILLA,"TAYA HUAMANÍ, ASUNTO ALIPIO",19/04/2000,Acuícola,Superficial,Licencia,Laguna,SAN FÉLIX,0,0121-2000 AG-DRAA-ATDR-CM,http://file2.ana.gob.pe/dir_rada/26/26-RA-0121-2000-01.pdf,,Costa
