aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Mantaro,Ayacucho,Ayacucho,Cangallo,AYACUCHOCANGALLO,EMPRESA TECHINT S.A.C.,18/12/2002,Poblacional,Superficial,Licencia,Río,PAMPAS,19972.8,0062-2002 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0062-2002-02.pdf,,Sierra
Mantaro,Ayacucho,Ayacucho,Cangallo,AYACUCHOCANGALLO,JUNTA ADMINISTRADORA DE AGUA POTABLE RUMANIN - PILLPICANCHA / JUNTA ADMINISTRADORA DE AGUA POTABLE RUMANIN-PILLPICANCHA,06/05/2004,Poblacional,Superficial,Licencia,Manantial,YACUPAÑAHUIN-RUMANI,31536,0055-2004 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0055-2004-02.pdf,,Sierra
Mantaro,Ayacucho,Ayacucho,Cangallo,AYACUCHOCANGALLO,JUNTA ADMINISTRADORA DE AGUA POTABLE RUMANIN - PILLPICANCHA / JUNTA ADMINISTRADORA DE AGUA POTABLE RUMANIN-PILLPICANCHA,06/05/2004,Poblacional,Superficial,Licencia,Manantial,YACUPAÑAHUIN - RUMANIN,315360,0055-2004 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0055-2004-02.pdf,,Sierra
Mantaro,Ayacucho,Ayacucho,Cangallo,AYACUCHOCANGALLO,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE AGUA POTABLE CAPILLAPATA / JUNTA ADMINISTRADORA DE SERVICIOS SANEAMIENTO CAPILLAPATA,12/10/2004,Poblacional,Superficial,Licencia,Manantial,HUAYNAYACU,18768,0144-2004 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0144-2004-02.pdf,,Sierra
Mantaro,Ayacucho,Ayacucho,Cangallo,AYACUCHOCANGALLO,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE AGUA POTABLE CAPILLAPATA / JUNTA ADMINISTRADORA DE SERVICIOS SANEAMIENTO CAPILLAPATA,12/10/2004,Poblacional,Superficial,Licencia,Manantial,HUAYNAYACU,15768,0144-2004 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0144-2004-02.pdf,,Sierra
Mantaro,Ayacucho,Ayacucho,Cangallo,AYACUCHOCANGALLO,JUNTA ADMINISTRADORA DE SERVICIO SANEAMIENTO CHALCOCUCHO - UCHUYTOCCTOCHA / JUNTA ADMINISTRADORA DE SERVICIOS SANEAMIENTO CHALCOCUCHO - UCHUYCCOTA,08/11/2004,Poblacional,Superficial,Licencia,Manantial,UCHUYTOCCTOCHA,9460.8,0152-2004 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0152-2004-02.pdf,,Sierra
Mantaro,Ayacucho,Ayacucho,Cangallo,AYACUCHOCANGALLO,JUNTA ADMINISTRADORA DE SERVICIO SANEAMIENTO CHALCOCUCHO - UCHUYTOCCTOCHA / JUNTA ADMINISTRADORA DE SERVICIOS SANEAMIENTO CHALCOCUCHO - UCHUYCCOTA,08/11/2004,Poblacional,Superficial,Licencia,Manantial,UCHUYCCOCHA,0,0152-2004 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0152-2004-02.pdf,,Sierra
Mantaro,Ayacucho,Ayacucho,Cangallo,AYACUCHOCANGALLO,JUNTA ADMINISTRADORA DE SERVICIO SANEAMIENTO CHALCOCUCHO - UCHUYTOCCTOCHA / JUNTA ADMINISTRADORA DE SERVICIOS SANEAMIENTO CHALCOCUCHO - UCHUYCCOTA,08/11/2004,Poblacional,Superficial,Licencia,Manantial,YACUPAÑAHUIN,0,0152-2004 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0152-2004-02.pdf,,Sierra
Mantaro,Ayacucho,Ayacucho,Cangallo,AYACUCHOCANGALLO,JUNTA ADMINISTRADORA DE SERVICIO SANEAMIENTO CHALCOCUCHO - UCHUYTOCCTOCHA / JUNTA ADMINISTRADORA DE SERVICIOS SANEAMIENTO CHALCOCUCHO - UCHUYCCOTA,08/11/2004,Poblacional,Superficial,Licencia,Manantial,UCHUYTOCCOTOCHA,9460.8,0152-2004 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0152-2004-02.pdf,,Sierra
Mantaro,Ayacucho,Ayacucho,Cangallo,AYACUCHOCANGALLO,JUNTA ADMINISTRADORA DE SERVICIO SANEAMIENTO CHALCOCUCHO - UCHUYTOCCTOCHA / JUNTA ADMINISTRADORA DE SERVICIOS SANEAMIENTO CHALCOCUCHO - UCHUYCCOTA,08/11/2004,Poblacional,Superficial,Licencia,Manantial,UCHUYCCOCHA,0,0152-2004 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0152-2004-02.pdf,,Sierra
