aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Mantaro,Ayacucho,Ayacucho,Huanca Sancos,AYACUCHOHUANCASANCOS,COMITÉ DE REGANTES SIMACUCHO,27/11/2002,Agrario,Superficial,Licencia,,,0,0059-2002 INRENA-DGAS-DRA/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0059-2002-02.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Huanca Sancos,AYACUCHOHUANCASANCOS,EMPRESA PISCICOLA PACCHA S.A.C.,30/03/2012,Acuícola,Superficial,Licencia,Riachuelo,PACCHARACCRA,189216,0124-2012 ANA-ALA-BAJO APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0124-2012-02.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Huanca Sancos,AYACUCHOHUANCASANCOS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DEL ANEXO DE LA MERCED DE TIO,29/01/2014,Poblacional,Superficial,Licencia,Manantial,HUAYURI 1,20813.76,0058-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0058-2014-03.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Huanca Sancos,AYACUCHOHUANCASANCOS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DEL ANEXO DE LA MERCED DE TIO,29/01/2014,Poblacional,Superficial,Licencia,Manantial,HUAYURI 2,0,0058-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0058-2014-03.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Huanca Sancos,AYACUCHOHUANCASANCOS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DEL ANEXO DE ASUNCION DE ERPA,29/01/2014,Poblacional,Superficial,Licencia,Manantial,YACUPACANA,19236.96,0059-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0059-2014-03.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Huanca Sancos,AYACUCHOHUANCASANCOS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DEL ANEXO DE ASUNCION DE ERPA,29/01/2014,Poblacional,Superficial,Licencia,Manantial,QOCHAHUARAN,0,0059-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0059-2014-03.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Huanca Sancos,AYACUCHOHUANCASANCOS,CONSORCIO VIAL TANBILLO (MOTA – ENGIL PERU S.A. – COSAPI S.A.,19/06/2014,Industrial,Superficial,Autorización,,SIN NOMBRE,0,0283-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0283-2014-04.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Huanca Sancos,AYACUCHOHUANCASANCOS,CONSORCIO VIAL TANBILLO (MOTA – ENGIL PERU S.A. – COSAPI S.A.,19/06/2014,Industrial,Superficial,Autorización,,SIN NOMBRE,63769.68,0283-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0283-2014-04.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Huanca Sancos,AYACUCHOHUANCASANCOS,CONSORCIO VIAL TANBILLO (MOTA – ENGIL PERU S.A. – COSAPI S.A.,19/06/2014,Industrial,Superficial,Autorización,,SIN NOMBRE,0,0283-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0283-2014-04.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Huanca Sancos,AYACUCHOHUANCASANCOS,CONSORCIO VIAL TANBILLO (MOTA – ENGIL PERU S.A. – COSAPI S.A.,19/06/2014,Industrial,Superficial,Autorización,,SIN NOMBRE,0,0283-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0283-2014-04.pdf,,Sierra
