aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Chaparra Chincha,Grande,Ayacucho,Lucanas,AYACUCHOLUCANAS,NESSUS HOTEL PERU S.A.,23/01/2006,Poblacional,Subterráneo,Licencia,Acuífero,,1752,0005-2006 GORE-ICA/DRAG-ATDRP.N,http://file2.ana.gob.pe/dir_rada/23/23-RA-0005-2006-02.pdf,,Sierra
Chaparra Chincha,Chaparra Acari,Ayacucho,Lucanas,AYACUCHOLUCANAS,MINERA COLIBRI S.A.C.,06/05/2004,Minero,Subterráneo,Licencia,Acuífero,,70821,0085-2004 GRA-MINAG-DRAA-ATDR-AYP,http://file2.ana.gob.pe/dir_rada/24/24-RA-0085-2004-02.pdf,,Sierra
Chaparra Chincha,Chaparra Acari,Ayacucho,Lucanas,AYACUCHOLUCANAS,HOSPITAL DE APOYO PUQUIO,01/06/2004,Poblacional,Superficial,Licencia,Manantial,CHANCHAYLI Nº 1,29000,0115-2004 GRA-MINAG-DRAA-ATDR-AYP,http://file2.ana.gob.pe/dir_rada/24/24-RA-0115-2004-02.pdf,,Sierra
Chaparra Chincha,Chaparra Acari,Ayacucho,Lucanas,AYACUCHOLUCANAS,HOSPITAL DE APOYO PUQUIO,01/06/2004,Poblacional,Superficial,Licencia,Manantial,CHANCHAYLI Nº 2,0,0115-2004 GRA-MINAG-DRAA-ATDR-AYP,http://file2.ana.gob.pe/dir_rada/24/24-RA-0115-2004-02.pdf,,Sierra
Chaparra Chincha,Chaparra Acari,Ayacucho,Lucanas,AYACUCHOLUCANAS,MUNICIPALIDAD DISTRITAL DE CHAVIÑA,08/08/2005,Poblacional,Superficial,Licencia,Manantial,CULLO,189000,0124-2005 GRA/PR-DRAG-ATDR.AYP,http://file2.ana.gob.pe/dir_rada/24/24-RA-0124-2005-02.pdf,,Sierra
Chaparra Chincha,Chaparra Acari,Ayacucho,Lucanas,AYACUCHOLUCANAS,SOUTHERN PERU COPPER CORPORATION,08/01/2010,Doméstico,Superficial,Licencia,Río,ACARI,0,0011-2010 ANA-ALA.AYP,http://file2.ana.gob.pe/dir_rada/24/24-RA-0011-2010-02.pdf,,Sierra
Chaparra Chincha,Chaparra Acari,Ayacucho,Lucanas,AYACUCHOLUCANAS,JASS CENTRO POBLADO DE SAN PABLO,14/02/2013,Poblacional,Superficial,Licencia,Galería Filtrante,TAMPA TAMPA,37930.8,0102-2013 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/24/24-RD-0102-2013-04.pdf,,Sierra
Chaparra Chincha,Chaparra Acari,Ayacucho,Lucanas,AYACUCHOLUCANAS,JASS CENTRO POBLADO DE SAN PABLO,14/02/2013,Poblacional,Superficial,Licencia,Galería Filtrante,TAMPA TAMPA 1,37930.8,0102-2013 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/24/24-RD-0102-2013-04.pdf,,Sierra
Chaparra Chincha,Chaparra Acari,Ayacucho,Lucanas,AYACUCHOLUCANAS,MUNICIPALIDAD DISTRITAL DE LUCANAS,13/03/2013,Poblacional,Superficial,Licencia,Manantial,SAYACCMACHAY,35565.8,0136-2013 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/24/24-RD-0136-2013-04.pdf,,Sierra
Chaparra Chincha,Chaparra Acari,Ayacucho,Lucanas,AYACUCHOLUCANAS,MUNICIPALIDAD DISTRITAL DE LUCANAS,13/03/2013,Poblacional,Superficial,Licencia,Manantial,PUCALLA,35565.8,0136-2013 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/24/24-RD-0136-2013-04.pdf,,Sierra
Chaparra Chincha,Chaparra Acari,Ayacucho,Lucanas,AYACUCHOLUCANAS,MUNICIPALIDAD DISTRITAL DE SAN PEDRO,13/03/2013,Poblacional,Superficial,Licencia,Manantial,PATILLA,30353.4,0140-2013 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/24/24-RD-0140-2013-04.pdf,,Sierra
