aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Parinacochas,AYACUCHOPARINACOCHAS,ELECTRO SUR MEDIO S.A.A.,14/06/2001,Energético,Superficial,Licencia,Río,VADO O TAMBILLO,7.884e+06,0107-2001 MAG-DRAA-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0107-2001-02.pdf,LAT-15.1832/LON-73.5436,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Parinacochas,AYACUCHOPARINACOCHAS,MUNICIPALIDAD DISTRITAL DE PUYUSCA,05/07/2006,Poblacional,Superficial,Licencia,Manantial,YURACCYACU 01,110000,0124-2006 GRA-PR-DRAG-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0124-2006-02.pdf,LAT-15.3214/LON-73.5473,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Parinacochas,AYACUCHOPARINACOCHAS,MUNICIPALIDAD DISTRITAL DE PUYUSCA,05/07/2006,Poblacional,Superficial,Licencia,Manantial,YURACCYACU 02,114000,0124-2006 GRA-PR-DRAG-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0124-2006-02.pdf,LAT-15.3215/LON-73.5474,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Parinacochas,AYACUCHOPARINACOCHAS,MUNICIPALIDAD DISTRITAL DE PUYUSCA,05/07/2006,Poblacional,Superficial,Licencia,Manantial,POLCOTOTOCA,25000,0124-2006 GRA-PR-DRAG-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0124-2006-02.pdf,LAT-15.3032/LON-73.5639,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Parinacochas,AYACUCHOPARINACOCHAS,MINERA SUYAMARCA S.A.C.,11/09/2007,Poblacional,Superficial,Licencia,Bofedal,JORGE,236520,0236-2006 GRA/GRAG-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0236-2006-04.pdf,LAT-14.7036/LON-73.1758,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Parinacochas,AYACUCHOPARINACOCHAS,MINERA SUYAMARCA S.A.C.,11/09/2007,Minero,Superficial,Licencia,Bofedal,JORGE,236520,0236-2006 GRA/GRAG-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0236-2006-04.pdf,,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Parinacochas,AYACUCHOPARINACOCHAS,MINERA SUYAMARCA S.A.C.,11/09/2007,Minero,Superficial,Licencia,Bofedal,JORGE,236520,0236-2007 GRA-GRAG-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0236-2007-04.pdf,,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Parinacochas,AYACUCHOPARINACOCHAS,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,26/10/2012,Minero,Superficial,Licencia,Quebrada,JYNAHUIACO,269034,0677-2012 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/25/25-RD-0677-2012-04.pdf,UTM WGS84 ZONA 18S 642893E 8334863N,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Parinacochas,AYACUCHOPARINACOCHAS,COMISION DE REGANTES CALPAMAYO,11/04/2017,Agrario,Superficial,Licencia,Manantial,COSIRI,2.00666809e+06,1097-2017 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/25/25-RD-1097-2017-04.pdf,LAT-14.8744/LON-73.5102,Sierra
Chaparra Chincha,Chaparra Acari,Ayacucho,Parinacochas,AYACUCHOPARINACOCHAS,EMPRESA EMAPAVIGSA,10/05/2004,Poblacional,Superficial,Licencia,Río,PICHAYA,378432,0095-2004 GRA-MINAG-DRAA-ATDR-AYP,http://file2.ana.gob.pe/dir_rada/24/24-RA-0095-2004-02.pdf,,Sierra
