aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Paucar Del Sara Sara,AYACUCHOPAUCARDELSARASARA,ELECTRO SUR MEDIO S.A.A.,03/05/2001,Energético,Superficial,Licencia,Río,MIRMACA,5.36e+06,0085-2001 MAG-DRAA-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0085-2001-02.pdf,LAT-15.2742/LON-73.3559,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Paucar Del Sara Sara,AYACUCHOPAUCARDELSARASARA,MUNICIPALIDAD PROVINCIAL PAUCAR DEL SARA SARA,01/04/2002,Poblacional,Superficial,Licencia,Quebrada,HUAYLAS,95000,0052-2002 MAG-DRAA-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0052-2002-03.pdf,LAT-15.2961/LON-73.3996,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Paucar Del Sara Sara,AYACUCHOPAUCARDELSARASARA,MUNICIPALIDAD PROVINCIAL PAUCAR DEL SARA SARA,01/04/2002,Poblacional,Superficial,Licencia,Quebrada,PUQUIAL DE QUISUARA,310000,0052-2002 MAG-DRAA-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0052-2002-03.pdf,LAT-15.2961/LON-73.3996,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Paucar Del Sara Sara,AYACUCHOPAUCARDELSARASARA,EMPRESA DE ADM. DE INFRAESTR. ELECTRICA S.A. ADINELSA,03/11/2003,Energético,Superficial,Licencia,Quebrada,CCARA-CCARA,2.53e+06,0240-2003 MAG-DRAA-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0240-2003-02.pdf,LAT-15.1415/LON-73.3418,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Paucar Del Sara Sara,AYACUCHOPAUCARDELSARASARA,MUNICIPALIDAD DISTRITAL DE LAMPA,22/04/2005,Poblacional,Superficial,Licencia,Manantial,SOTO,217728,0036-2005 GRA-PR-DRAG-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0036-2005-03.pdf,LAT-15.1235/LON-73.3532,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Paucar Del Sara Sara,AYACUCHOPAUCARDELSARASARA,MUNICIPALIDAD DISTRITAL DE MARCABAMBA,11/05/2006,Poblacional,Superficial,Licencia,Manantial,CARHUACCARHUA,158000,0077-2006 GRA-PR-DRAG-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0077-2006-02.pdf,LAT-15.1442/LON-73.3514,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Paucar Del Sara Sara,AYACUCHOPAUCARDELSARASARA,MUNICIPALIDAD DISTRITAL DE SARA SARA - QUILCATA,11/05/2006,Poblacional,Superficial,Licencia,Manantial,CHILKAPUQUIO,69000,0078-2006 GRA-PR-DRAG-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0078-2006-02.pdf,LAT-15.2506/LON-73.4553,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Paucar Del Sara Sara,AYACUCHOPAUCARDELSARASARA,MUNICIPALIDAD DISTRITAL DE SARA SARA - QUILCATA,11/05/2006,Poblacional,Superficial,Licencia,Manantial,LAURAQPAMPA,22000,0078-2006 GRA-PR-DRAG-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0078-2006-02.pdf,LAT-15.2523/LON-73.4539,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Paucar Del Sara Sara,AYACUCHOPAUCARDELSARASARA,MUNICIPALIDAD DISTRITAL DE SARA SARA - QUILCATA,11/05/2006,Poblacional,Superficial,Licencia,Manantial,AQOLOMA-HUAYCCO,35000,0078-2006 GRA-PR-DRAG-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0078-2006-02.pdf,LAT-15.2503/LON-73.4533,Sierra
Caplina Ocoña,Ocoña - Pausa,Ayacucho,Paucar Del Sara Sara,AYACUCHOPAUCARDELSARASARA,MUNICIPALIDAD DISTRITAL DE SARA SARA - QUILCATA,11/05/2006,Poblacional,Superficial,Licencia,Manantial,HATUNOQCCO,16000,0078-2006 GRA-PR-DRAG-ATDRO-P,http://file2.ana.gob.pe/dir_rada/25/25-RA-0078-2006-02.pdf,LAT-15.2522/LON-73.4481,Sierra
