aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Mantaro,Ayacucho,Ayacucho,Sucre,AYACUCHOSUCRE,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO TINTAY / JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE TINTAY,29/12/2005,Poblacional,Superficial,Licencia,Manantial,CIENEGUILLA,95554.08,0258-2005 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0258-2005-02.pdf,,Sierra
Mantaro,Ayacucho,Ayacucho,Sucre,AYACUCHOSUCRE,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO TINTAY / JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE TINTAY,29/12/2005,Poblacional,Superficial,Licencia,Manantial,PULLPUCSANI,0,0258-2005 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0258-2005-02.pdf,,Sierra
Mantaro,Ayacucho,Ayacucho,Sucre,AYACUCHOSUCRE,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO TINTAY / JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE TINTAY,29/12/2005,Poblacional,Superficial,Licencia,Manantial,CIENEGUILLA,95554.08,0258-2005 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0258-2005-02.pdf,,Sierra
Mantaro,Ayacucho,Ayacucho,Sucre,AYACUCHOSUCRE,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO TINTAY / JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE TINTAY,29/12/2005,Poblacional,Superficial,Licencia,Manantial,PULLPUCCSANI,0,0258-2005 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0258-2005-02.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO TINTAY,29/12/2005,Poblacional,Superficial,Licencia,Manantial,CIENEGUILLA,95554.08,0258-2005 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/56/56-RA-0258-2005-02.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO TINTAY,29/12/2005,Poblacional,Superficial,Licencia,Manantial,PULLPUCCSANI,0,0258-2005 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/56/56-RA-0258-2005-02.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,MUNICIPALIDAD PROVINCIAL DE SUCRE,04/03/2014,Poblacional,Superficial,Licencia,Manantial,BALCONIYOC 01,141912,0126-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0126-2014-03.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,MUNICIPALIDAD PROVINCIAL DE SUCRE,04/03/2014,Poblacional,Superficial,Licencia,Manantial,BALCONIYOC 02,0,0126-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0126-2014-03.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,MUNICIPALIDAD PROVINCIAL DE SUCRE,04/03/2014,Poblacional,Superficial,Licencia,Manantial,TOMACUCHO,0,0126-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0126-2014-03.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,MUNICIPALIDAD PROVINCIAL DE SUCRE,04/03/2014,Poblacional,Superficial,Licencia,Manantial,CCOLLCCABAMBA,0,0126-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0126-2014-03.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,COMITÉ DE USUARIOS DE AGUA SANQAMOQO HUANCORA,10/11/2017,Agrario,Superficial,Licencia,Manantial,Tacuhuamba,159827,1081-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1081-2017-03.pdf,LAT-14.1799/LON-73.8026,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,COMITÉ DE USUARIOS DE AGUA SANQAMOQO HUANCORA,10/11/2017,Agrario,Superficial,Licencia,Manantial,Sineguilla 1,587,1081-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1081-2017-03.pdf,LAT-14.1799/LON-73.8026,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,COMITÉ DE USUARIOS DE AGUA SANQAMOQO HUANCORA,10/11/2017,Agrario,Superficial,Licencia,Manantial,Sineguilla 2,1132,1081-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1081-2017-03.pdf,LAT-14.1799/LON-73.8026,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,COMITÉ DE USUARIOS DE AGUA SANQAMOQO HUANCORA,10/11/2017,Agrario,Superficial,Licencia,Manantial,Sineguilla 3,5109,1081-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1081-2017-03.pdf,LAT-14.1799/LON-73.8026,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,COMITÉ DE USUARIOS DE AGUA SANQAMOQO HUANCORA,10/11/2017,Agrario,Superficial,Licencia,Manantial,Choccecanta 1,6215,1081-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1081-2017-03.pdf,LAT-14.1799/LON-73.8026,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,COMITÉ DE USUARIOS DE AGUA SANQAMOQO HUANCORA,10/11/2017,Agrario,Superficial,Licencia,Manantial,Choccecanta 2,1874,1081-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1081-2017-03.pdf,LAT-14.1799/LON-73.8026,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,COMITÉ DE USUARIOS DE AGUA SANQAMOQO HUANCORA,10/11/2017,Agrario,Superficial,Licencia,Manantial,Choccecanta 3,349,1081-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1081-2017-03.pdf,LAT-14.1799/LON-73.8026,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,COMITÉ DE USUARIOS DE AGUA SANQAMOQO HUANCORA,10/11/2017,Agrario,Superficial,Licencia,Manantial,Samana,3685,1081-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1081-2017-03.pdf,LAT-14.1799/LON-73.8026,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Sucre,AYACUCHOSUCRE,COMITÉ DE USUARIOS DE AGUA SANQAMOQO HUANCORA,10/11/2017,Agrario,Superficial,Licencia,Manantial,Huillque,2334,1081-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1081-2017-03.pdf,LAT-14.1799/LON-73.8026,Sierra
