aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Mantaro,Ayacucho,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,COMPAÑIA MINERA MEGACRUZ S.A.C.,11/04/2005,Minero,Superficial,Licencia,Manantial,TASTA,131189.76,0059-2005 GRA-DRAA-INRENA-IRH/ATDRA,http://file2.ana.gob.pe/dir_rada/60/60-RA-0059-2005-02.pdf,,Sierra
Mantaro,Mantaro,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,CHICHE SAN ANTONIO,30/12/2010,Agrario,Superficial,Licencia,Manantial,,27570,0551-2010 ANA-ALA MANTARO,http://file2.ana.gob.pe/dir_rada/54/54-RA-0551-2010-02.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO JASS DE LA COMUNIDAD CAMPESINA DE SAN JOSE DE HUANQUISPA,30/12/2016,Poblacional,Superficial,Licencia,Manantial,lambrashuayqo,4098,1171-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-1171-02.pdf,LAT-13.7334/LON-73.9747,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO JASS DE LA COMUNIDAD DE AMZARCA,30/12/2016,Poblacional,Superficial,Licencia,Manantial,Yanaqaqa,5.183e+06,1172-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-2016-1172-02.pdf,LAT-13.7284/LON-73.9658,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE HUACCAÑA,29/01/2014,Poblacional,Superficial,Licencia,Manantial,HATUSPAMPA,16714.08,0057-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0057-2014-03.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE HUACCAÑA,29/01/2014,Poblacional,Superficial,Licencia,Manantial,LAMBRASPUQUIO,0,0057-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0057-2014-03.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE HUACCAÑA,29/01/2014,Poblacional,Superficial,Licencia,Manantial,LLULLAPUQUIO 1,0,0057-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0057-2014-03.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DE LA LOCALIDAD DE HUACCAÑA,29/01/2014,Poblacional,Superficial,Licencia,Manantial,LLULLAPUQUIO 3,0,0057-2014 ANA-ALA-BAJO-APURIMAC-PAMPAS,http://file2.ana.gob.pe/dir_rada/56/56-RA-0057-2014-03.pdf,,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,COMITE DE USUARIOS DE AGUA VALLE CCAYANTO HUARIMA,30/01/2017,Agrario,Superficial,Licencia,Quebrada,OSQUYRUPUQUIO,42147,0154-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-0154-2017-03.pdf,LAT-13.7444/LON-73.9626,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,COMITE DE USUARIOS DE AGUA VALLE CCAYANTO HUARIMA,30/01/2017,Agrario,Superficial,Licencia,Manantial,OSQUYRUPUQUIO,14418,0154-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-0154-2017-03.pdf,LAT-13.7444/LON-73.9626,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,COMITE DE USUARIOS DE AGUA CHILICRUZ,05/06/2017,Agrario,Superficial,Licencia,Manantial,ÑAHUINPUQUIO - QOROHUANCHO,151844,0495-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-0495-2017-03.pdf,LAT-13.7516/LON-73.8067,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,COMITE DE USUARIOS DE AGUA CHILICRUZ,05/06/2017,Agrario,Superficial,Licencia,Quebrada,MASAYACU,17851,0495-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-0495-2017-03.pdf,LAT-13.7516/LON-73.8067,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE LA COMUNIDAD DE QUILLQUE,07/11/2017,Poblacional,Superficial,Licencia,Manantial,Puquiochuayqo 1,1269,1041-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1041-2017-03.pdf,LAT-13.6491/LON-73.9984,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE LA COMUNIDAD DE QUILLQUE,07/11/2017,Poblacional,Superficial,Licencia,Manantial,Puquiochuayqo 2,9514,1041-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1041-2017-03.pdf,LAT-13.6491/LON-73.9984,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL SECTOR DE HUALLPA PACANA DEL CENTRO POBLADO DE PATAHUASI,07/11/2017,Poblacional,Superficial,Licencia,Manantial,Ñawincucho,4733,1056-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1056-2017-03.pdf,LAT-13.5811/LON-74.0595,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE LA COMUNIDAD DE PARIAMARCA,07/11/2017,Poblacional,Superficial,Licencia,Quebrada,Chillihuayqo,6570,1057-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1057-2017-03.pdf,LAT-13.6352/LON-74.0458,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CENTRO POBLADO RURAL VILLA DE LOS INCAS INTIHUATANA HUAYRAPATA,07/11/2017,Poblacional,Superficial,Licencia,Manantial,Toqaruay,10269,1058-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1058-2017-03.pdf,LAT-13.6014/LON-74.017,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CENTRO POBLADO DE POMACOCHA,07/11/2017,Poblacional,Superficial,Licencia,Quebrada,Chirapayoq,35944,1059-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1059-2017-03.pdf,LAT-13.623/LON-74.0061,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CENTRO POBLADO DE POMACOCHA,07/11/2017,Poblacional,Superficial,Licencia,Manantial,Campanayoq,6725,1059-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1059-2017-03.pdf,LAT-13.623/LON-74.0061,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE LA COMUNIDAD DE BELLAVISTA,07/11/2017,Poblacional,Superficial,Licencia,Manantial,Yacupañahuin,7379,1060-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1060-2017-03.pdf,LAT-13.6574/LON-74.0213,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CENTRO POBLADO LOS ANDES DE PATAHUASI,09/11/2017,Poblacional,Superficial,Licencia,Manantial,Kichkacha 01,1835,1072-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1072-2017-03.pdf,LAT-13.5976/LON-74.0428,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CENTRO POBLADO LOS ANDES DE PATAHUASI,09/11/2017,Poblacional,Superficial,Licencia,Manantial,Kichkacha 02,1101,1072-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1072-2017-03.pdf,LAT-13.5976/LON-74.0428,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CENTRO POBLADO LOS ANDES DE PATAHUASI,09/11/2017,Poblacional,Superficial,Licencia,Manantial,Kichkacha 03,735,1072-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1072-2017-03.pdf,LAT-13.5976/LON-74.0428,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CENTRO POBLADO LOS ANDES DE PATAHUASI,09/11/2017,Poblacional,Superficial,Licencia,Manantial,Kichkacha 04,2201,1072-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1072-2017-03.pdf,LAT-13.5976/LON-74.0428,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CENTRO POBLADO LOS ANDES DE PATAHUASI,09/11/2017,Poblacional,Superficial,Licencia,Manantial,Kichkacha 05,1466,1072-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1072-2017-03.pdf,LAT-13.5976/LON-74.0428,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE AGUA Y SANEAMIENTO DE LA COMUNIDAD ÑUÑUNHUAYCCO,10/11/2017,Poblacional,Superficial,Licencia,Manantial,Gregorioyoq,5677,1076-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1076-2017-03.pdf,LAT-13.594/LON-74.0421,Sierra
Pampas Apurimac,Bajo Apurimac - Pampas,Ayacucho,Vilcas Huaman,AYACUCHOVILCASHUAMAN,JUNTA ADMINISTRADORA DE AGUA Y SANEAMIENTO DE LA COMUNIDAD ÑUÑUNHUAYCCO,10/11/2017,Poblacional,Superficial,Licencia,Manantial,Qayuchayoq 01,2837,1076-2017 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/56/56-RD-1076-2017-03.pdf,LAT-13.594/LON-74.0421,Sierra
