aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Marañón,Las Yangas - Suite,Cajamarca,Celendin,CAJAMARCACELENDIN,MORADORES DEL CASERIO LA LAGUNA,26/06/1987,Doméstico,Superficial,Autorización,Manantial,EL SALVAJE,0,0079-1987 DR XI OAC/ATDRC,http://file2.ana.gob.pe/dir_rada/73/73-RA-0079-1987-01.PDF,,Sierra
Marañón,Las Yangas - Suite,Cajamarca,Celendin,CAJAMARCACELENDIN,MORADORES DEL CASERIO CHAQUIL,25/03/1988,Doméstico,Superficial,Autorización,Manantial,PAUCAMAYO,0,0056-1988 UADC-OAC/ATDRC,http://file2.ana.gob.pe/dir_rada/73/73-RA-0056-1988-01.PDF,,Sierra
Marañón,Las Yangas - Suite,Cajamarca,Celendin,CAJAMARCACELENDIN,MORADORES DEL CASERIO CHAQUIL,25/03/1988,Doméstico,Superficial,Autorización,Manantial,LOS PAJARES,0,0056-1988 UADC-OAC/ATDRC,http://file2.ana.gob.pe/dir_rada/73/73-RA-0056-1988-01.PDF,,Sierra
Marañón,Las Yangas - Suite,Cajamarca,Celendin,CAJAMARCACELENDIN,"USUARIOS DE LOS CASERIOS QUILLIMBAS, HUAÑAMBRA Y DEL SECTOR ALPACOCHA",27/06/1990,Agrario,Superficial,Autorización,Vertiente,LOS VERDES,0,0009-1990 UADO-CDR/UARCEL,http://file2.ana.gob.pe/dir_rada/73/73-RA-0009-1990-02.pdf,,Sierra
Marañón,Las Yangas - Suite,Cajamarca,Celendin,CAJAMARCACELENDIN,"USUARIOS DE LOS CASERIOS QUILLIMBAS, HUAÑAMBRA Y DEL SECTOR ALPACOCHA",27/06/1990,Agrario,Superficial,Autorización,Vertiente,PAMPA PUTACAS,0,0009-1990 UADO-CDR/UARCEL,http://file2.ana.gob.pe/dir_rada/73/73-RA-0009-1990-02.pdf,,Sierra
Marañón,Las Yangas - Suite,Cajamarca,Celendin,CAJAMARCACELENDIN,"USUARIOS DE LOS CASERIOS QUILLIMBAS, HUAÑAMBRA Y DEL SECTOR ALPACOCHA",27/06/1990,Agrario,Superficial,Autorización,Vertiente,RIO CHICO,0,0009-1990 UADO-CDR/UARCEL,http://file2.ana.gob.pe/dir_rada/73/73-RA-0009-1990-02.pdf,,Sierra
Marañón,Las Yangas - Suite,Cajamarca,Celendin,CAJAMARCACELENDIN,"USUARIOS DE LOS CASERIOS QUILLIMBAS, HUAÑAMBRA Y DEL SECTOR ALPACOCHA",27/06/1990,Agrario,Superficial,Autorización,Vertiente,MINAS,0,0009-1990 UADO-CDR/UARCEL,http://file2.ana.gob.pe/dir_rada/73/73-RA-0009-1990-02.pdf,,Sierra
Marañón,Las Yangas - Suite,Cajamarca,Celendin,CAJAMARCACELENDIN,"USUARIOS DE LOS CASERIOS QUILLIMBAS, HUAÑAMBRA Y DEL SECTOR ALPACOCHA",27/06/1990,Agrario,Superficial,Autorización,Vertiente,OJO DE AGUA,0,0009-1990 UADO-CDR/UARCEL,http://file2.ana.gob.pe/dir_rada/73/73-RA-0009-1990-02.pdf,,Sierra
Marañón,Las Yangas - Suite,Cajamarca,Celendin,CAJAMARCACELENDIN,"USUARIOS DE LOS CASERIOS QUILLIMBAS, HUAÑAMBRA Y DEL SECTOR ALPACOCHA",27/06/1990,Agrario,Superficial,Autorización,Vertiente,CORTADERA,0,0009-1990 UADO-CDR/UARCEL,http://file2.ana.gob.pe/dir_rada/73/73-RA-0009-1990-02.pdf,,Sierra
Marañón,Las Yangas - Suite,Cajamarca,Celendin,CAJAMARCACELENDIN,COMUNIDAD EL TORO / COMUNIDAD SENDAMAL / COMUNIDAD CRUZCONGA / COMUNIDAD SENDAMAL DE HUASMIN / COMUNIDAD EL LINDERO / COMUNIDAD FRAYLECOCHA / COMUNIDAD SANTA LUCIA / COMUNIDAD QUILLIMBASH / COMUNIDAD HUAÑAMBRA / COMUNIDAD CHOCTAPAMPA / COMUNIDAD EL TINGO / COMUNIDAD MACAS / COMUNIDAD JORGE CHAVEZ / COMUNIDAD CELENDIN,14/08/1997,Doméstico,Superficial,Autorización,Manantial,LOS HALCONES,0,0056-1997 RENO-GR-DSR.AG.C/ATDRC,http://file2.ana.gob.pe/dir_rada/73/73-RA-0056-1997-02.pdf,,Sierra
