aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,Hualgayoc,CAJAMARCAHUALGAYOC,MUNICIPALIDAD DISTRITAL DE CHUGUR,20/07/2005,Agrario,Superficial,Licencia,Quebrada,,0,0438-2005 AG-DRA-LAMB/ATDRCH-L,http://file2.ana.gob.pe/dir_rada/07/07-RA-0438-2005-02.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,Hualgayoc,CAJAMARCAHUALGAYOC,MUNICIPALIDAD DISTRITAL DE CHUGUR,20/07/2005,Agrario,Superficial,Licencia,Quebrada,,0,0438-2005 AG-DRA-LAMB/ATDRCH-L,http://file2.ana.gob.pe/dir_rada/07/07-RA-0438-2005-02.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,Hualgayoc,CAJAMARCAHUALGAYOC,COMPAÑÍA MINERA COIMOLACHE S.A.,21/04/2014,Minero,Superficial,Licencia,Laguna,LAS AURORAS,10224,0442-2014 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0442-2014-04.pdf,UTM WGS84 ZONA 17M E756689 N9255921,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,Hualgayoc,CAJAMARCAHUALGAYOC,COMPAÑÍA MINERA COIMOLACHE S.A.,21/04/2014,Minero,Superficial,Licencia,Laguna,CUEVA DE CAMPOS,10224,0442-2014 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0442-2014-04.pdf,UTM WGS84 ZONA 17M E754074 N9254331 ,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,Hualgayoc,CAJAMARCAHUALGAYOC,JUNTA ADMINISTRATIVA DE AGUA Y SANEAMIENTO -JAAS DE LA COMUNIDAD PERLAMAYO TRES LAGUNAS,12/05/2014,Poblacional,Superficial,Licencia,Manantial,SAN LUCAS,2837,0565-2014 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0565-2014-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,Hualgayoc,CAJAMARCAHUALGAYOC,JUNTA ADMINISTRATIVA DE AGUA Y SANEAMIENTO -JAAS DE LA COMUNIDAD COYUNDE LA PALMA,12/05/2014,Poblacional,Superficial,Licencia,Manantial,EL MOLINO,15449,0569-2014 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0569-2014-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,Hualgayoc,CAJAMARCAHUALGAYOC,JUNTA ADMINISTRATIVA DE AGUA Y SANEAMIENTO -JAAS DE LA COMUNIDADES DE NUEVO PERU,12/05/2014,Poblacional,Superficial,Licencia,Manantial,NUEVO PERU,3471,0570-2014 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0570-2014-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,Hualgayoc,CAJAMARCAHUALGAYOC,JUNTA ADMINISTRATIVA DE AGUA Y SANEAMIENTO -JAAS DE LA COMUNIDAD DE COYUNDE GRANDE SECTOR BAJO,12/05/2014,Poblacional,Superficial,Licencia,Manantial,LOS OLLUCOS,8514,0571-2014 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0571-2014-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,Hualgayoc,CAJAMARCAHUALGAYOC,JUNTA ADMINISTRATIVA DE AGUA Y SANEAMIENTO -JAAS DE LAS COMUNIDADES DE COYUNDE GRANDE SECTOR ALTO,12/05/2014,Poblacional,Superficial,Licencia,Manantial,KASHICIRQUE I,6618,0572-2014 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0572-2014-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,Hualgayoc,CAJAMARCAHUALGAYOC,JUNTA ADMINISTRATIVA DE AGUA Y SANEAMIENTO -JAAS DE LAS COMUNIDADES DE COYUNDE GRANDE SECTOR ALTO,12/05/2014,Poblacional,Superficial,Licencia,Manantial,KASHICIRQUE Ii,0,0572-2014 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0572-2014-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,Hualgayoc,CAJAMARCAHUALGAYOC,JUNTA ADMINISTRATIVA DE AGUA Y SANEAMIENTO -JAAS DE LAS COMUNIDADES DE COYUNDE GRANDE SECTOR ALTO,12/05/2014,Poblacional,Superficial,Licencia,Manantial,KASHICIRQUE Iii,0,0572-2014 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0572-2014-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,Hualgayoc,CAJAMARCAHUALGAYOC,"JUNTA ADMINISTRATIVA DE AGUA Y SANEAMIENTO -JAAS DE LAS COMUNIDADES PERLAMAYO TRES LAGUNAS, PERLAMAYO TAMBILLO ALTO Y PERLAMAYO TAMBILLO BAJO",12/05/2014,Poblacional,Superficial,Licencia,Manantial,MONTE LA TOMA,10089,0573-2014 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0573-2014-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,Hualgayoc,CAJAMARCAHUALGAYOC,"JUNTA ADMINISTRATIVA DE AGUA Y SANEAMIENTO -JAAS DE LAS COMUNIDADES PERLAMAYO TRES LAGUNAS, PERLAMAYO TAMBILLO ALTO Y PERLAMAYO TAMBILLO BAJO",12/05/2014,Poblacional,Superficial,Licencia,Manantial,MONTE LA TOMA,0,0573-2014 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0573-2014-03.pdf,,Sierra
