aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Ignacio,CAJAMARCASANIGNACIO,MUNICIPALIDAD DISTRITAL DE YAUYUCAN,02/02/2015,Poblacional,Superficial,Licencia,Manantial,PUCHUDEN I,16576,0297-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0297-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Ignacio,CAJAMARCASANIGNACIO,MUNICIPALIDAD DISTRITAL DE YAUYUCAN,02/02/2015,Poblacional,Superficial,Licencia,Manantial,PUCHUDEN II,0,0297-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0297-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Ignacio,CAJAMARCASANIGNACIO,MUNICIPALIDAD DISTRITAL DE YAUYUCAN,02/02/2015,Poblacional,Superficial,Licencia,Manantial,SHITAPAMPA,0,0298-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0298-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Ignacio,CAJAMARCASANIGNACIO,MUNICIPALIDAD DISTRITAL DE YAUYUCAN,02/02/2015,Poblacional,Superficial,Licencia,Manantial,YAUYUCAN II,0,0298-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0298-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Ignacio,CAJAMARCASANIGNACIO,MUNICIPALIDAD DISTRITAL DE YAUYUCAN,02/02/2015,Poblacional,Superficial,Licencia,Manantial,YAUYUCAN III,0,0298-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0298-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Ignacio,CAJAMARCASANIGNACIO,MUNICIPALIDAD DISTRITAL DE YAUYUCAN,02/02/2015,Poblacional,Superficial,Licencia,Manantial,LA CUDA,0,0298-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0298-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Ignacio,CAJAMARCASANIGNACIO,MUNICIPALIDAD DISTRITAL DE YAUYUCAN,02/02/2015,Poblacional,Superficial,Licencia,Manantial,YAUYUCAN I,16996,0298-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0298-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Ignacio,CAJAMARCASANIGNACIO,MUNICIPALIDAD DISTRITAL DE YAUYUCAN,02/02/2015,Poblacional,Superficial,Licencia,Manantial,LA PALMA II,0,0299-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0299-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Ignacio,CAJAMARCASANIGNACIO,MUNICIPALIDAD DISTRITAL DE YAUYUCAN,02/02/2015,Poblacional,Superficial,Licencia,Manantial,LA PALMA I,4406,0299-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0299-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Ignacio,CAJAMARCASANIGNACIO,MUNICIPALIDAD DISTRITAL DE YAUYUCAN,02/02/2015,Poblacional,Superficial,Licencia,Manantial,CHILAL,6714,0300-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0300-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Ignacio,CAJAMARCASANIGNACIO,MUNICIPALIDAD DISTRITAL DE YAUYUCAN,02/02/2015,Poblacional,Superficial,Licencia,Manantial,,0,0300-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0300-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Ignacio,CAJAMARCASANIGNACIO,MUNICIPALIDAD DISTRITAL DE YAUYUCAN,02/02/2015,Poblacional,Superficial,Licencia,Manantial,YANAYACU ALTO I,7344,0301-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0301-2015-03.pdf,,Sierra
