aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Marcos,CAJAMARCASANMARCOS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO-JASS DEL CASERIO CHAULLAGON,26/02/2015,Poblacional,Superficial,Licencia,Manantial,CHAULLAGON,1888,0515-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0515-2015-02.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Marcos,CAJAMARCASANMARCOS,JUNTA ADMINISTRADORA DE SERVIOS DE SANEAMIENTO-JASS DEL CASERIO LA LAGUNA,26/02/2015,Poblacional,Superficial,Licencia,Manantial,LA LAGUNA,2098,0516-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0516-2015-02.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Marcos,CAJAMARCASANMARCOS,MUNICIPALIDAD DISTRITAL DE TONGOD,26/02/2015,Poblacional,Superficial,Licencia,Manantial,EL TOTO,10491,0517-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0517-2015-02.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Marcos,CAJAMARCASANMARCOS,MUNICIPALIDAD DISTRITAL DE TONGOD,26/02/2015,Poblacional,Superficial,Licencia,Manantial,LA LUCUMA,8393,0518-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0518-2015-02.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Marcos,CAJAMARCASANMARCOS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO-JASS CASERIO LA UNION,26/02/2015,Poblacional,Superficial,Licencia,Manantial,LA MERCED,4616,0520-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0520-2015-02.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Marcos,CAJAMARCASANMARCOS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO-JASS DEL CASERIO NUEVO EDEN,17/03/2015,Poblacional,Superficial,Licencia,Manantial,NUEVO EDEN I,4196,0712-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0712-2015-02.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Marcos,CAJAMARCASANMARCOS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO-JASS DEL CASERIO NUEVO EDEN,17/03/2015,Poblacional,Superficial,Licencia,Manantial,NUEVO EDEN II,0,0712-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0712-2015-02.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Marcos,CAJAMARCASANMARCOS,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO-JASS DEL CASERIO NUEVO EDEN,17/03/2015,Poblacional,Superficial,Licencia,Manantial,NUEVO EDEN III,0,0712-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0712-2015-02.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,Cajamarca,San Marcos,CAJAMARCASANMARCOS,MUNICIPALIDAD DISTRITAL DE TONGOD,17/03/2015,Poblacional,Superficial,Licencia,Manantial,TONGOD ALTO,3777,0735-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0735-2015-02.pdf,,Sierra
Marañón,Crisnejas,Cajamarca,San Marcos,CAJAMARCASANMARCOS,MORADORES DEL CASERÍO SHILLABAMBA,06/07/1995,Doméstico,Superficial,Autorización,Manantial,LOS SHIRAKES,0,0071-1995 SR-AG-C/ARDRC,http://file2.ana.gob.pe/dir_rada/41/41-RA-0071-1995-02.pdf,,Sierra
Marañón,Crisnejas,Cajamarca,San Marcos,CAJAMARCASANMARCOS,MORADORES DEL CASERÍO SHILLABAMBA,06/07/1995,Doméstico,Superficial,Autorización,Manantial,LA PINCHA,0,0071-1995 SR-AG-C/ARDRC,http://file2.ana.gob.pe/dir_rada/41/41-RA-0071-1995-02.pdf,,Sierra
Marañón,Crisnejas,Cajamarca,San Marcos,CAJAMARCASANMARCOS,MUNICIPALIDAD DISTRITAL PEDRO GALVEZ (4784 HABITANTES),06/07/1995,Doméstico,Superficial,Autorización,Río,HUAYOBAMBA,0,0072-1995 AG-C/ARDRC,http://file2.ana.gob.pe/dir_rada/41/41-RA-0072-1995-02.pdf,,Sierra
Marañón,Crisnejas,Cajamarca,San Marcos,CAJAMARCASANMARCOS,PABLO SANCHEZ JUAN EMILIANO,03/07/1997,Agrario,Superficial,Autorización,Manantial,LA LUCMA,0,0039-1997 RENOM-GSR-DSR.AG.C/ATDRC,http://file2.ana.gob.pe/dir_rada/41/41-RA-0039-1997-02.pdf,,Sierra
Marañón,Crisnejas,Cajamarca,San Marcos,CAJAMARCASANMARCOS,CANAL EL OLIVO: 212 USUARIOS,04/07/1997,Agrario,Superficial,Autorización,Río,HUAYOBAMBA,0,0042-1997 RENOM-GSR-DSR-AG-C/ATDRC,http://file2.ana.gob.pe/dir_rada/41/41-RA-0042-1997-04.pdf,,Sierra
Marañón,Crisnejas,Cajamarca,San Marcos,CAJAMARCASANMARCOS,CANAL CENTRAL O CANAL B: 140 USUARIOS,04/07/1997,Agrario,Superficial,Autorización,Río,HUAYOBAMBA,0,0042-1997 RENOM-GSR-DSR-AG-C/ATDRC,http://file2.ana.gob.pe/dir_rada/41/41-RA-0042-1997-04.pdf,,Sierra
Marañón,Crisnejas,Cajamarca,San Marcos,CAJAMARCASANMARCOS,CANAL CUSHUMALCA O CANAL C: 88 USUARIOS,04/07/1997,Agrario,Superficial,Autorización,Río,HUAYOBAMBA,0,0042-1997 RENOM-GSR-DSR-AG-C/ATDRC,http://file2.ana.gob.pe/dir_rada/41/41-RA-0042-1997-04.pdf,,Sierra
Marañón,Crisnejas,Cajamarca,San Marcos,CAJAMARCASANMARCOS,HIDRANDINA S.A.,21/07/1998,Energético,Superficial,Autorización,Río,MUYOC,4.33e+06,0006-1998 CTAR-CAJ-DRAG.C/ATDRC,http://file2.ana.gob.pe/dir_rada/41/41-RA-0006-1998-02.pdf,,Sierra
Marañón,Crisnejas,Cajamarca,San Marcos,CAJAMARCASANMARCOS,"USUARIOS DEL CANAL DE REGADIO ""CEDRO BAJO - POTRERO""; 71 USUARIOS",19/08/1998,Agrario,Superficial,Autorización,Río,CASCACEN,0,0016-1998 CTAR-CAJ-DRAG.C/ATDRC,http://file2.ana.gob.pe/dir_rada/41/41-RA-0016-1998-02.pdf,,Sierra
Marañón,Crisnejas,Cajamarca,San Marcos,CAJAMARCASANMARCOS,"USUARIOS DEL CANAL DE REGADIO ""CEDRO BAJO - POTRERO""; 71 USUARIOS",19/08/1998,Agrario,Superficial,Autorización,Río,LOS MOLINOS,0,0016-1998 CTAR-CAJ-DRAG.C/ATDRC,http://file2.ana.gob.pe/dir_rada/41/41-RA-0016-1998-02.pdf,,Sierra
Marañón,Crisnejas,Cajamarca,San Marcos,CAJAMARCASANMARCOS,"USUARIOS DEL CANAL DE REGADIO ""CEDRO BAJO - POTRERO""; 71 USUARIOS",19/08/1998,Agrario,Superficial,Autorización,Filtración,LA TACONA,0,0016-1998 CTAR-CAJ-DRAG.C/ATDRC,http://file2.ana.gob.pe/dir_rada/41/41-RA-0016-1998-02.pdf,,Sierra
Marañón,Crisnejas,Cajamarca,San Marcos,CAJAMARCASANMARCOS,"69 USUARIOS DEL CANAL DE REGADIO ""UÑIGAN""",22/09/1998,Agrario,Superficial,Autorización,Río,UÑIGAN,0,0032-1998 CTAR-CAJ-DRAG.C/ATDRC,http://file2.ana.gob.pe/dir_rada/41/41-RA-0032-1998-02.pdf,,Sierra
Marañón,Crisnejas,Cajamarca,San Marcos,CAJAMARCASANMARCOS,83 USUARIOS DEL CANAL PADERONES,22/09/1998,Agrario,Superficial,Autorización,Río,LA TOTORILLA,0,0033-1998 CAJ-DRA.C/ATDRC,http://file2.ana.gob.pe/dir_rada/41/41-RA-0033-1998-02.pdf,,Sierra
