aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,COMITE DE OBRA CONSTRUCCION DEL SISTEMA DE AGUA POTABLE HIERBA SANTA,30/03/1999,Poblacional,Superficial,Autorización,Manantial,PIEDRA GRANDE,0,0162-1999 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0162-1999-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,COMITE DE OBRA CONSTRUCCION DEL SISTEMA AGUA POTABLE NUEVO LORETO,30/03/1999,Poblacional,Superficial,Autorización,Manantial,LAS MINAS,0,0164-1999 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0164-1999-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,SISTEMA AGUA POTABLE CONTADERA,30/03/1999,Poblacional,Superficial,Autorización,Manantial,ANTAPAMPA,0,0165-1999 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0165-1999-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,SISTEMA AG. POT.TUMBADEN GRANDE - CHACAPAMPA,30/03/2000,Poblacional,Superficial,Autorización,Manantial,CHACHACOMA,0,0191-2000 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0191-2000-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,SISTEMA AG. POT.TUMBADEN GRANDE - CHACAPAMPA,30/03/2000,Poblacional,Superficial,Autorización,Manantial,EL SAUCO,0,0191-2000 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0191-2000-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,SISTEMA AG. POT.TUMBADEN GRANDE - CHACAPAMPA,30/03/2000,Poblacional,Superficial,Autorización,Manantial,LA RAMADA 1,0,0191-2000 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0191-2000-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,SISTEMA AG. POT.TUMBADEN GRANDE - CHACAPAMPA,30/03/2000,Poblacional,Superficial,Autorización,Manantial,LA RAMADA 2,0,0191-2000 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0191-2000-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,SISTEMA AG. POT.TUMBADEN GRANDE - CHACAPAMPA,30/03/2000,Poblacional,Superficial,Autorización,Manantial,LICLEPAMPA,0,0191-2000 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0191-2000-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,SISTEMA AG. POT.TUMBADEN GRANDE - CHACAPAMPA,30/03/2000,Poblacional,Superficial,Autorización,Manantial,CRUZ DE LEGUA,0,0191-2000 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0191-2000-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,SISTEMA AG. POT.TUMBADEN GRANDE - CHACAPAMPA,30/03/2000,Poblacional,Superficial,Autorización,Manantial,EL PALENQUE,0,0191-2000 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0191-2000-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,JUNTA ADMINISTRADORA DE AGUA POTABLE CASERIO ZAPOTAL,19/06/2000,Poblacional,Superficial,Autorización,Manantial,CAÑA BRAVA,0,0283-2000 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0283-2000-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,JUNTA ADMINISTRADORA DE AGUAPOTABLE DEL CASERIO CARDON ALTO - SAN PABLO,17/11/2003,Poblacional,Superficial,Autorización,Manantial,CHUMBILORCO,0,0380-2003 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0380-2003-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,JUNTA ADMINISTRADORA AGUA POTABLE CAPELLANIA,20/05/2005,Poblacional,Superficial,Licencia,Manantial,EL HIGUERON,0,0365-2005 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0365-2005-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,JUNTA ADMINISTRADORA AGUA POTABLE CAPELLANIA,20/05/2005,Poblacional,Superficial,Licencia,Manantial,LA QUINTA,0,0365-2005 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0365-2005-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,MUNICIPALIDAD DISTRITAL DE TUMBADEN,30/05/2005,Poblacional,Superficial,Autorización,Manantial,LOS LANCHES,0,0379-2005 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0379-2005-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,MUNICIPALIDAD DISTRITAL DE SAN LUIS,07/06/2005,Poblacional,Superficial,Autorización,Manantial,CAMPO ALEGRE - TAÑON,0,0384-2005 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0384-2005-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,COMUNIDAD CAMPESINA MOROWISHA,01/09/2005,Poblacional,Superficial,Autorización,,TRES HUECOS,0,0600-2005 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0600-2005-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,JUNTA ADMINISTRADORA AGUA POTABLE HUACA MAYCHIL,11/10/2005,Poblacional,Superficial,Autorización,Manantial,LAS HIGUERILLAS,0,0786-2005 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0786-2005-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,JAAP. CENTRO POBLADO KUNTUR WASI,25/10/2005,Poblacional,Superficial,Autorización,Manantial,LAS TERCIANAS,0,0809-2005 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0809-2005-02.pdf,,Sierra
Jequetepeque Zarumilla,Jequetepeque,Cajamarca,San Pablo,CAJAMARCASANPABLO,"CARRASCO TERAN, NICOLAS",11/11/2005,Poblacional,Superficial,Autorización,Manantial,CAÑA BRAVA,0,0845-2005 MA-ATDRJ,http://file2.ana.gob.pe/dir_rada/09/09-RA-0845-2005-02.pdf,,Sierra
