aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Cañete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,CALLAOCALLAO,COMPAÑÍA GOOD YEAR DEL PERU,21/12/1944,Industrial,Subterráneo,Licencia,Acuífero,RIMAC,0,0140-1944 RESOLUCION MINISTERIAL,http://file2.ana.gob.pe/dir_rada/19/19-RM-0140-1944-01.pdf,,Costa
Cañete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,CALLAOCALLAO,TECNOLOGICA DE ALIMENTOS - TASA S.A.,27/12/1961,Industrial,Subterráneo,Licencia,Acuífero,RIMAC,0,0573-1961 RESOLUCION SUPREMA,http://file2.ana.gob.pe/dir_rada/19/19-RS-0573-1961-01.pdf,,Costa
Cañete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,CALLAOCALLAO,COMPAÑÍA PESQUERA LOS FERROLES S.A.,21/05/1963,Industrial,Subterráneo,Licencia,Acuífero,RIMAC,0,0209-1963 RESOLUCION SUPREMA,http://file2.ana.gob.pe/dir_rada/19/19-RS-0209-1963-01.pdf,LAT-12.0151/LON-77.124,Costa
Cañete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,CALLAOCALLAO,FABRICA DE CALZADO PERUANO S.A,25/10/1972,Recreativo,Subterráneo,Licencia,Acuífero,RIMAC,26520,1104-1972 AG,http://file2.ana.gob.pe/dir_rada/19/19-RS-1104-1972-02.pdf,LAT-12.0447/LON-77.0921,Costa
Cañete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,CALLAOCALLAO,SOCIEDAD ANONIMA FAUSTO PIAGGIO,29/11/1972,Industrial,Subterráneo,Licencia,Acuífero,RIMAC,9000,1259-1972 AG,http://file2.ana.gob.pe/dir_rada/19/19-RS-1259-1972-02.pdf,LAT-12.0446/LON-77.0958,Costa
Cañete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,CALLAOCALLAO,OLEOTECNICA S.A.,26/12/1972,Industrial,Subterráneo,Licencia,Acuífero,RIMAC,120000,1393-1972 RESOLUCION SUPREMA,http://file2.ana.gob.pe/dir_rada/19/19-RS-1393-1972-02.pdf,,Costa
Cañete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,CALLAOCALLAO,MORAVECO S.A.,31/10/1973,Industrial,Subterráneo,Licencia,Acuífero,RIMAC,251150,1213-1973 AG,http://file2.ana.gob.pe/dir_rada/19/19-RS-1213-1973-02.pdf,,Costa
Cañete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,CALLAOCALLAO,AJINO MOTO DEL PERU,05/12/1975,,Subterráneo,Licencia,Acuífero,,1.932297e+06,0538-1975 OGA-DAD-DT,http://file2.ana.gob.pe/dir_rada/19/19-RS-0538-1975-02.pdf,,Costa
Cañete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,CALLAOCALLAO,FERTILIZANTES SINTETICOS S.A.,20/04/1983,Industrial,Subterráneo,Licencia,Acuífero,RIMAC,650430,0038-1983 AG-DGASI,http://file2.ana.gob.pe/dir_rada/19/19-RD-0038-1983-02.pdf,LAT-12.0263/LON-77.1151,Costa
Cañete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,CALLAOCALLAO,FERTILIZANTES SINTETICOS S.A.,20/04/1983,Industrial,Subterráneo,Licencia,Acuífero,RIMAC,542025,0038-1983 AG-DGASI,http://file2.ana.gob.pe/dir_rada/19/19-RD-0038-1983-02.pdf,LAT-12.0263/LON-77.1151,Costa
