aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Huarmey Chicama,Santiago de Chuco,Cusco,Acomayo,CUSCOACOMAYO,JASS DE LA COMUNIDAD CAMPESINA DE SANTA ROSA DE MANCURA,01/06/2015,Poblacional,Superficial,Licencia,Manantial,,32923,0158-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0158-2019-03.pdf,LAT-14.0019/LON-71.6226,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Acomayo,CUSCOACOMAYO,JASS DE LA COMUNIDAD CAMPESINA DE SANTA ROSA DE MANCURA,01/06/2015,Poblacional,Superficial,Licencia,Manantial,,0,0158-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0158-2019-03.pdf,LAT-14.0019/LON-71.6226,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Acomayo,CUSCOACOMAYO,JASS DE LA COMUNIDAD CAMPESINA DE SANTA ROSA DE MANCURA,01/06/2015,Poblacional,Superficial,Licencia,Manantial,,0,0158-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0158-2019-03.pdf,LAT-14.0019/LON-71.6226,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Acomayo,CUSCOACOMAYO,JASS DE LA COMUNIDAD CAMPESINA DE SANTA ROSA DE MANCURA,01/06/2015,Poblacional,Superficial,Licencia,Manantial, CCOTOPUJIO,0,0158-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0158-2019-03.pdf,LAT-14.0019/LON-71.6226,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Acomayo,CUSCOACOMAYO,JASS DE LA COMUNIDAD CAMPESINA DE SANTA ROSA DE IHUINA,25/06/2015,Poblacional,Superficial,Licencia,Manantial,,19867.68,0184-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0184-2019-02.pdf,LAT-13.9734/LON-71.527,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Acomayo,CUSCOACOMAYO,JASS DE LA COMUNIDAD CAMPESINA DE CHILLCHICAYA,30/12/2015,Poblacional,Superficial,Licencia,Manantial,,0,0403-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0403-2015-03.pdf,LAT-13.9808/LON-71.5441,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Acomayo,CUSCOACOMAYO,JASS DE LA COMUNIDAD CAMPESINA DE CHILLCHICAYA,30/12/2015,Poblacional,Superficial,Licencia,Manantial,,13081.6,0403-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0403-2015-03.pdf,LAT-13.9808/LON-71.5441,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Acomayo,CUSCOACOMAYO,JASS DE LA COMUNIDAD CAMPESINA DE CHILLCHICAYA,30/12/2015,Poblacional,Superficial,Licencia,Manantial,,0,0403-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0403-2015-03.pdf,LAT-13.9808/LON-71.5441,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Acomayo,CUSCOACOMAYO,JASS DE LA COMUNIDAD CAMPESINA DE CHILLCHICAYA,30/12/2015,Poblacional,Superficial,Licencia,Manantial,,0,0403-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0403-2015-03.pdf,LAT-13.9808/LON-71.5441,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Acomayo,CUSCOACOMAYO,JASS DE LA COMUNIDAD CAMPESINA DE CHILLCHICAYA,30/12/2015,Poblacional,Superficial,Licencia,Manantial,,0,0403-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0403-2015-03.pdf,LAT-13.9808/LON-71.5441,Sierra
