aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Huarmey Chicama,Santiago de Chuco,Cusco,Anta,CUSCOANTA,,08/11/2013,Poblacional,Superficial,Licencia,Manantial, CHOQQUEPATA UNO,11899,0089-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0089-2013-03.pdf,LAT-13.4801/LON-72.1374,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Anta,CUSCOANTA,,08/11/2013,Poblacional,Superficial,Licencia,Manantial, CHOQQUEPATA DOS,0,0089-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0089-2013-03.pdf,LAT-13.4801/LON-72.1374,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Anta,CUSCOANTA,,28/02/2014,,Superficial,Licencia,Manantial, ACHUPALLAYOC,273.75,0139-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0139-2014-03.pdf,LAT-13.4969/LON-72.0559,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Anta,CUSCOANTA,,28/02/2014,,Superficial,Licencia,Manantial, CHACHACUMAYOC 01,0,0139-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0139-2014-03.pdf,LAT-13.4969/LON-72.0559,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Anta,CUSCOANTA,,28/02/2014,,Superficial,Licencia,Manantial, CHACHACUMAYOC 02,0,0139-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0139-2014-03.pdf,LAT-13.4969/LON-72.0559,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Anta,CUSCOANTA,,07/03/2014,Poblacional,Superficial,Licencia,Manantial, MISKIUNUYOC,28032,0197-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0197-2014-03.pdf,LAT-13.4775/LON-72.2646,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Anta,CUSCOANTA,,17/03/2014,Agrario,Superficial,Licencia,Quebrada, ACCHAPAY,1.24092951e+06,0241-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0241-2014-03.pdf,LAT-13.4406/LON-72.3277,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Anta,CUSCOANTA,,07/04/2014,Poblacional,Superficial,Licencia,Manantial, ERBABUENAYOC 01,100915,0308-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0308-2014-03.pdf,LAT-13.4946/LON-72.1639,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Anta,CUSCOANTA,,07/04/2014,Poblacional,Superficial,Licencia,Manantial, ERBABUENAYOC 02,0,0308-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0308-2014-03.pdf,LAT-13.4946/LON-72.1639,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Anta,CUSCOANTA,,07/04/2014,Agrario,Superficial,Licencia,Quebrada, KANTUYOC,373858,0309-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0309-2014-03.pdf,LAT-13.4918/LON-72.2929,Sierra
