aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Huarmey Chicama,Santiago de Chuco,Cusco,Calca,CUSCOCALCA,,04/03/2014,Agrario,Superficial,Licencia,Quebrada, QUELLOUNO,849063.21,0158-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0158-2014-03.pdf,LAT-13.3512/LON-71.954,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Calca,CUSCOCALCA,,07/03/2014,Agrario,Superficial,Licencia,Manantial, HATUN HUAYLLA,591936.74,0186-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0186-2014-03.pdf,LAT-13.4702/LON-71.7369,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Calca,CUSCOCALCA,,07/03/2014,Agrario,Superficial,Licencia,Manantial, QOLPAYOC,0,0186-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0186-2014-03.pdf,LAT-13.4702/LON-71.7369,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Calca,CUSCOCALCA,,07/03/2014,Agrario,Superficial,Licencia,Manantial, YANAQAQA HUAYCO,0,0186-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0186-2014-03.pdf,LAT-13.4702/LON-71.7369,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Calca,CUSCOCALCA,,07/03/2014,Agrario,Superficial,Licencia,Manantial, QOCHA HUAYLLA,0,0186-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0186-2014-03.pdf,LAT-13.4702/LON-71.7369,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Calca,CUSCOCALCA,,07/03/2014,Agrario,Superficial,Licencia,Manantial, NIHUAYOC,0,0186-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0186-2014-03.pdf,LAT-13.4702/LON-71.7369,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Calca,CUSCOCALCA,,07/03/2014,Agrario,Superficial,Licencia,Manantial, LABRACHAYOC,0,0186-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0186-2014-03.pdf,LAT-13.4702/LON-71.7369,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Calca,CUSCOCALCA,,07/03/2014,Agrario,Superficial,Licencia,Manantial, LABRAMNIYOC 1,0,0186-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0186-2014-03.pdf,LAT-13.4702/LON-71.7369,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Calca,CUSCOCALCA,,07/03/2014,Agrario,Superficial,Licencia,Manantial, LABRAMNIYOC 2,0,0186-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0186-2014-03.pdf,LAT-13.4702/LON-71.7369,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Calca,CUSCOCALCA,,07/03/2014,Agrario,Superficial,Licencia,Manantial, LABRAMNIYOC 3,0,0186-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0186-2014-03.pdf,LAT-13.4702/LON-71.7369,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Calca,CUSCOCALCA,,07/03/2014,Agrario,Superficial,Licencia,Manantial, QOYACHOC HUAYLLA,0,0186-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0186-2014-03.pdf,LAT-13.4702/LON-71.7369,Sierra
