aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Huarmey Chicama,Santiago de Chuco,Cusco,Canas,CUSCOCANAS,BLOQUE DE RIEGO VALLE VERDE - LLALLAPARA,23/10/2015,Agrario,Superficial,Licencia,Manantial,,170404.13,0288-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0288-2015-03.pdf,LAT-14.264/LON-71.4017,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canas,CUSCOCANAS,BLOQUE DE RIEGO VALLE VERDE - LLALLAPARA,23/10/2015,Agrario,Superficial,Licencia,Manantial,,0,0288-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0288-2015-03.pdf,LAT-14.264/LON-71.4017,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canas,CUSCOCANAS,BLOQUE DE RIEGO VALLE VERDE - LLALLAPARA,23/10/2015,Agrario,Superficial,Licencia,Manantial,,0,0288-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0288-2015-03.pdf,LAT-14.264/LON-71.4017,Sierra
Urubamba Vilcanota,Sicuani,Cusco,Canas,CUSCOCANAS,,21/12/2009,Agrario,Superficial,Licencia,Manantial,,0,0294-2009 ANA/ALA-SICUANI.,http://file2.ana.gob.pe/dir_rada/63/63-RA-0294-2009-02.pdf,LAT-14.5449/LON-71.1587,Sierra
Urubamba Vilcanota,Sicuani,Cusco,Canas,CUSCOCANAS,,21/12/2009,Agrario,Superficial,Licencia,Manantial,,0,0294-2009 ANA/ALA-SICUANI.,http://file2.ana.gob.pe/dir_rada/63/63-RA-0294-2009-02.pdf,LAT-14.5449/LON-71.1587,Sierra
Urubamba Vilcanota,Sicuani,Cusco,Canas,CUSCOCANAS,,21/12/2009,Agrario,Superficial,Licencia,Manantial,,0,0294-2009 ANA/ALA-SICUANI.,http://file2.ana.gob.pe/dir_rada/63/63-RA-0294-2009-02.pdf,LAT-14.5449/LON-71.1587,Sierra
Urubamba Vilcanota,Sicuani,Cusco,Canas,CUSCOCANAS,,28/12/2009,Agrario,Superficial,Licencia,Manantial,,0,0297-2009 ANA/ALA-SICUANI.,http://file2.ana.gob.pe/dir_rada/63/63-RA-0297-2009-02.pdf,LAT-14.4057/LON-71.2935,Sierra
Urubamba Vilcanota,Sicuani,Cusco,Canas,CUSCOCANAS,,28/12/2009,Agrario,Superficial,Licencia,Manantial,,0,0297-2009 ANA/ALA-SICUANI.,http://file2.ana.gob.pe/dir_rada/63/63-RA-0297-2009-02.pdf,LAT-14.4057/LON-71.2935,Sierra
Urubamba Vilcanota,Sicuani,Cusco,Canas,CUSCOCANAS,,28/12/2009,Agrario,Superficial,Licencia,Manantial,,0,0301-2009 ANA/ALA-SICUANI.,http://file2.ana.gob.pe/dir_rada/63/63-RA-0301-2009-06.pdf,LAT-14.5566/LON-71.2398,Sierra
Urubamba Vilcanota,Sicuani,Cusco,Canas,CUSCOCANAS,,30/12/2009,Agrario,Superficial,Licencia,Riachuelo,,0,0307-2009 ANA/ALA-SICUANI.,http://file2.ana.gob.pe/dir_rada/63/63-RA-0307-2009-06.pdf,LAT-14.636/LON-71.2182,Sierra
