aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,JASS URAMPAMPA DE LA COMUNIDAD DE MACHACMARCA,03/08/2015,Poblacional,Superficial,Licencia,Manantial,,55589.51,0205-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0205-2015-03.pdf,LAT-14.1384/LON-71.3732,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,JASS URAMPAMPA DE LA COMUNIDAD DE MACHACMARCA,03/08/2015,Poblacional,Superficial,Licencia,Manantial,,0,0205-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0205-2015-03.pdf,LAT-14.1384/LON-71.3732,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,JASS URAMPAMPA DE LA COMUNIDAD DE MACHACMARCA,03/08/2015,Poblacional,Superficial,Licencia,Manantial,,0,0205-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0205-2015-03.pdf,LAT-14.1384/LON-71.3732,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,JASS DEL BARRIO HUAÑUMA DE LA COMUNIDAD CAMPESINA DE TOTORANI DEL DISTRITO DE SICUANI,03/08/2015,Poblacional,Superficial,Licencia,Manantial,,20813.76,0206-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0206-2015-03.pdf,LAT-14.3418/LON-71.3783,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,JASS DEL BARRIO HUAÑUMA DE LA COMUNIDAD CAMPESINA DE TOTORANI DEL DISTRITO DE SICUANI,03/08/2015,Poblacional,Superficial,Licencia,Manantial,,0,0206-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0206-2015-03.pdf,LAT-14.3418/LON-71.3783,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,JASS BARRIO CHURULLA DE LA COMUNIDAD DE HERCCA,03/08/2015,Poblacional,Superficial,Licencia,Manantial,,10512,0207-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0207-2015-03.pdf,LAT-14.3027/LON-71.2634,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,JASS BARRIO CHURULLA DE LA COMUNIDAD DE HERCCA,03/08/2015,Poblacional,Superficial,Licencia,Manantial,,0,0207-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0207-2015-03.pdf,LAT-14.3027/LON-71.2634,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,JASS BARRIO CHURULLA DE LA COMUNIDAD DE HERCCA,03/08/2015,Poblacional,Superficial,Licencia,Manantial,,0,0207-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0207-2015-03.pdf,LAT-14.3027/LON-71.2634,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,JASS BARRIO CHURULLA DE LA COMUNIDAD DE HERCCA,03/08/2015,Poblacional,Superficial,Licencia,Manantial,,0,0207-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0207-2015-03.pdf,LAT-14.3027/LON-71.2634,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,COMISION DE USUARIOS HERCCA,03/08/2015,Agrario,Superficial,Licencia,Río,,1.89964656e+06,0209-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0209-2015-03.pdf,LAT-14.3396/LON-71.2777,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,COMISION DE USUARIOS HERCCA,03/08/2015,Agrario,Superficial,Licencia,Quebrada,,0,0209-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0209-2015-03.pdf,LAT-14.3396/LON-71.2777,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,COMISION DE USUARIOS HERCCA,03/08/2015,Agrario,Superficial,Licencia,Quebrada,,0,0209-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0209-2015-03.pdf,LAT-14.3396/LON-71.2777,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,COMISION DE USUARIOS HERCCA,03/08/2015,Agrario,Superficial,Licencia,Manantial,,0,0209-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0209-2015-03.pdf,LAT-14.3396/LON-71.2777,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,JASS ANEXO SURUHUAYLLA DE LA COMUNIDAD CAMPESINA INCA PARTE DEL DISTRITO DE SAN PABLO,21/10/2015,Poblacional,Superficial,Licencia,Manantial,,11037.6,0280-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0280-2015-03.pdf,LAT-14.2361/LON-71.3575,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,JASS DE LA COMUNIDAD DE HANCCOHOCCA,23/10/2015,Poblacional,Superficial,Licencia,Manantial,,17374,0290-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0290-2015-03.pdf,LAT-14.3766/LON-71.1771,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Canchis,CUSCOCANCHIS,JASS DE LA COMUNIDAD DE HANCCOHOCCA,23/10/2015,Poblacional,Superficial,Licencia,Manantial,,0,0290-2015 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0290-2015-03.pdf,LAT-14.3766/LON-71.1771,Sierra
