aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Chumbivilcas,CUSCOCHUMBIVILCAS,COMITÉ DE USUARIOS DE AGUA TAMBO HUANCARAMA,23/02/2016,Agrario,Superficial,Licencia,Manantial,Senccapata huaycco II,17995.8,0112-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/71/71-RD-2016-0112-04.pdf,LAT-14.765/LON-72.3471,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Chumbivilcas,CUSCOCHUMBIVILCAS,COMITÉ DE USUARIOS DE AGUA TAMBO HUANCARAMA,23/02/2016,Agrario,Superficial,Licencia,Manantial,Querachayoc II,6784.43,0112-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/71/71-RD-2016-0112-04.pdf,LAT-14.765/LON-72.3471,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Chumbivilcas,CUSCOCHUMBIVILCAS,COMITÉ DE USUARIOS DE AGUA TAMBO HUANCARAMA,23/02/2016,Agrario,Superficial,Licencia,Manantial,Querachayoc I,6105.71,0112-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/71/71-RD-2016-0112-04.pdf,LAT-14.765/LON-72.3471,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Chumbivilcas,CUSCOCHUMBIVILCAS,COMITÉ DE USUARIOS DE AGUA TAMBO HUANCARAMA,23/02/2016,Agrario,Superficial,Licencia,Manantial,Senccapata huaycco I,8869.36,0112-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/71/71-RD-2016-0112-04.pdf,LAT-14.765/LON-72.3471,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Chumbivilcas,CUSCOCHUMBIVILCAS,COMITÉ DE USUARIOS DE AGUA TAMBO HUANCARAMA,23/02/2016,Agrario,Superficial,Licencia,Manantial,Paiche huaycco,11247.39,0112-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/71/71-RD-2016-0112-04.pdf,LAT-14.765/LON-72.3471,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Chumbivilcas,CUSCOCHUMBIVILCAS,COMITÉ DE USUARIOS DE AGUA TAMBO HUANCARAMA,23/02/2016,Agrario,Superficial,Licencia,Manantial,Condor kaka occo,1606.78,0112-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/71/71-RD-2016-0112-04.pdf,LAT-14.765/LON-72.3471,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Chumbivilcas,CUSCOCHUMBIVILCAS,COMITÉ DE USUARIOS DE AGUA TAMBO HUANCARAMA,23/02/2016,Agrario,Superficial,Licencia,Manantial,cochayoc pata,964.07,0112-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/71/71-RD-2016-0112-04.pdf,LAT-14.765/LON-72.3471,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Chumbivilcas,CUSCOCHUMBIVILCAS,COMITÉ DE USUARIOS DE AGUA TAMBO HUANCARAMA,23/02/2016,Agrario,Superficial,Licencia,Manantial,Laguaña cucho,9892.2,0112-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/71/71-RD-2016-0112-04.pdf,LAT-14.765/LON-72.3471,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Chumbivilcas,CUSCOCHUMBIVILCAS,COMITÉ DE USUARIOS DE AGUA TAMBO HUANCARAMA,23/02/2016,Agrario,Superficial,Licencia,Manantial,Chinchoy cucho,4498.95,0112-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/71/71-RD-2016-0112-04.pdf,LAT-14.765/LON-72.3471,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Chumbivilcas,CUSCOCHUMBIVILCAS,COMITÉ DE USUARIOS DE AGUA TAMBO HUANCARAMA,23/02/2016,Agrario,Superficial,Licencia,Manantial,Huaraypasca,8033.85,0112-2016 ANA/AAA.XI-PA,http://file2.ana.gob.pe/dir_rada/71/71-RD-2016-0112-04.pdf,LAT-14.765/LON-72.3471,Sierra
