aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Caplina Ocoña,Chili,Cusco,Espinar,CUSCOESPINAR,CONSTRUCTORA QUEIROZ GALVAO S.A.,11/07/2014,Transporte,Superficial,Autorización,Río,HAWAI,1350,0705-2014 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/28/28-RD-0705-2014-03.pdf,,Sierra
Caplina Ocoña,Chili,Cusco,Espinar,CUSCOESPINAR,CONSTRUCTORA QUEIROZ GALVAO S.A.,11/07/2014,Transporte,Superficial,Autorización,Quebrada,HUIACANCHA,1350,0705-2014 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/28/28-RD-0705-2014-03.pdf,,Sierra
Caplina Ocoña,Chili,Cusco,Espinar,CUSCOESPINAR,CONSTRUCTORA QUEIROZ GALVAO S.A.,11/07/2014,Transporte,Superficial,Autorización,Quebrada,HUIACANCHA,1350,0705-2014 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/28/28-RD-0705-2014-03.pdf,,Sierra
Caplina Ocoña,Chili,Cusco,Espinar,CUSCOESPINAR,CONSTRUCTORA QUEIROZ GALVAO S.A.,11/07/2014,Transporte,Superficial,Autorización,Quebrada,HUIACANCHA,1350,0705-2014 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/28/28-RD-0705-2014-03.pdf,,Sierra
Caplina Ocoña,Chili,Cusco,Espinar,CUSCOESPINAR,CONSTRUCTORA QUEIROZ GALVAO S.A.,11/07/2014,Transporte,Superficial,Autorización,Quebrada,KUMIHUA,1350,0705-2014 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/28/28-RD-0705-2014-03.pdf,,Sierra
Caplina Ocoña,Chili,Cusco,Espinar,CUSCOESPINAR,CONSTRUCTORA QUEIROZ GALVAO S.A.,11/07/2014,Transporte,Superficial,Autorización,Quebrada,KUMIHUA,1350,0705-2014 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/28/28-RD-0705-2014-03.pdf,,Sierra
Caplina Ocoña,Chili,Cusco,Espinar,CUSCOESPINAR,ASOCIACION DE CRIADORES DE TRUCHAS ARCO IRIS DEL SUR,29/12/2016,Acuícola,Superficial,Licencia,Manantial,,473040,3589-2016 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/28/28-RD-3589-2016-02.pdf,LAT-15.4316/LON-71.0802,Sierra
Caplina Ocoña,Chili,Cusco,Espinar,CUSCOESPINAR,ASOCIACION DE CRIADORES DE TRUCHAS ARCO IRIS DEL SUR,30/12/2016,Acuícola,Superficial,Licencia,Laguna,EL PAÑE,5429.32,3601-2016 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/28/28-RD-3601-2016-03.pdf,LAT-15.4153/LON-71.0647,Sierra
Urubamba Vilcanota,Sicuani,Cusco,Espinar,CUSCOESPINAR,,06/07/2010,Agrario,Superficial,Licencia,Manantial,,0,0120-2010 ANA/ALA-SICUANI.,http://file2.ana.gob.pe/dir_rada/63/63-RA-0120-2010-02.pdf,LAT-14.8393/LON-71.532,Sierra
Urubamba Vilcanota,Sicuani,Cusco,Espinar,CUSCOESPINAR,,06/07/2010,Agrario,Superficial,Licencia,Manantial,,0,0120-2010 ANA/ALA-SICUANI.,http://file2.ana.gob.pe/dir_rada/63/63-RA-0120-2010-02.pdf,LAT-14.8393/LON-71.532,Sierra
Urubamba Vilcanota,Sicuani,Cusco,Espinar,CUSCOESPINAR,,06/07/2010,Agrario,Superficial,Licencia,Manantial,,0,0120-2010 ANA/ALA-SICUANI.,http://file2.ana.gob.pe/dir_rada/63/63-RA-0120-2010-02.pdf,LAT-14.8393/LON-71.532,Sierra
Urubamba Vilcanota,Sicuani,Cusco,Espinar,CUSCOESPINAR,,06/07/2010,Agrario,Superficial,Licencia,Manantial,,0,0120-2010 ANA/ALA-SICUANI.,http://file2.ana.gob.pe/dir_rada/63/63-RA-0120-2010-02.pdf,LAT-14.8393/LON-71.532,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Espinar,CUSCOESPINAR,MUNICIPALIDAD DISTRITAL DE PICHIGUA,30/12/2010,Poblacional,Superficial,Licencia,Manantial,SUPAYTE II,0,0018-2010 ANA/ALA ALTO APURIMAC VELILLE,http://file2.ana.gob.pe/dir_rada/71/71-RA-0018-2010-02.pdf,,Sierra
