aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Huarmey Chicama,Santiago de Chuco,Cusco,La Convencion,CUSCOLACONVENCION,,13/09/2013,Otros Usos,Superficial,Autorización,Río,URUBAMBA,13680,0030-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0030-2013-03.pdf,LAT-11.6945/LON-72.9555,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,La Convencion,CUSCOLACONVENCION,,16/09/2013,Otros Usos,Superficial,Autorización,Río,URUBAMBA,13680,0035-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0035-2013-03.pdf,LAT-11.5516/LON-73.1497,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,La Convencion,CUSCOLACONVENCION,,13/09/2013,Otros Usos,Superficial,Autorización,Quebrada, CHORO,10800,0037-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0037-2013-03.pdf,LAT-11.7189/LON-72.9077,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,La Convencion,CUSCOLACONVENCION,,13/09/2013,Otros Usos,Superficial,Autorización,Río,URUBAMBA,13680,0038-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0038-2013-03.pdf,LAT-11.6424/LON-73.0422,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,La Convencion,CUSCOLACONVENCION,,13/09/2013,Otros Usos,Superficial,Autorización,Quebrada, PITONIARI,10800,0040-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0040-2013-03.pdf,LAT-11.5774/LON-73.167,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,La Convencion,CUSCOLACONVENCION,,04/12/2013,Otros Usos,Superficial,Autorización,Río,CAMISEA,13709.28,0112-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0112-2013-05.pdf,LAT-11.7145/LON-72.9135,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,La Convencion,CUSCOLACONVENCION,,04/12/2013,Otros Usos,Superficial,Autorización,Río,URUBAMBA,13709.25,0113-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0113-2013-03.pdf,LAT-11.6992/LON-72.9537,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,La Convencion,CUSCOLACONVENCION,,04/12/2013,Otros Usos,Superficial,Autorización,Río,CASHIRIARI,81621.71,0114-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0114-2013-03.pdf,LAT-11.8818/LON-72.8205,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,La Convencion,CUSCOLACONVENCION,,04/12/2013,Otros Usos,Superficial,Autorización,Quebrada, SHIMPENASHIARI,0,0114-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0114-2013-03.pdf,LAT-11.8818/LON-72.8205,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,La Convencion,CUSCOLACONVENCION,,04/12/2013,Otros Usos,Superficial,Autorización,Río,ALTO SERJALI,0,0114-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0114-2013-03.pdf,LAT-11.8818/LON-72.8205,Sierra
