aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Paruro,CUSCOPARURO,Junta Administradora de Servicios de saneamiento de urbanizacion tipo huerto tihuicte (jass tihuicte),20/07/2007,Poblacional,Superficial,Licencia,Manantial,,35769.6,0161-2007 GR-C/DRA-C/ATDR-CUSCO,http://file2.ana.gob.pe/dir_rada/71/58-RA-0161-2007-02.pdf,LAT-13.7054/LON-72.0175,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Paruro,CUSCOPARURO,Junta Administradora de Servicios de saneamiento de urbanizacion tipo huerto tihuicte (jass tihuicte),20/07/2007,Poblacional,Superficial,Licencia,Manantial,,0,0161-2007 GR-C/DRA-C/ATDR-CUSCO,http://file2.ana.gob.pe/dir_rada/71/58-RA-0161-2007-02.pdf,LAT-13.7054/LON-72.0175,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Paruro,CUSCOPARURO,Junta Administradora de Servicios de saneamiento de urbanizacion tipo huerto tihuicte (jass tihuicte),20/07/2007,Poblacional,Superficial,Licencia,Manantial,,0,0161-2007 GR-C/DRA-C/ATDR-CUSCO,http://file2.ana.gob.pe/dir_rada/71/58-RA-0161-2007-02.pdf,LAT-13.7054/LON-72.0175,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Paruro,CUSCOPARURO,Junta Administradora de Servicios de saneamiento de urbanizacion tipo huerto tihuicte (jass tihuicte),20/07/2007,Poblacional,Superficial,Licencia,Manantial,,0,0161-2007 GR-C/DRA-C/ATDR-CUSCO,http://file2.ana.gob.pe/dir_rada/71/58-RA-0161-2007-02.pdf,LAT-13.7054/LON-72.0175,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Paruro,CUSCOPARURO,INGENIEROS CIVILES Y CONTRATISTAS GENERALES S.A. - ICCGSA,03/12/2012,Industrial,Superficial,Autorización,Quebrada,RACRACANCHA,2700,0329-2012 ANA/ALA ALTO APURIMAC-VELILLE,http://file2.ana.gob.pe/dir_rada/71/71-RA-0329-2012-02.pdf,,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Paruro,CUSCOPARURO,INGENIEROS CIVILES Y CONTRATISTAS GENERALES S.A. - ICCGSA,03/12/2012,Industrial,Superficial,Autorización,Quebrada,ANCASMARCA,0,0329-2012 ANA/ALA ALTO APURIMAC-VELILLE,http://file2.ana.gob.pe/dir_rada/71/71-RA-0329-2012-02.pdf,,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Paruro,CUSCOPARURO,INGENIEROS CIVILES Y CONTRATISTAS GENERALES S.A. - ICCGSA,03/12/2012,Industrial,Superficial,Autorización,,MAYUMBAMBA,0,0329-2012 ANA/ALA ALTO APURIMAC-VELILLE,http://file2.ana.gob.pe/dir_rada/71/71-RA-0329-2012-02.pdf,,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Paruro,CUSCOPARURO,MINERA LAS BAMBAS S.A.,08/02/2013,Industrial,Superficial,Autorización,Quebrada,km 113+100,56484.96,0012-2013 -ANA-AAA.PA-ALA.VE,http://file2.ana.gob.pe/dir_rada/71/71-RA-0012-2013-02.pdf,,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Paruro,CUSCOPARURO,MINERA LAS BAMBAS S.A.,08/02/2013,Industrial,Superficial,Autorización,Quebrada,Coyabamba km 102+600,56484.96,0013-2013 -ANA-AAA.PA-ALA.VE,http://file2.ana.gob.pe/dir_rada/71/71-RA-0013-2013-02.pdf,LAT-13.8616/LON-71.9429,Sierra
Pampas Apurimac,Alto Apurimac - Velille,Cusco,Paruro,CUSCOPARURO,MINERA LAS BAMBAS S.A.,08/02/2013,Industrial,Superficial,Autorización,Quebrada,Tincoc km 87+050,56484.96,0014-2013 -ANA-AAA.PA-ALA.VE,http://file2.ana.gob.pe/dir_rada/71/71-RA-0014-2013-02.pdf,LAT-13.8383/LON-71.9338,Sierra
