aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Huarmey Chicama,Santiago de Chuco,Cusco,Urubamba,CUSCOURUBAMBA,,06/11/2013,Poblacional,Superficial,Licencia,Manantial, LLULLAÑANCAY,11195.28,0087-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0087-2013-03.pdf,LAT-13.3986/LON-72.0521,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Urubamba,CUSCOURUBAMBA,,08/11/2013,Poblacional,Superficial,Licencia,Manantial, LLULLAÑANCAY,11195.28,0090-2013 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0090-2013-03.pdf,LAT-13.3986/LON-72.0521,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Urubamba,CUSCOURUBAMBA,,13/01/2014,Poblacional,Superficial,Licencia,Manantial, UNUMACHI,4509.65,0009-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0009-2014-03.pdf,LAT-13.195/LON-72.2891,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Urubamba,CUSCOURUBAMBA,,13/01/2014,Poblacional,Superficial,Licencia,Manantial, WACOTO,0,0009-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0009-2014-03.pdf,LAT-13.195/LON-72.2891,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Urubamba,CUSCOURUBAMBA,,14/01/2014,Poblacional,Superficial,Licencia,Manantial, PISCACCUCHO,13465.87,0011-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0011-2014-03.pdf,LAT-13.2079/LON-72.3612,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Urubamba,CUSCOURUBAMBA,,13/01/2014,Poblacional,Superficial,Licencia,Manantial, MONTE HUAYLLA,19162.5,0012-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0012-2014-03.pdf,LAT-13.2628/LON-72.2924,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Urubamba,CUSCOURUBAMBA,,13/01/2014,Poblacional,Superficial,Licencia,Manantial, HUIUISCUYOC,0,0012-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0012-2014-03.pdf,LAT-13.2628/LON-72.2924,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Urubamba,CUSCOURUBAMBA,,13/01/2014,Poblacional,Superficial,Licencia,Manantial, CHAUPICHIMPANA,0,0012-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0012-2014-03.pdf,LAT-13.2628/LON-72.2924,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Urubamba,CUSCOURUBAMBA,,13/01/2014,Poblacional,Superficial,Licencia,Manantial, PAROM,0,0012-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0012-2014-03.pdf,LAT-13.2628/LON-72.2924,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Urubamba,CUSCOURUBAMBA,,08/01/2014,Poblacional,Superficial,Licencia,Manantial, PISCACUCHO,28390,0013-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0013-2014-03.pdf,LAT-13.2079/LON-72.3606,Sierra
Huarmey Chicama,Santiago de Chuco,Cusco,Urubamba,CUSCOURUBAMBA,,14/01/2014,Poblacional,Superficial,Licencia,Manantial, UMARA 01,35040,0014-2014 ANA/AAA XII.UV,http://file2.ana.gob.pe/dir_rada/12/12-RD-0014-2014-03.pdf,LAT-13.234/LON-72.2717,Sierra
