aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,CENTRO POBLADO MENOR DE TINQUERCCASA,28/06/2004,Poblacional,Superficial,Licencia,Manantial,HOSPITAL PUQUIO,14506.56,0186-2004 DRA-HVCA/ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0186-2004-02.pdf,,Sierra
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,ANEXO DE CCOCHACC,11/10/2004,Poblacional,Superficial,Licencia,Manantial,INCACHAYOCC/HUAYHUAYOCC/CHACAPAMPA,10406.88,0277-2004 DRA-HVCA/ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0277-2004-02.pdf,,Sierra
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,MUNICIPALIDAD DISTRITAL DE MARCAS,21/12/2004,Poblacional,Superficial,Licencia,Manantial,LACCYACO,0,0328-2004 DRA-HVCA/ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0328-2004-02.pdf,,Sierra
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,MUNICIPALIDAD DISTRITAL DE MARCAS,21/12/2004,Poblacional,Superficial,Licencia,Manantial,HUARACCO,0,0328-2004 DRA-HVCA/ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0328-2004-02.pdf,,Sierra
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,MUNICIPALIDAD DISTRITAL DE MARCAS,21/12/2004,Poblacional,Superficial,Licencia,Manantial,ESTANQUE PAMPA,0,0328-2004 DRA-HVCA/ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0328-2004-02.pdf,,Sierra
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,MUNICIPALIDAD DISTRITAL DE MARCAS,21/12/2004,Poblacional,Superficial,Licencia,Manantial,ÑAHUINHAYLLA,0,0328-2004 DRA-HVCA/ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0328-2004-02.pdf,,Sierra
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,JUNTA ADMINISTRATIVA DE AGUA POTABLE DEL ANEXO DE CCOCHACC,12/04/2005,Agrario,Superficial,Licencia,Manantial,,12441.6,0076-2005 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0076-2005-01.pdf,,Sierra
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,JUNTA ADMINISTRATIVA DE AGUA POTABLE DEL ANEXO DE CCOCHACC,12/04/2005,Agrario,Superficial,Licencia,Manantial,,0,0076-2005 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0076-2005-01.pdf,,Sierra
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,JUNTA ADMINISTRATIVA DE AGUA POTABLE DEL ANEXO DE CCOCHACC,12/04/2005,Agrario,Superficial,Licencia,Manantial,,0,0076-2005 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0076-2005-01.pdf,,Sierra
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO CHONTAS,23/01/2007,Poblacional,Superficial,Licencia,Manantial,YACCUSOROSCCA,5598.72,0022-2007 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0022-2007-02.pdf,,Sierra
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO CHONTAS,23/01/2007,Poblacional,Superficial,Licencia,Manantial,CARGADERA,0,0022-2007 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0022-2007-02.pdf,,Sierra
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,COMITÉ DE AGUA POTABLE DEL ANEXO LAMBRAMA,27/02/2007,Poblacional,Superficial,Licencia,Manantial,PAUCA PUQUIO,5287.68,0047-2007 INRENA-IRH-ATDR-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0047-2007-02.pdf,,Sierra
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,JUNTA ADMINISTRADORA DE AGUA POTABLE - DEL BARRIO PUEBLO VIEJO,13/01/2009,Poblacional,Superficial,Licencia,Manantial,TINYAQ PUKIO,19414.08,0009-2009 ALA-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0009-2009-02.pdf,,Sierra
Mantaro,Huancavelica,Huancavelica,Acobamba,HUANCAVELICAACOBAMBA,JUNTA ADMINISTRADORA DE AGUA POTABLE - DEL BARRIO PUEBLO VIEJO,13/01/2009,Poblacional,Superficial,Licencia,Manantial,CHORRILLO,0,0009-2009 ALA-HVCA,http://file2.ana.gob.pe/dir_rada/55/55-RA-0009-2009-02.pdf,,Sierra
