aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Chaparra Chincha,Pisco,Huancavelica,Castrovirreyna,HUANCAVELICACASTROVIRREYNA,EMPRESA MINERA SMC DOCECAEDRO LTD SUCURSAL DEL PERU,02/07/2013,Minero,Superficial,Autorización,Canal,TICRAPO,2156.44,0479-2013 ANA-AAA.CH.CH,http://file2.ana.gob.pe/dir_rada/70/70-RD-0479-2013-04.pdf,,Sierra
Chaparra Chincha,Pisco,Huancavelica,Castrovirreyna,HUANCAVELICACASTROVIRREYNA,EMPRESA MINERA SMC DOCECAEDRO LTD SUCURSAL DEL PERU,02/07/2013,Minero,Superficial,Autorización,Quebrada,CONVENTO,3240.04,0479-2013 ANA-AAA.CH.CH,http://file2.ana.gob.pe/dir_rada/70/70-RD-0479-2013-04.pdf,,Sierra
Chaparra Chincha,Pisco,Huancavelica,Castrovirreyna,HUANCAVELICACASTROVIRREYNA,NISPERO,04/02/2015,Agrario,Superficial,Licencia,Río,Chiris,29622,0081-2015 ANA-AAA-CH.CH.,http://file2.ana.gob.pe/dir_rada/70/70-RD-0081-2015-03.pdf,LAT-13.3071/LON-75.4007,Sierra
Chaparra Chincha,Pisco,Huancavelica,Castrovirreyna,HUANCAVELICACASTROVIRREYNA,COMITÉ DE USUARIOS INFIERNILLO CRUZPATA,17/02/2015,Agrario,Superficial,Licencia,Quebrada,,210382,0126-2015 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/70/70-RD-0126-2015-03.pdf,,Sierra
Chaparra Chincha,Pisco,Huancavelica,Castrovirreyna,HUANCAVELICACASTROVIRREYNA,COMITÉ DE USUARIOS MISITO VERDE MONTE MOLINO,17/02/2015,Agrario,Superficial,Licencia,Quebrada,,183585,0128-2015 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/70/70-RD-0128-2015-03.pdf,,Sierra
Chaparra Chincha,Pisco,Huancavelica,Castrovirreyna,HUANCAVELICACASTROVIRREYNA,COMITÉ DE USUARIOS HUANCA PATA GRANDE,17/02/2015,Agrario,Superficial,Licencia,Manantial,,159994,0129-2015 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/70/70-RD-0129-2015-03.pdf,,Sierra
Chaparra Chincha,Pisco,Huancavelica,Castrovirreyna,HUANCAVELICACASTROVIRREYNA,COMITÉ DE USUARIOS DE PUQUIO CCASA,17/02/2015,Agrario,Superficial,Licencia,Manantial,,112389,0130-2015 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/70/70-RD-0130-2015-03.pdf,,Sierra
Chaparra Chincha,Pisco,Huancavelica,Castrovirreyna,HUANCAVELICACASTROVIRREYNA,COMITÉ DE USUARIOS CHAQUPAQCHA,24/02/2015,Agrario,Superficial,Licencia,Río,,72905,0157-2015 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/70/70-RD-0157-2015-02.pdf,,Sierra
Chaparra Chincha,Pisco,Huancavelica,Castrovirreyna,HUANCAVELICACASTROVIRREYNA,COMITÉ DE USUARIOS CARBON CAÑANA TOMA CUCHO,03/03/2015,Agrario,Superficial,Licencia,Río,PISCO,205898,0173-2015 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/70/70-RD-0173-2015-02.pdf,,Sierra
Chaparra Chincha,Pisco,Huancavelica,Castrovirreyna,HUANCAVELICACASTROVIRREYNA,COMITÉ DE USUARIOS CONDOR GAGA LOQUEPATA TRAMPATA,04/03/2015,Agrario,Superficial,Licencia,Quebrada,,36453,0179-2015 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/70/70-RD-0179-2015-02.pdf,,Sierra
Chaparra Chincha,Pisco,Huancavelica,Castrovirreyna,HUANCAVELICACASTROVIRREYNA,COMITÉ DE USUARIOS LAGUNA PACAYCOCHA,04/03/2015,Agrario,Superficial,Licencia,Quebrada,,36906,0185-2015 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/70/70-RD-0185-2015-02.pdf,,Sierra
Chaparra Chincha,Pisco,Huancavelica,Castrovirreyna,HUANCAVELICACASTROVIRREYNA,COMITÉ DE USUARIOS ALLPACHACA UCHUYPUNCO,04/03/2015,Agrario,Superficial,Licencia,Río,PISCO,627885,0191-2015 ANA-AAA-CH.CH,http://file2.ana.gob.pe/dir_rada/70/70-RD-0191-2015-02.pdf,,Sierra
