aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Chaparra Chincha,Grande,Huancavelica,Huaytara,HUANCAVELICAHUAYTARA,INVERSIONES MINERAL DEL SUR S.A. - PROYECTO ANTAPITE,08/02/2001,Minero,Superficial,Licencia,Quebrada,YANAPUQUIO,0,0035-2001 MA-DRAI-ATDRNP.N.AT,http://file2.ana.gob.pe/dir_rada/23/23-RA-0035-2001-02.pdf,UTM 8456740N 491800E,Sierra
Chaparra Chincha,Grande,Huancavelica,Huaytara,HUANCAVELICAHUAYTARA,INVERSIONES MINERAL DEL SUR S.A. - PROYECTO ANTAPITE,08/02/2001,Minero,Superficial,Licencia,Quebrada,SAYTO,0,0035-2001 MA-DRAI-ATDRNP.N.AT,http://file2.ana.gob.pe/dir_rada/23/23-RA-0035-2001-02.pdf,UTM 8453820N 492500E,Sierra
Chaparra Chincha,Grande,Huancavelica,Huaytara,HUANCAVELICAHUAYTARA,INVERSIONES MINERAL DEL SUR S.A. - PROYECTO ANTAPITE,08/02/2001,Minero,Superficial,Licencia,Quebrada,CRISTALINA,0,0035-2001 MA-DRAI-ATDRNP.N.AT,http://file2.ana.gob.pe/dir_rada/23/23-RA-0035-2001-02.pdf,UTM 8456675N 491240E,Sierra
Chaparra Chincha,Grande,Huancavelica,Huaytara,HUANCAVELICAHUAYTARA,INVERSIONES MINERAL DEL SUR S.A. - PROYECTO ANTAPITE,08/02/2001,Minero,Superficial,Licencia,Manantial,Nivel 3525,0,0035-2001 MA-DRAI-ATDRNP.N.AT,http://file2.ana.gob.pe/dir_rada/23/23-RA-0035-2001-02.pdf,UTM 8456000N 491560E,Sierra
Chaparra Chincha,Grande,Huancavelica,Huaytara,HUANCAVELICAHUAYTARA,INVERSIONES MINERAL DEL SUR S.A. - PROYECTO ANTAPITE,08/02/2001,Minero,Superficial,Licencia,Manantial,Nivel 3415,0,0035-2001 MA-DRAI-ATDRNP.N.AT,http://file2.ana.gob.pe/dir_rada/23/23-RA-0035-2001-02.pdf,UTM 8455554N 492434E,Sierra
Chaparra Chincha,Grande,Huancavelica,Huaytara,HUANCAVELICAHUAYTARA,INVERSIONES MINERAL DEL SUR S.A. - PROYECTO ANTAPITE,08/02/2001,Minero,Superficial,Licencia,Manantial,Nivel 3285,0,0035-2001 MA-DRAI-ATDRNP.N.AT,http://file2.ana.gob.pe/dir_rada/23/23-RA-0035-2001-02.pdf,UTM 8455374N 493220E,Sierra
Chaparra Chincha,Grande,Huancavelica,Huaytara,HUANCAVELICAHUAYTARA,INVERSIONES MINERAL DEL SUR S.A. - PROYECTO ANTAPITE,08/02/2001,Minero,Superficial,Licencia,Manantial,Nivel 3240,0,0035-2001 MA-DRAI-ATDRNP.N.AT,http://file2.ana.gob.pe/dir_rada/23/23-RA-0035-2001-02.pdf,UTM 8455293N 493490E,Sierra
Chaparra Chincha,Grande,Huancavelica,Huaytara,HUANCAVELICAHUAYTARA,INVERSIONES MINERAL DEL SUR S.A. - PROYECTO ANTAPITE,08/02/2001,Minero,Superficial,Licencia,Manantial,Nivel 3360,0,0035-2001 MA-DRAI-ATDRNP.N.AT,http://file2.ana.gob.pe/dir_rada/23/23-RA-0035-2001-02.pdf,UTM 8456769N 491847E,Sierra
Chaparra Chincha,Pisco,Huancavelica,Huaytara,HUANCAVELICAHUAYTARA,EMPRESA WESAG WARI ENGENEERING S.A.C,26/01/2012,,Superficial,Autorización,Quebrada,MOLLEPALLANA,800,0026-2012 ANA-AAA.CH.CH,http://file2.ana.gob.pe/dir_rada/70/70-RD-0026-2012-03.pdf,,Sierra
Chaparra Chincha,Pisco,Huancavelica,Huaytara,HUANCAVELICAHUAYTARA,COMPAÑÍA OPERADORA DE GAS DEL AMAZONAS S.A.C.,11/09/2013,Industrial,Superficial,Autorización,Quebrada,MOLLEPALLANA,18000,0618-2013 ANA-AAA.CH.CH,http://file2.ana.gob.pe/dir_rada/70/70-RD-0618-2013-04.pdf,LAT-13.563/LON-75.2319,Sierra
