aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,MUNICIPALIDAD DISTRITAL DE RIPAN,21/03/2005,Poblacional,Superficial,Licencia,Manantial,HUACURAGRA II,0,0008-2005 GR-DRA-HCO./ATDR-AM,http://file2.ana.gob.pe/dir_rada/47/47-RA-0008-2005-01.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,MUNICIPALIDAD DISTRITAL DE RIPAN,21/03/2005,Poblacional,Superficial,Licencia,Manantial,HUACURAGRA I,275152,0008-2005 GR-DRA-HCO./ATDR-AM,http://file2.ana.gob.pe/dir_rada/47/47-RA-0008-2005-01.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,JUNTA ADMINISTRADORA DE AGUA POTABLE BARRIO RACRI,02/10/2006,Poblacional,Superficial,Licencia,Manantial,MARCARGRA I,51246,0112-2006 GR-DRA-HCO./ATDR-AM,http://file2.ana.gob.pe/dir_rada/47/47-RA-0112-2006-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL DISTRITO DE QUIVILLA,18/09/2012,Poblacional,Superficial,Licencia,Manantial,SAN MARTIN,74109.6,0598-2012 ANA-AAA VI MARAÑON,http://file2.ana.gob.pe/dir_rada/47/47-RD-0598-2012-03.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE LA LOCALIDAD DE SILLAPATA, SHIULA, CHOGOPAMPA Y VISTA ALEGRE",07/06/2013,Poblacional,Superficial,Licencia,Manantial,PACHAN PUQUIO,186062.4,0327-2013 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0327-2013-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE LA LOCALIDAD DE SILLAPATA, SHIULA, CHOGOPAMPA Y VISTA ALEGRE",07/06/2013,Poblacional,Superficial,Licencia,Manantial,GOTOPUQUIO,0,0327-2013 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0327-2013-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,COMITÉ DE ADMINISTRACIÓN DE AGUA POTABLE DEL CENTRO POBLADO DE CRUZPAMPA,05/11/2013,Poblacional,Superficial,Licencia,Manantial,CASHARAGRA,279093.6,0824-2013 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0824-2013-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,COMITÉ DE ADMINISTRACIÓN DE AGUA POTABLE DEL CENTRO POBLADO DE CRUZPAMPA,05/11/2013,Poblacional,Superficial,Licencia,Manantial,AGO UCRO,0,0824-2013 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0824-2013-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,COMITÉ DE ADMINISTRACIÓN DE AGUA POTABLE DEL CENTRO POBLADO DE CRUZPAMPA,05/11/2013,Poblacional,Superficial,Licencia,Manantial,LLALLU UCRO I,0,0824-2013 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0824-2013-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,COMITÉ DE ADMINISTRACIÓN DE AGUA POTABLE DEL CENTRO POBLADO DE CRUZPAMPA,05/11/2013,Poblacional,Superficial,Licencia,Manantial,LLALLU UCRO II,0,0824-2013 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0824-2013-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,COMITÉ DE ADMINISTRACIÓN DE AGUA POTABLE DEL CENTRO POBLADO DE CRUZPAMPA,05/11/2013,Poblacional,Superficial,Licencia,Quebrada,AGO UCRO,0,0824-2013 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0824-2013-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,JASS DEL CENTRO POBLADO JACHAHUAYIN,10/12/2013,Poblacional,Superficial,Licencia,Manantial,CASHAUCRO I,31536,0947-2013 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0947-2013-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,JASS DEL CENTRO POBLADO JACHAHUAYIN,10/12/2013,Poblacional,Superficial,Licencia,Manantial,CASHAUCRO II,0,0947-2013 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0947-2013-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,COMITÉ DE ADMINISTRACIÓN DE AGUA POTABLE DEL CASERÍO NUNASH,23/10/2014,Poblacional,Superficial,Licencia,Manantial,ISCAY PUQUIO,35951.04,1159-2014 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-1159-2014-03.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO JASS AYNAN,25/02/2015,Poblacional,Superficial,Licencia,Manantial,SINSAO PUQUIO,34973,0222-2015 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0222-2015-03.pdf,LAT-9.59979/LON-76.7247,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,JUNTA DE ADMINISTRACIÓN DE LOS SERVICIOS DE SANEAMIENTO DEL BARRIO DE INDEPENDIENTE DEL DISTRITO DE YANAS- DOS DE MAYO-HUÁNUCO,26/09/2017,Poblacional,Superficial,Licencia,Manantial,RUMICHACA 01,4730.4,2115-2017 ANA-AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-2115-2017-03.pdf,LAT-9.71859/LON-76.7508,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,JUNTA DE ADMINISTRACIÓN DE LOS SERVICIOS DE SANEAMIENTO DEL BARRIO DE INDEPENDIENTE DEL DISTRITO DE YANAS- DOS DE MAYO-HUÁNUCO,26/09/2017,Poblacional,Superficial,Licencia,Manantial,RUMICHACA 02,4730.4,2115-2017 ANA-AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-2115-2017-03.pdf,LAT-9.71859/LON-76.7508,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,JUNTA DE ADMINISTRACIÓN DE LOS SERVICIOS DE SANEAMIENTO DEL BARRIO DE INDEPENDIENTE DEL DISTRITO DE YANAS- DOS DE MAYO-HUÁNUCO,26/09/2017,Poblacional,Superficial,Licencia,Manantial,PISHGA PUQUIO 01,6307.2,2115-2017 ANA-AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-2115-2017-03.pdf,LAT-9.71859/LON-76.7508,Sierra
Marañón,Alto Marañon,Huánuco,Dos De Mayo,HUANUCODOSDEMAYO,JUNTA DE ADMINISTRACIÓN DE LOS SERVICIOS DE SANEAMIENTO DEL BARRIO DE INDEPENDIENTE DEL DISTRITO DE YANAS- DOS DE MAYO-HUÁNUCO,26/09/2017,Poblacional,Superficial,Licencia,Manantial,PISHGA PUQUIO 02,3784.32,2115-2017 ANA-AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-2115-2017-03.pdf,LAT-9.71859/LON-76.7508,Sierra
