aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Cañete Fortaleza,Mala Omas Cañete,Huánuco,Huamalies,HUANUCOHUAMALIES,"SALAZAR HUAILLA, FORTUNATO",22/01/2007,Agrario,Superficial,Licencia,Río,CAÑETE,13892.76,0017-2007 GRL.DRA.L/ATDR MOC,http://file2.ana.gob.pe/dir_rada/20/20-RA-0017-2007-92.pdf,LAT-13.0652/LON-76.3225,Sierra
Cañete Fortaleza,Mala Omas Cañete,Huánuco,Huamalies,HUANUCOHUAMALIES,"MONTES JANAMPA, ELEAZAR",01/12/2014,Agrario,Superficial,Licencia,Río,CAÑETE,13892.76,1401-2014 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/20/20-RD-1401-2014-02.pdf,LAT-13.0652/LON-76.3225,Sierra
Marañón,Alto Marañon,Huánuco,Huamalies,HUANUCOHUAMALIES,EMPRESA SERVICIOS MINEROS ANDINOS S.R.L.,10/04/2000,Energético,Superficial,Autorización,Río,SEGUIAN,42000,0004-2000 CTAR-DRA-HCO/ATDR-AM.,http://file2.ana.gob.pe/dir_rada/47/47-RA-0004-2000-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Huamalies,HUANUCOHUAMALIES,EMPRESA SERVICIOS MINEROS ANDINOS S.R.L.,10/04/2000,Energético,Superficial,Autorización,Río,SEGUIAN,0,0004-2000 CTAR-DRA-HCO/ATDR-AM.,http://file2.ana.gob.pe/dir_rada/47/47-RA-0004-2000-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Huamalies,HUANUCOHUAMALIES,JUNTA ADMINISTRADORA DE AGUA POTABLE NUEVAS FLORES,20/07/2006,Poblacional,Superficial,Licencia,Manantial,CHALUAPUQUIO I,10.249,0087-2006 GR-DRA-HCO/ATDR-AM,http://file2.ana.gob.pe/dir_rada/47/47-RA-0087-2006-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Huamalies,HUANUCOHUAMALIES,JUNTA ADMINISTRADORA DE AGUA POTABLE NUEVAS FLORES,20/07/2006,Poblacional,Superficial,Licencia,Manantial,CHALUAPUQUIO II,0,0087-2006 GR-DRA-HCO/ATDR-AM,http://file2.ana.gob.pe/dir_rada/47/47-RA-0087-2006-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Huamalies,HUANUCOHUAMALIES,JUNTA ADMINISTRADORA DE AGUA POTABLE DEL CASERIO DE CHUYAS,29/08/2006,Poblacional,Superficial,Licencia,Manantial,SEGUI SEGUI TAYARAGRA,10249,0105-2006 GR-DRA-HCO/ATDR-AM,http://file2.ana.gob.pe/dir_rada/47/47-RA-0105-2006-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Huamalies,HUANUCOHUAMALIES,JUNTA ADMINISTRADORA DE AGUA POTABLE CARHUAPATA,13/09/2006,Poblacional,Superficial,Licencia,Quebrada,PILUYACU,23967.36,0106-2006 GR-DRA-HCO/ATDR-AM,http://file2.ana.gob.pe/dir_rada/47/47-RA-0106-2006-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Huamalies,HUANUCOHUAMALIES,JUNTA ADMINISTRADORA DE AGUA POTABLE CARHUAPATA,13/09/2006,Poblacional,Superficial,Licencia,Quebrada,AUQUI,0,0106-2006 GR-DRA-HCO/ATDR-AM,http://file2.ana.gob.pe/dir_rada/47/47-RA-0106-2006-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Huamalies,HUANUCOHUAMALIES,JUNTA ADMINISTRADORA DE AGUA POTABLE CHUPANCANCHA,10/10/2006,Poblacional,Superficial,Licencia,Manantial,YURAG YACU,10722,0114-2006 GR-DRA-HCO./ATDR-AM,http://file2.ana.gob.pe/dir_rada/47/47-RA-0114-2006-02.pdf,,Sierra
