aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,Comité de usuarios Canal de Riego Toma Victoria,07/05/2013,Agrario,Superficial,Licencia,,,4.25736e+06,0035-2013 ANA-ALA-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0035-2013-06.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,Comité de usuarios Canal de Riego San José de Chinchinga,07/05/2013,Agrario,Superficial,Licencia,Manantial,,260172,0036-2013 ANA-ALA-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0036-2013-04.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,Comité de usuarios del Canal de Riego Coema,15/10/2013,Agrario,Superficial,Licencia,,,1.41912e+06,0188-2013 ANA-ALA-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0188-2013-09.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,Comité de usuarios Chinchubamba,28/11/2013,Agrario,Superficial,Licencia,,,1.9706e+06,0211-2013 ANA-ALA-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0211-2013-06.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,"Sr. DÍAZ FIGUEREDO, VICTOR JESUS",29/11/2013,Agrario,Superficial,Licencia,Manantial,,3.46896e+07,0213-2013 ANA-ALA-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0213-2013-04.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,COMITÉ DE REGANTES QUIULLACOCHA - LLICUA ALTA,20/11/1996,,Superficial,Licencia,Laguna,,2.585952e+06,0015-1996 RAAC-DSRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0115-1996-01.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,COMITÉ DE REGANTES PUCUCHINCHE,19/04/2001,,Superficial,Licencia,Río,,1.362751e+06,0029-2001 RAAC-DSRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0029-2001-01.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,"ROSAS CRISPIN, SANTIAGO",09/10/2003,,Superficial,Licencia,Río,COZO,788400,0099-2003 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0099-2003-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,"ROSAS CRISPIN, SANTIAGO",09/10/2003,,Superficial,Licencia,Río,COZO,788400,0099-2003 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0099-2003-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,MARCOS SORIA FLORES,21/02/2005,,Superficial,Licencia,Manantial,,0,0025-2004 GRA-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0025-2004-03.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,EMPRESA EXPORTACIONES DE LA SELVA S.A.,07/07/2004,Pecuario,Superficial,Licencia,Manantial,SALLAMARCA,0,0166-2004 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0166-2004-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,EMPRESA EXPORTACIONES DE LA SELVA S.A.,07/07/2004,Pecuario,Superficial,Licencia,Manantial,SALVIRAGRA,0,0166-2004 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0166-2004-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,EMPRESA EXPORTACIONES DE LA SELVA S.A.,07/07/2004,Pecuario,Superficial,Licencia,Manantial,MARCORAGRA,0,0166-2004 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0166-2004-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,COMITÉ DE REGANTES COLPAR DE HUAMPAS,31/08/2004,,Superficial,Licencia,Manantial,,0,0215-2004 GRA-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0215-2004-03.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,"ACOSTA MINAYA, GUILLERMO",02/09/2004,,Superficial,Licencia,Río,CAYRAN,473040,0220-2004 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0220-2004-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,SIMON PEÑA MORI,08/11/2004,,Superficial,Licencia,Vertiente,,0,0253-2004 GRA-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0253-2004-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,COMITÉ DE USO PRIMARIO DE AGUA COLPA ALTA,15/07/2005,Poblacional,Superficial,Licencia,Manantial,EL PUENTE,157.68,0103-2005 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0103-2005-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,CASERIO QUITASOL - COLLPA ALTA,22/08/2005,Poblacional,Superficial,Licencia,Manantial,HUANCHIPAMPA I,8199.36,0129-2005 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0129-2005-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,CASERIO QUITASOL - COLLPA ALTA,22/08/2005,Poblacional,Superficial,Licencia,Manantial,HUANCHIPAMPA II,0,0129-2005 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0129-2005-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,JUNTA ADMINISTRADORA DE AGUA POTABLE CHULLQUI,24/08/2005,Poblacional,Superficial,Licencia,Manantial,COCHAGORA,25816.03,0135-2005 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0135-2005-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,JUNTA ADMINISTRADORA DE AGUA POTABLE CHULLQUI,24/08/2005,Poblacional,Superficial,Licencia,Manantial,PALMA UCRO,0,0135-2005 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0135-2005-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,JUNTA ADMINISTRADORA DE AGUA POTABLE YANAG - PITUMAMA,11/10/2005,Poblacional,Superficial,Licencia,Manantial,CARRIZALES,10486.88,0163-2005 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0163-2005-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,CASERIO DE AGUA POTABLE GOYMA-LOS MILAGROS,08/11/2005,Poblacional,Superficial,Licencia,Manantial,EL NARANJAL,12614.4,0179-2005 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0179-2005-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,"JUNTA ADMINISTRADORA DE AGUA POTABLE Y SANEAMIENTO ""SANTA ROSA DE MARAMBUCO""",08/11/2005,Poblacional,Superficial,Licencia,Manantial,HUANCANIYOG,22075.2,0180-2005 GR-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0180-2005-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Huánuco,HUANUCOHUANUCO,COMITÉ DE REGANTES DE OGOTUNA,17/11/2005,,Superficial,Licencia,Manantial,,0,0181-2005 GRA-DRA-HCO/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0181-2005-02.pdf,,Sierra
