aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,"MAYO PORRAS, RAUL",18/10/2002,,Subterráneo,Licencia,Acuífero,PUCALLPA,2737.5,0076-2002 RA Nº 0076-2002-CTARU-DRAU/ATDR-P,http://file2.ana.gob.pe/dir_rada/44/44-RA-0076-2002-02.pdf,LAT-8.99202/LON-75.0014,Selva
Ucayali,Perene,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,EMPRESA ELECTRO CODO S.R.L.,13/06/2002,Energético,Superficial,Licencia,Quebrada,LA COLPA,8.51,0079-2002 DRA-J/ATDRP,http://file2.ana.gob.pe/dir_rada/52/52-RA-0079-2002-03.pdf,,Selva
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,CEPSA SUCURSAL PERU,06/08/2010,Poblacional,Superficial,Licencia,Quebrada,S/ NOMBRE,913,0136-2010 RA Nº 0136-2010-ANA-ALA-PUCALLPA,http://file2.ana.gob.pe/dir_rada/44/44-RA-0136-2010-02.pdf,LAT-9.10361/LON-75.0226,Selva
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,CONSORCIO SERVICIOS VIALES,19/07/2012,Industrial,Superficial,Autorización,Río,SUNGARO,7253.28,0400-2012 RA Nº 400-2012-ANA-ALA-PUCALLPA,http://file2.ana.gob.pe/dir_rada/44/44-RA-400-2012-02.pdf,LAT-9.3723/LON-75.0359,Selva
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,CEPSA SUCURSAL DEL PERU S.A.,25/02/2013,Industrial,Superficial,Autorización,,SELVA ALEGRE,27954,0111-2013 RA Nº 0111-2013-ANA-ALA-PUCALLPA,http://file2.ana.gob.pe/dir_rada/44/44-RA-0111-2013-03.pdf,,Selva
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,CEPSA SUCURSAL DEL PERU S.A.,28/02/2013,Industrial,Superficial,Autorización,Río,MACUYA,7663,0125-2013 RA Nº 0125-2013-ANA-ALA-PUCALLPA,http://file2.ana.gob.pe/dir_rada/44/44-RA-0125-2013-03.pdf,,Selva
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,CEPSA SUCURSAL DEL PERU S.A.,03/10/2013,Industrial,Superficial,Autorización,Quebrada,SELVA ALEGRE,27669.6,0902-2013 RA Nº 0902-2013-ANA-ALA-PUCALLPA,http://file2.ana.gob.pe/dir_rada/44/44-RA-0902-2013-02.pdf,LAT-8.91986/LON-75.0728,Selva
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,MUNICIPALIDAD DISTRITAL DE HONORIA,22/11/2013,Poblacional,Subterráneo,Licencia,Acuífero,S/NOMBRE,46830.96,1052-2013 1052-2013-ANA-ALA-PUCALLPA,http://file2.ana.gob.pe/dir_rada/44/44-RA-1052-2013-02.pdf,LAT-8.76636/LON-74.2528,Selva
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,CEPSA SUCURSAL DEL PERU S.A.,02/06/2014,Industrial,Superficial,Autorización,Quebrada,MACUYA,28231,0361-2014 RA N° 361-2014-ANA-ALA-PUCALLPA,http://file2.ana.gob.pe/dir_rada/44/44-RA-361-2014-02.pdf,LAT-8.91536/LON-75.0718,Selva
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,CEPSA SUCURSAL DEL PERU S.A.,25/02/2015,Industrial,Superficial,Autorización,Quebrada,SELVA ALEGRE,27594,0033-2015 RD N° 033-2015-ANA-AAA-IX-UCAYALI,http://file2.ana.gob.pe/dir_rada/44/44-RD-033-2015-02.pdf,LAT-8.9267/LON-75.073,Selva
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,"EMPRESA INDUSTRIALES DE LA MARINA S . A . ""SIMA PERU S.A. """,01/04/2016,Otros Usos,Superficial,Autorización,Río,,5400,0172-2016 ANA-AAA,http://file2.ana.gob.pe/dir_rada/44/44-RD-0172-2016-02.pdf,LAT-9.38052/LON-74.9697,Selva
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,"EMPRESA INDUSTRIALES DE LA MARINA S . A . ""SIMA PERU S.A. """,01/04/2016,Otros Usos,Superficial,Autorización,Río,,3150,0172-2016 ANA-AAA,http://file2.ana.gob.pe/dir_rada/44/44-RD-0172-2016-02.pdf,LAT-9.38052/LON-74.9697,Selva
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,JUNTA ADMINISTRADORA DE LOS SERVICIOS DE SANEAMIENTO JASS DE LA LOCALIDAD EL NARANJAL,15/03/2017,Doméstico,Subterráneo,Licencia,Acuífero,,7805,0117-2017 ANA-AAA-IX-UCAYALI,http://file2.ana.gob.pe/dir_rada/44/44-RD-0117-2017-04.pdf,LAT-8.985/LON-74.7518,Selva
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,CONSORCIO VIAL SAN ALEJANDRO,18/05/2017,Transporte,Superficial,Autorización,Río,SUNGARO,1649,0260-2017 ANA-AAA-IX-UCAYALI,http://file2.ana.gob.pe/dir_rada/44/44-RD-0260-2017-03.pdf,LAT-9.36989/LON-75.0374,Selva
Ucayali,Pucallpa,Huánuco,Puerto Inca,HUANUCOPUERTOINCA,CONSORCIO VIAL SAN ALEJANDRO,18/05/2017,Transporte,Superficial,Autorización,Quebrada,,1639,0260-2017 ANA-AAA-IX-UCAYALI,http://file2.ana.gob.pe/dir_rada/44/44-RD-0260-2017-03.pdf,LAT-9.36989/LON-75.0374,Selva
