aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Marañón,Alto Marañon,Huánuco,Yarowilca,HUANUCOYAROWILCA,COMPAÑIA MINERA ANDINA MINING CORPORATION S.A.C.,02/04/2012,Minero,Superficial,Licencia,Quebrada,NATIVIDAD I,0,0157-2012 ANA-AAA VI MARAÑON,http://file2.ana.gob.pe/dir_rada/47/47-RD-0157-2012-02.pdf,UTM WGS 84 zZONA 18 8913350N 334692E,Sierra
Marañón,Alto Marañon,Huánuco,Yarowilca,HUANUCOYAROWILCA,COMPAÑIA MINERA ANDINA MINING CORPORATION S.A.C.,02/04/2012,Minero,Superficial,Licencia,Quebrada,NATIVIDAD II,0,0157-2012 ANA-AAA VI MARAÑON,http://file2.ana.gob.pe/dir_rada/47/47-RD-0157-2012-02.pdf,UTM WGS 84 ZONA 18 8913234N 334736E,Sierra
Marañón,Alto Marañon,Huánuco,Yarowilca,HUANUCOYAROWILCA,COMPAÑIA MINERA ANDINA MINING CORPORATION S.A.C.,02/04/2012,Minero,Superficial,Licencia,Quebrada,HUANCAMINA,0,0157-2012 ANA-AAA VI MARAÑON,http://file2.ana.gob.pe/dir_rada/47/47-RD-0157-2012-02.pdf,UTM WGS 84 ZONA 18 8912276N 334147E,Sierra
Marañón,Alto Marañon,Huánuco,Yarowilca,HUANUCOYAROWILCA,COMITÉ DE USUARIOS JATUN RAGRA CORMAY,22/09/2013,Agrario,Superficial,Licencia,Manantial,,33365.68,0631-2013 ANA-AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0631-2013-03.pdf,LAT-9.87369/LON-76.577,Sierra
Marañón,Alto Marañon,Huánuco,Yarowilca,HUANUCOYAROWILCA,JASS DEL CASERÍO CHORAS,05/11/2013,Poblacional,Superficial,Licencia,Quebrada,PACHACHACA,183224.16,0818-2013 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0818-2013-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Yarowilca,HUANUCOYAROWILCA,CONCESIÓN MINERA PAPALUCHO UNO,24/04/2014,Minero,Superficial,Licencia,Riachuelo,JULCAPAMPA,218.86,0448-2014 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0448-2014-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Yarowilca,HUANUCOYAROWILCA,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE LA LOCALIDAD DE OBASPAMPA,16/05/2014,Poblacional,Superficial,Licencia,Manantial,UTUTO NEGROJ PUQUIO I,16083.36,0593-2014 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0593-2014-03.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Yarowilca,HUANUCOYAROWILCA,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DE LA LOCALIDAD DE OBASPAMPA,16/05/2014,Poblacional,Superficial,Licencia,Manantial,UTUTO NEGROJ PUQUIO II,0,0593-2014 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-0593-2014-03.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Yarowilca,HUANUCOYAROWILCA,JASS DE LA COMUNIDAD DE COCHAMARCA,17/12/2014,Poblacional,Superficial,Licencia,Manantial,ÑAWINPUQUIO,56138,1342-2014 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-1342-2014-02.pdf,,Sierra
Marañón,Alto Marañon,Huánuco,Yarowilca,HUANUCOYAROWILCA,JASS DE LA COMUNIDAD DE COCHAMARCA,17/12/2014,Poblacional,Superficial,Licencia,Manantial,CHAWINCANCHA,0,1342-2014 ANA.AAA.M,http://file2.ana.gob.pe/dir_rada/47/47-RD-1342-2014-02.pdf,,Sierra
Huallaga,Alto Huallaga,Huánuco,Yarowilca,HUANUCOYAROWILCA,JUNTA ADMINISTRADORA DE AGUA POTABLE DE PAVINA,12/01/2006,Poblacional,Superficial,Licencia,Manantial,CHINCHICA,22075.2,0006-2006 INRENA-IRH/ATDR-AH,http://file2.ana.gob.pe/dir_rada/49/49-RA-0006-2006-02.pdf,,Sierra
