aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Mantaro,Pasco,Junín,Chupaca,JUNINCHUPACA,EMPRESA MINERA EVITA N° 1 SAN MIGUEL,28/12/1994,Minero,Superficial,Licencia,Manantial,LLOCLLA,0,0021-1994 SRP-DSRA-P/AAP-ATDR-P,http://file2.ana.gob.pe/dir_rada/50/50-RA-0021-1994-02.pdf,,Sierra
Mantaro,Pasco,Junín,Chupaca,JUNINCHUPACA,CIA MINERA MILPÓ S.A.,07/09/1996,Energético,Superficial,Licencia,Río,LLOCLLA,0,0010-1996 SRP-DSRA-P/ATDR-P,http://file2.ana.gob.pe/dir_rada/50/50-RA-0010-1996-03.pdf,,Sierra
Mantaro,Pasco,Junín,Chupaca,JUNINCHUPACA,CIA MINERA MILPÓ S.A.,07/09/1996,Energético,Superficial,Licencia,Río,TULLURAICA,0,0010-1996 SRP-DSRA-P/ATDR-P,http://file2.ana.gob.pe/dir_rada/50/50-RA-0010-1996-03.pdf,,Sierra
Mantaro,Pasco,Junín,Chupaca,JUNINCHUPACA,COMPAÑIA MINERA MILPO S.A.A.,18/05/1998,Minero,Superficial,Licencia,Manantial,OJO DE GATO,0,0011-1998 CTARP-DRA/INRENA-ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0011-1998-02.pdf,,Sierra
Mantaro,Pasco,Junín,Chupaca,JUNINCHUPACA,COMPAÑIA MINERA MILPO S.A.A.,18/05/1998,Minero,Superficial,Licencia,Manantial,PISHGAPUQUIO,0,0011-1998 CTARP-DRA/INRENA-ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0011-1998-02.pdf,,Sierra
Mantaro,Pasco,Junín,Chupaca,JUNINCHUPACA,COMPAÑIA MINERA MILPO S.A.A.,18/05/1998,Minero,Superficial,Licencia,Quebrada,PUCAYACU,0,0011-1998 CTARP-DRA/INRENA-ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0011-1998-02.pdf,,Sierra
Mantaro,Pasco,Junín,Chupaca,JUNINCHUPACA,COMPAÑIA MINERA ATACOCHA S.A.A.,12/03/1999,Energético,Superficial,Licencia,Río,HUALLAGA,0,0019-1999 CTARP-DRA/INRENA-ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0019-1999-02.pdf,,Sierra
Mantaro,Pasco,Junín,Chupaca,JUNINCHUPACA,COMPAÑIA MINERA ATACOCHA S.A.A.,12/03/1999,Energético,Superficial,Licencia,Río,HUALLAGA,0,0019-1999 CTARP-DRA/INRENA-ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0019-1999-02.pdf,,Sierra
Mantaro,Pasco,Junín,Chupaca,JUNINCHUPACA,COMPAÑIA MINERA ATACOCHA S.A.A.,12/03/1999,Minero,Superficial,Licencia,Río,HUALLAGA,0,0020-1999 CTARP-DRA/INRENA-ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0020-1999-02.pdf,,Sierra
Mantaro,Pasco,Junín,Chupaca,JUNINCHUPACA,COMPAÑIA MINERA ATACOCHA S.A.A.,12/03/1999,Minero,Superficial,Licencia,Laguna,ÑAHUALPUM,0,0020-1999 CTARP-DRA/INRENA-ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0020-1999-02.pdf,,Sierra
