aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,MUNICIPALIDAD DISTRITAL DE SANTA BARBARA DE CARHUACAYAN,29/03/2000,,Superficial,Licencia,Laguna,HUEGHE,28000,0007-2000 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0007-2000-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,MUNICIPALIDAD DISTRITAL DE SANTA BARBARA DE CARHUACAYAN,29/03/2000,,Superficial,Licencia,Laguna,HUEGHUE,28000,0007-2000 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0007-2000-02.pdf,LAT-11.244/LON-76.2944,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,EMPRESA PISCICOLA ARMAS E.I.R.L.,14/08/2000,Pecuario,Superficial,Licencia,Río,TISHGO,0,0017-2000 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0017-2000-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,EMPRESA PISCICOLA ARMAS E.I.R.L.,14/08/2000,Pecuario,Superficial,Licencia,Río,TISHGO,0,0017-2000 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0017-2000-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,24/10/2000,,Superficial,Licencia,Río,TISHGO,0,0024-2000 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0024-2000-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,"RAMOS ROJAS, ELOY DIODORO",28/11/2001,Agrario,Superficial,Licencia,Río,TISHGO,70080,0039-2001 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0039-2001-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,EMPRESA CONTRATISTAS VELIZ S.R.L.,24/04/2002,Agrario,Superficial,Licencia,Río,,87600,0015-2002 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0015-2002-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,"EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA ""MANANTIAL AGUA DE VIDA""",03/02/2003,Acuícola,Superficial,Licencia,Río,,244550,0002-2003 GRP-DRAP/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0002-2003-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,COMUNIDAD CAMPESINA DE SANTA BARBARA DE CARHUACAYAN,27/06/2003,,Superficial,Licencia,Laguna,HUEGHUE,62597.5,0030-2003 GRP-DRA-P /ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0030-2003-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,COMUNIDAD CAMPESINA DE SANTA BARBARA DE CARHUACAYAN,27/06/2003,,Superficial,Licencia,Laguna,HUEGHUE,63597.5,0030-2003 GRP-DRAP/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0030-2003-02.pdf,LAT-11.244/LON-76.2944,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,"PAJUELO MICHUY, JULIAN DANTE",11/12/2003,,Superficial,Licencia,Río,,47085,0103-2003 GRP-DRAP/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0103-2003-01.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,"RAMOS PELAYO, PABLO HERACLIO",29/03/2004,,Superficial,Licencia,Río,,47085,0035-2004 GRP-DRAP/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0035-2004-01.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,EMPRESA PISCICOLA GANADERA RIO TISHGO E.I.R.L.,09/06/2005,Pecuario,Superficial,Licencia,Río,,57230,0056-2005 GRP-DRAP/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0056-2005-01.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,MUNICIPALIDAD DISTRITAL DE PACCHA,09/12/2005,Poblacional,Superficial,Licencia,Manantial,CRISTALPUQUIO,158940,0104-2005 AG-DRA-P/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0104-2005-01.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,"CASO VELASQUEZ, ROBERTO JORGE",28/03/2006,,Superficial,Licencia,Río,TISHGO,1003.75,0011-2006 AG-DRA-P/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0011-2006-01.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,MUNICIPALIDAD DISTRITAL DE SANTA BARBARA DE CARHUACAYAN,29/03/2000,,Superficial,Licencia,Laguna,HUEGHE,28000,0007-2000 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0007-2000-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,MUNICIPALIDAD DISTRITAL DE SANTA BARBARA DE CARHUACAYAN,29/03/2000,,Superficial,Licencia,Laguna,HUEGHUE,28000,0007-2000 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0007-2000-02.pdf,LAT-11.244/LON-76.2944,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,EMPRESA PISCICOLA ARMAS E.I.R.L.,14/08/2000,Pecuario,Superficial,Licencia,Río,TISHGO,0,0017-2000 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0017-2000-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,EMPRESA PISCICOLA ARMAS E.I.R.L.,14/08/2000,Pecuario,Superficial,Licencia,Río,TISHGO,0,0017-2000 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0017-2000-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,24/10/2000,,Superficial,Licencia,Río,TISHGO,0,0024-2000 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0024-2000-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,"RAMOS ROJAS, ELOY DIODORO",28/11/2001,Agrario,Superficial,Licencia,Río,TISHGO,70080,0039-2001 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0039-2001-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,EMPRESA CONTRATISTAS VELIZ S.R.L.,24/04/2002,Agrario,Superficial,Licencia,Río,,87600,0015-2002 CTARP-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0015-2002-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,"EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA ""MANANTIAL AGUA DE VIDA""",03/02/2003,Acuícola,Superficial,Licencia,Río,,244550,0002-2003 GRP-DRAP/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0002-2003-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,COMUNIDAD CAMPESINA DE SANTA BARBARA DE CARHUACAYAN,27/06/2003,,Superficial,Licencia,Laguna,HUEGHUE,62597.5,0030-2003 GRP-DRA-P /ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0030-2003-02.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,COMUNIDAD CAMPESINA DE SANTA BARBARA DE CARHUACAYAN,27/06/2003,,Superficial,Licencia,Laguna,HUEGHUE,63597.5,0030-2003 GRP-DRAP/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0030-2003-02.pdf,LAT-11.244/LON-76.2944,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,"PAJUELO MICHUY, JULIAN DANTE",11/12/2003,,Superficial,Licencia,Río,,47085,0103-2003 GRP-DRAP/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0103-2003-01.pdf,,Sierra
Mantaro,Pasco,Junín,Yauli,JUNINYAULI,"RAMOS PELAYO, PABLO HERACLIO",29/03/2004,,Superficial,Licencia,Río,,47085,0035-2004 GRP-DRAP/ATDRP,http://file2.ana.gob.pe/dir_rada/50/50-RA-0035-2004-01.pdf,,Sierra
