aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Jequetepeque Zarumilla,Chancay Lambayeque,La Libertad,Bolivar,LALIBERTADBOLIVAR,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO-JASS DEL CASERIO EL CEREZO,24/02/2015,Poblacional,Subterráneo,Licencia,Acuífero,,8497,0446-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0446-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,La Libertad,Bolivar,LALIBERTADBOLIVAR,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO-JASS DEL CASERIO PITIPO,24/02/2015,Poblacional,Subterráneo,Licencia,Acuífero,,5957,0447-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0447-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,La Libertad,Bolivar,LALIBERTADBOLIVAR,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO-JASS DEL CASERIO MARIPOSA -PUNTO 2,24/02/2015,Poblacional,Subterráneo,Licencia,Acuífero,,9220,0448-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0448-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,La Libertad,Bolivar,LALIBERTADBOLIVAR,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO-JASS DEL CASERIO SAN ROQUE,24/02/2015,Poblacional,Subterráneo,Licencia,Acuífero,,4533,0449-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0449-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,La Libertad,Bolivar,LALIBERTADBOLIVAR,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) DEL CASERIO SAN CARLOS,24/02/2015,Poblacional,Subterráneo,Licencia,Acuífero,,16294,0451-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0451-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,La Libertad,Bolivar,LALIBERTADBOLIVAR,JUNTA ADMINISTRADORA DE LOS SERVICIOS DE SANEAMIENTO-JASS DE LA LOCALIDAD SAN BERNARDINO POZO N° 02,24/02/2015,Poblacional,Subterráneo,Licencia,Acuífero,,15593,0452-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0452-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,La Libertad,Bolivar,LALIBERTADBOLIVAR,JUNTA ADMINISTRADORA DE AGUA POTABLE Y ALCANTARILLADO-JAAPA DEL SECTOR SAN JUAN DEL CASERIO MUY FINCA PUNTO 9 RAMA CABRERA,24/02/2015,Poblacional,Subterráneo,Licencia,Acuífero,,2628,0453-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0453-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,La Libertad,Bolivar,LALIBERTADBOLIVAR,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO-JASS DEL CASERIO SAN SEBASTIAN,24/02/2015,Poblacional,Subterráneo,Licencia,Acuífero,,5103,0454-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0454-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,La Libertad,Bolivar,LALIBERTADBOLIVAR,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO-JASS DEL CASERIO HUACA DE TORO,24/02/2015,Poblacional,Subterráneo,Licencia,Acuífero,,5103,0455-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0455-2015-03.pdf,,Sierra
Jequetepeque Zarumilla,Chancay Lambayeque,La Libertad,Bolivar,LALIBERTADBOLIVAR,JUNTA ADMINISTRADORA DE LOS SERVICIOS DE SANEAMIENTO-JASS DE LA LOCALIDAD DE SAN BERNARDINO,24/02/2015,Poblacional,Subterráneo,Licencia,Acuífero,,6373,0456-2015 ANA-AAA JZ-V,http://file2.ana.gob.pe/dir_rada/07/07-RD-0456-2015-03.pdf,,Sierra
