aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Marañón,Huamachuco,La Libertad,Pataz,LALIBERTADPATAZ,CONSORCIO MINERO HORIZONTE S.A.,29/03/1996,Minero,Superficial,Licencia,Río,PARCOY,0,0004-1996 DRA-LID/AAPD,http://file2.ana.gob.pe/dir_rada/42/42-RA-0004-1996-01.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Pataz,LALIBERTADPATAZ,MINISTERIO DE PESQUERIA - DIRECCION REGIONAL DE PESQUERIA DE LA REGION LA LIBERTAD,06/01/1997,Acuícola,Superficial,Autorización,Laguna,LA FLORIDA,0,0001-1997 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0001-1997-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Pataz,LALIBERTADPATAZ,MINISTERIO DE PESQUERIA - DIRECCION REGIONAL DE PESQUERIA DE LA REGION LA LIBERTAD,06/01/1997,Acuícola,Superficial,Autorización,Laguna,HUANGACOCHA,0,0001-1997 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0001-1997-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Pataz,LALIBERTADPATAZ,MINISTERIO DE PESQUERIA - DIRECCION REGIONAL DE PESQUERIA DE LA REGION LA LIBERTAD,06/01/1997,Acuícola,Superficial,Autorización,Laguna,SHINGOCOCHA,0,0001-1997 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0001-1997-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Pataz,LALIBERTADPATAZ,MINISTERIO DE PESQUERIA - DIRECCION REGIONAL DE PESQUERIA DE LA REGION LA LIBERTAD,06/01/1997,Acuícola,Superficial,Autorización,Laguna,CUSHURO,0,0001-1997 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0001-1997-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Pataz,LALIBERTADPATAZ,MINISTERIO DE PESQUERIA - DIRECCION REGIONAL DE PESQUERIA DE LA REGION LA LIBERTAD,06/01/1997,Acuícola,Superficial,Autorización,Laguna,NEGRA,0,0001-1997 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0001-1997-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Pataz,LALIBERTADPATAZ,MINISTERIO DE PESQUERIA - DIRECCION REGIONAL DE PESQUERIA DE LA REGION LA LIBERTAD,06/01/1997,Acuícola,Superficial,Autorización,Laguna,COLLAZGON,0,0001-1997 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0001-1997-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Pataz,LALIBERTADPATAZ,MINISTERIO DE PESQUERIA - DIRECCION REGIONAL DE PESQUERIA DE LA REGION LA LIBERTAD,06/01/1997,Acuícola,Superficial,Autorización,Laguna,Sausacocha,0,0001-1997 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0001-1997-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Pataz,LALIBERTADPATAZ,MINISTERIO DE PESQUERIA - DIRECCION REGIONAL DE PESQUERIA DE LA REGION LA LIBERTAD,06/01/1997,Acuícola,Superficial,Autorización,Río,VADO,0,0001-1997 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0001-1997-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Pataz,LALIBERTADPATAZ,MINISTERIO DE PESQUERIA - DIRECCION REGIONAL DE PESQUERIA DE LA REGION LA LIBERTAD,06/01/1997,Acuícola,Superficial,Autorización,Río,GRANDE HUAMACHUCO,0,0001-1997 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0001-1997-02.pdf,,Sierra
