aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,DIRECCION REGIONAL DE PESQUERIA LA LIBERTAD,19/10/1998,Acuícola,Superficial,Autorización,Laguna,Sausacocha,248400,0159-1998 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0159-1998-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,"NEYRA JARA, SANTOS",21/11/2001,Agrario,Superficial,Autorización,Laguna,Sausacocha,0,0406-2001 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0406-2001-01.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,SOCIEDAD MINERA DE RESPONSABILIDAD LIMITADA TRINIDAD DEL CARMEN,15/04/2002,Minero,Superficial,Autorización,Quebrada,LA QUILCHA,0,0069-2002 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0069-2002-01.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,POBLADORES DEL CASERIO HUALANGA,02/12/2002,Poblacional,Superficial,Licencia,Manantial,HUACCHAC,0,0260-2002 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0260-2002-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,"PINO MANTILLA, JUAN ANTONIO",12/12/2002,Industrial,Superficial,Autorización,Río,PARANSHIQUE,0,0262-2002 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0262-2002-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,CASERIO CHOROBAMBA,10/01/2003,Poblacional,Superficial,Licencia,Manantial,LA CABAÑA,18921.6,0001-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0001-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,"LEYVA VALERA, AGUSTIN",15/01/2003,Industrial,Superficial,Autorización,Quebrada,LA RAMADA,16588,0003-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0003-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,"LARA ALFARO, LORENZA",07/03/2003,Industrial,Superficial,Licencia,Quebrada,GANZULLACU,1944,0014-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0014-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,"PEREZ RAMOS, JOSE PORFIRIO",07/03/2003,Industrial,Superficial,Licencia,Quebrada,LA PEÑA,3456,0015-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0015-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,"POLO CAMPOS, AVELINO",10/03/2003,Industrial,Superficial,Licencia,Quebrada,GANZULLACU,1944,0017-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0017-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,COMITÉ DE DEFENSA Y PROGRESO DEL BARRIO CUMBICUS,11/03/2003,Poblacional,Superficial,Licencia,Manantial,TANTAPUSHA,63072,0019-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0019-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,"CONTRERAS SEGURA, GUILLERMO",11/03/2003,Energético,Superficial,Licencia,Quebrada,YANAMAYO,504576,0020-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0020-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DEL AGUA POTAABLE LLUCHUPATA-PIEDRA GRANDE-CALLEJON,17/03/2003,Poblacional,Superficial,Licencia,Manantial,AGUA BLANCA,15768,0022-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0022-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE LOS LAURELES,27/03/2003,Poblacional,Superficial,Licencia,Manantial,LAS ROCAS Y TRES OJOS,56764,0026-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0026-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,MUNICIPALIDAD PROVINCIAL DE SANCHEZ CARRION,14/04/2003,Poblacional,Superficial,Licencia,Río,GRANDE,2.20752e+06,0035-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0035-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE DEL BARRIO BELLA VISTA - PARTE ALTA,24/04/2003,Poblacional,Superficial,Licencia,Manantial,EL TUNEL,15768,0036-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0036-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DEL SISTEMA DE AGUA POTABLE CHUNGALITO - LA CONGA,18/06/2003,Poblacional,Superficial,Licencia,Manantial,LA SHITA,31536,0072-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0072-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,MUNICIPALIDAD DISTRITAL DE SARIN,20/06/2003,Poblacional,Superficial,Licencia,Manantial,POYO CHICO,94608,0074-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0074-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,MUNICIPALIDAD DISTRITAL DE SARIN,20/06/2003,Poblacional,Superficial,Licencia,Manantial,BELEN,0,0074-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0074-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,MUNICIPALIDAD DISTRITAL DE MARCABAL,26/06/2003,Poblacional,Superficial,Licencia,Manantial,AGUA CALIENTE,63072,0077-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0077-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,"CHACON SERIN, ELEUTERIO",22/09/2003,Poblacional,Superficial,Autorización,Manantial,LAS CORTADERAS,15768,0130-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0130-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,HIDRANDINA S.A.,25/09/2003,Energético,Superficial,Licencia,Río,YAMOBAMBA O BADO,3.78432e+07,0134-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0134-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,HIDRANDINA S.A.,25/09/2003,Energético,Superficial,Licencia,Río,YAMOBAMBA O BADO,0,0134-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0134-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,"FERRER GARCIA, FERMIN",17/10/2003,Poblacional,Superficial,Licencia,Manantial,CERRO REDONDO,11448,0191-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0191-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,POBLADORES DE LA PARTE BAJA DEL CASERIO CHOCHOCONDA,29/10/2003,Poblacional,Superficial,Autorización,Manantial,LAS CORTADERAS,0,0208-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0208-2003-03.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE Barrio Mariscal de Orbegoso,19/11/2003,Poblacional,Superficial,Licencia,Manantial,OJO DE PESCADO,47304,0265-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0265-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE - SHAYAPUAYCO,11/12/2003,Poblacional,Superficial,Licencia,Manantial,PEÑA AGUA BLANCA,40997,0320-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0320-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE HUANGABAL,11/12/2003,Poblacional,Superficial,Licencia,Manantial,LA REPRESA,85463,0321-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0321-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE HUANGABAL,11/12/2003,Poblacional,Superficial,Licencia,Manantial,EL ROGOR,0,0321-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0321-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE - QUERQUERPAMPA,12/12/2003,Poblacional,Superficial,Licencia,Manantial,POZO HONDO,6307.2,0327-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0327-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE - QUERQUERPAMPA,12/12/2003,Poblacional,Superficial,Licencia,Manantial,LA HUAYLLA,0,0327-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0327-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE - SANAGORAN,12/12/2003,Poblacional,Superficial,Licencia,Manantial,LA PEÑA,9461,0328-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0328-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE - 24 de Junio,12/12/2003,Poblacional,Superficial,Licencia,Manantial,CHAGON - PALO BLANCO,20183.04,0329-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0329-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE - HUAYOBAMBA PARTE ALTA,12/12/2003,Poblacional,Superficial,Licencia,Manantial,EL CARRIZILLO,11037,0330-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0330-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE - HUAYOBAMBA PARTE ALTA,12/12/2003,Poblacional,Superficial,Licencia,Manantial,LA MANZANA,0,0330-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0330-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE - LLUR,12/12/2003,Poblacional,Superficial,Licencia,Manantial,SHINSHE,7884,0331-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0331-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE - HUAYOBAMBA PARTE BAJA,12/12/2003,Poblacional,Superficial,Licencia,Manantial,CUSHIL,4730,0332-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0332-2003-02.pdf,,Sierra
Marañón,Huamachuco,La Libertad,Sanchez Carrion,LALIBERTADSANCHEZCARRION,JUNTA ADMINISTRADORA DE AGUA POTABLE - CHUGURBAMBA,12/12/2003,Poblacional,Superficial,Licencia,Manantial,EL ALIZO,63072,0333-2003 DRA-LL-AASC/ATDRH,http://file2.ana.gob.pe/dir_rada/42/42-RA-0333-2003-02.pdf,,Sierra
