aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,EMPRESA SOCIEDAD MINERA LAS CUMBRES S.R.L.,20/04/1998,Minero,Superficial,Licencia,Laguna,CONDORSENGA,32000,0018-1998 AG-UAD.LC/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0018-1998-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,SOCIEDAD MINERA DE RESPONSABILIDAD LIMITADA HALCON DE GORGOR Nº 20 LIMA,07/05/1999,Poblacional,Superficial,Licencia,Riachuelo,ULERIAS,3000,0081-1999 AG-UAD.LC/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0081-1999-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,SOCIEDAD MINERA DE RESPONSABILIDAD LIMITADA HALCON DE GORGOR Nº 20 LIMA,16/06/1999,Industrial,Superficial,Licencia,Riachuelo,ULERIAS,2000,0109-1999 AG-UAD.LC/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0109-1999-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,"EMPRESA DE ADMINISTRACION DE ENERGIA. ELECTRICA S.A. ""ADINELSA""",11/11/2004,Energético,Superficial,Licencia,Río,GORGOR,2.4030432e+07,0339-2004 AG-DRA.LC/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0339-2004-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,MUNICIPALIDAD DISTRITAL DE GORGOR,25/10/2005,Poblacional,Superficial,Licencia,Manantial,MONTE,0,0192-2005 AG-GRL.DRA.L/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0192-2005-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,MUNICIPALIDAD DISTRITAL DE GORGOR,25/10/2005,Poblacional,Superficial,Licencia,Manantial,LA FLORIDA,49196.16,0192-2005 AG-GRL.DRA.L/ATDRB,http://file2.ana.gob.pe/dir_rada/16/16-RA-0192-2005-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,"LOLI CORNELIO, ABEL",06/08/2009,Agrario,Superficial,Licencia,Río,PATIVILCA,17171,0476-2009 ANA,http://file2.ana.gob.pe/dir_rada/16/16-RJ-0476-2009-02.pdf,LAT-10.6071/LON-77.3431,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,SN POWER PERU S.A.,05/07/2011,Energético,Superficial,Licencia,Laguna,COLLORCOCHA,500000,0105-2011 ANA-DARH,http://file2.ana.gob.pe/dir_rada/16/16-RD-0105-2011-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,SN POWER PERU S.A.,05/07/2011,Energético,Superficial,Licencia,Laguna,VICONGA,2.8e+07,0106-2011 ANA-DARH,http://file2.ana.gob.pe/dir_rada/16/16-RD-0106-2011-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,SN POWER PERU S.A.,05/07/2011,Energético,Superficial,Licencia,Río,PATIVILCA,6.11622e+08,0107-2011 ANA-DARH,http://file2.ana.gob.pe/dir_rada/16/16-RD-0107-2011-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,SN POWER PERU S.A.,05/07/2011,Energético,Superficial,Licencia,Río,PATIVILCA,0,0107-2011 ANA-DARH,http://file2.ana.gob.pe/dir_rada/16/16-RD-0107-2011-02.pdf,,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,CONTRATISTAS GENERALES EN MINERIA JH S.A.C. - CONGEMIN S.A.C.,30/11/2015,Minero,Superficial,Licencia,Laguna,TOCTO,99023.04,1967-2015 ANA-AAA.CF,http://file2.ana.gob.pe/dir_rada/16/16-RD-1967-2015-03.pdf,UTM WGS84 295145E 8833060N,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO - JASS RAJANYA-VIRUNHUAYRA,26/08/2016,Poblacional,Superficial,Licencia,Manantial,JUYTUCANCHA ,13563.88,1225-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1225-2016-03.pdf,LAT-10.604/LON-77.0979,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,COMUNIDAD CAMPESINA VIRUNHUAIRA I AGUAS,26/08/2016,Agrario,Superficial,Licencia,Quebrada,DE CURI,20869.96,1226-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1226-2016-03.pdf,LAT-10.6348/LON-77.0878,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,JUNTA ADMINISTRADORA DE SERVICIO Y SANEAMIENTO (JASS) DEL CP SANTIAGO DE POQUINA,26/08/2016,Poblacional,Superficial,Licencia,Manantial,HUANCAR,15184,1233-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1233-2016-03.pdf,LAT-10.4237/LON-77.0914,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,JUNTA ADMINISTRADORA DE SERVICIO Y SANEAMIENTO (JASS) DEL CP SANTIAGO DE POQUINA,26/08/2016,Poblacional,Superficial,Licencia,Manantial,RAVE,0,1233-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1233-2016-03.pdf,LAT-10.4237/LON-77.0914,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,COMUNIDAD CAMPESINA DE COCHAS,26/08/2016,Agrario,Superficial,Licencia,Quebrada,PARIAPACCHA,163865.9,1235-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1235-2016-03.pdf,LAT-10.6039/LON-76.9763,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,COMUNIDAD CAMPESINA DE COCHAS,26/08/2016,Agrario,Superficial,Licencia,Quebrada,CASACANCHA,0,1235-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1235-2016-03.pdf,LAT-10.6039/LON-76.9763,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,MUNICIPALIDAD DISTRITAL DE MANAS,26/08/2016,Poblacional,Superficial,Licencia,Manantial,QURURAGRA,2705.36,1236-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1236-2016-03.pdf,LAT-10.6032/LON-76.9454,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,MUNICIPALIDAD DISTRITAL DE GORGOR,26/08/2016,Poblacional,Superficial,Licencia,Manantial,TANBUNAN,3381.7,1237-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1237-2016-03.pdf,LAT-10.5984/LON-76.9712,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,MUNICIPALIDAD PROVINCIAL DE CAJATAMBO,26/08/2016,Poblacional,Superficial,Licencia,Manantial,MACHI I,22034.21,1266-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1266-2016-03.pdf,LAT-10.382/LON-77.0178,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,MUNICIPALIDAD PROVINCIAL DE CAJATAMBO,26/08/2016,Poblacional,Superficial,Licencia,Manantial,MACHI II,0,1266-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1266-2016-03.pdf,LAT-10.382/LON-77.0178,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,COMUNIDAD CAMPESINA DE VIRUNHUAIRA I AGUAS,26/08/2016,Agrario,Superficial,Licencia,Río,,189713.21,1274-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1274-2016-03.pdf,LAT-10.6078/LON-77.0701,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,COMUNIDAD CAMPESINA DE VIRUNHUAYRA - AHUAS,26/08/2016,Agrario,Superficial,Licencia,Quebrada,DE CURI,14306.97,1275-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1275-2016-03.pdf,LAT-10.6351/LON-77.0888,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,COMUNIDAD CAMPESINA DE VIRUNHUAIRA I AGUAS,26/08/2016,Agrario,Superficial,Licencia,Manantial,CANIMANA,108231.41,1276-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1276-2016-03.pdf,LAT-10.606/LON-77.0955,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,COMUNIDAD CAMPESINA DE VIRUNHUAIRA I AGUAS,26/08/2016,Agrario,Superficial,Licencia,Quebrada,CUTA,139900.99,1277-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1277-2016-03.pdf,LAT-10.6049/LON-77.0964,Sierra
Cañete Fortaleza,Barranca,Lima,Cajatambo,LIMACAJATAMBO,"COMUNIDAD CAMPESINA ""MANAS, HUACAR, ANGAS, PAMPAN""",27/08/2016,Agrario,Superficial,Licencia,Quebrada,ARCAMAYO,28928.32,1301-2016 ANA-AAA-CAÑETE-FORTALEZA,http://file2.ana.gob.pe/dir_rada/16/16-RD-1301-2016-03.pdf,LAT-10.583/LON-77.1703,Sierra
