aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Cañete Fortaleza,Chillon - Rimac - Lurin,Lima,Huarochiri,LIMAHUAROCHIRI,THE BARMINE COMPANY.,05/04/1972,Industrial,Subterráneo,Licencia,Acuífero,RIMAC,62059,0290-1972 AG,http://file2.ana.gob.pe/dir_rada/19/19-RS-0290-1972-02.pdf,LAT-11.9231/LON-76.563,Sierra
Cañete Fortaleza,Chillon - Rimac - Lurin,Lima,Huarochiri,LIMAHUAROCHIRI,NEGOCIACIÓN MINERA Y METALÚRGICA LIZANDRO A. PROAÑO S.A.,13/12/1972,Energético,Superficial,Licencia,Río,RIMAC,0,1321-1972 AG,http://file2.ana.gob.pe/dir_rada/19/19-RS-1321-1972-02.pdf,,Sierra
Cañete Fortaleza,Chillon - Rimac - Lurin,Lima,Huarochiri,LIMAHUAROCHIRI,COMUNIDAD CAMPESINA DE LLANAC,15/01/1987,Poblacional,Superficial,Licencia,Manantial,COÑICHA O COÑICHE,31536,0003-1987 AG-DGASI,http://file2.ana.gob.pe/dir_rada/19/19-RD-0003-1987-02.pdf,,Sierra
Cañete Fortaleza,Chillon - Rimac - Lurin,Lima,Huarochiri,LIMAHUAROCHIRI,MINERA PALMA S.A.,14/01/1993,Industrial,Subterráneo,Licencia,Acuífero,LURIN,93312,0003-1993 UADLC/AAL/ATDRCHRLU,http://file2.ana.gob.pe/dir_rada/19/19-RA-0003-1993-02.PDF,,Sierra
Cañete Fortaleza,Chillon - Rimac - Lurin,Lima,Huarochiri,LIMAHUAROCHIRI,UNION PERUANA DE EXPLOSIVOS S.A.,04/10/1993,Industrial,Superficial,Licencia,Río,RIMAC,0,0085-1993 UAD.LC.AAL/ATDRCHRL.,http://file2.ana.gob.pe/dir_rada/19/19-RA-0085-1993-03.pdf,,Sierra
Cañete Fortaleza,Chillon - Rimac - Lurin,Lima,Huarochiri,LIMAHUAROCHIRI,HORNOS ELECTRICOS PERUANOS S.A.,05/07/1995,Industrial,Superficial,Licencia,Río,RIMAC,315000,0065-1995 AG-UAD.LC/ATDR.CHRL,http://file2.ana.gob.pe/dir_rada/19/19-RA-0065-1995-02.pdf,,Sierra
Cañete Fortaleza,Chillon - Rimac - Lurin,Lima,Huarochiri,LIMAHUAROCHIRI,COMUNIDAD CAMPESINA LLANAC,16/05/1996,Agrario,Subterráneo,Licencia,Acuífero,LURIN,194400,0084-1996 AG-UAD.LC/ATDR.CHRL,http://file2.ana.gob.pe/dir_rada/19/19-RA-0084-1996-02.PDF,,Sierra
Cañete Fortaleza,Chillon - Rimac - Lurin,Lima,Huarochiri,LIMAHUAROCHIRI,"JAVIER REYES, JESUS ANASTACIO",03/06/1996,,Subterráneo,Licencia,Acuífero,,0,0093-1996 AG-UAD.LC/ATDR.CHRL,http://file2.ana.gob.pe/dir_rada/19/19-RA-0093-1996-02.pdf,,Sierra
Cañete Fortaleza,Chillon - Rimac - Lurin,Lima,Huarochiri,LIMAHUAROCHIRI,COMPAÑÍA MINERA CASAPALCA S.A.,24/07/1996,Industrial,,Licencia,,,0,0119-1996 AG-UAD.LC/ATDR.CHRL,http://file2.ana.gob.pe/dir_rada/19/19-RA-0119-1996-02.pdf,,Sierra
Cañete Fortaleza,Chillon - Rimac - Lurin,Lima,Huarochiri,LIMAHUAROCHIRI,COMPAÑÍA MINERA CASAPALCA S.A.,24/07/1996,Minero,Superficial,Licencia,Laguna,AGUASCOCHA,1e+06,0119-1996 AG-UAD.LC/ATDR.CHRL,http://file2.ana.gob.pe/dir_rada/19/19-RA-0119-1996-02.pdf,,Sierra
Cañete Fortaleza,Chillon - Rimac - Lurin,Lima,Huarochiri,LIMAHUAROCHIRI,EDEGEL S.A.A.,11/11/1996,Energético,Superficial,Licencia,Río,RIMAC,3.784e+08,0223-1996 AG-UAD.LC-ATDR.CHRL,http://file2.ana.gob.pe/dir_rada/19/19-RA-0223-1996-02.pdf,,Sierra
