aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,19/04/1993,Energético,Superficial,Licencia,Laguna,PRESA PATON,0,0034-1993 UAD-LC/AAM/AHDRE,http://file2.ana.gob.pe/dir_rada/17/17-RA-0034-1993-03.pdf,LAT-10.6672/LON-76.7048,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,19/04/1993,Minero,Superficial,Licencia,Laguna,COLQUICOCHA,0,0035-1993 UAD-LC/AAM/AHDRE,http://file2.ana.gob.pe/dir_rada/17/17-RA-0035-1993-03.pdf,,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,COMPAÑIA MINERA RAURA S.A.,12/01/1994,Industrial,Superficial,Licencia,Laguna,CABALLOCOCHA,0,0001-1994 UAD.LC/AAH/ATDRH,http://file2.ana.gob.pe/dir_rada/17/17-RA-0001-1994-03.pdf,LAT-11.0057/LON-77.6486,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,COMPAÑIA MINERA RAURA S.A.,12/01/1994,Industrial,Superficial,Licencia,Laguna,CABALLACOCHA,0,0005-1994 UAD.LC/AAH/ATDRH,http://file2.ana.gob.pe/dir_rada/17/17-RA-0005-1994-03.pdf,,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,COMPAÑIA MINERA RAURA S.A.,18/12/1996,Energético,Superficial,Licencia,Laguna,Checche Yuraccocha,0,0202-1996 AG.UAD.LC/ATDRH.,http://file2.ana.gob.pe/dir_rada/17/17-RA-0202-1996-02.pdf,LAT-10.6198/LON-76.692,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,COMPAÑIA MINERA RAURA S.A.,07/09/1999,Energético,Superficial,Licencia,Laguna,Chalhuasarina,2e+06,0134-1999 AG.UAD.LC/ATDRH.,http://file2.ana.gob.pe/dir_rada/17/17-RA-0134-1999-02.pdf,LAT-10.5573/LON-76.7255,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,COMPAÑIA MINERA RAURA S.A.,29/10/1999,Energético,Superficial,Licencia,Laguna,Coillarcocha,1.5e+06,0177-1999 AG.UAD.LC/ATDRH.,http://file2.ana.gob.pe/dir_rada/17/17-RA-0177-1999-02.pdf,LAT-10.6198/LON-76.692,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,COMPAÑIA MINERA RAURA S.A.,20/10/1999,Energético,Superficial,Licencia,Laguna,SUCSHAPA,0,0178-1999 AG.UAD.LC/ATDRH.,http://file2.ana.gob.pe/dir_rada/17/17-RA-0178-1999-02.pdf,,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,COMPAÑIA MINERA RAURA S.A.,15/02/2002,Poblacional,Superficial,Licencia,Laguna,NIÑOCOCHA,46560,0033-2002 AG-DRA-LC/AAH-ATDRH,http://file2.ana.gob.pe/dir_rada/17/17-RA-0033-2002-02.pdf,,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,"HENRY MANUEL, ARCOS ROMUCHO",15/02/2002,Acuícola,Superficial,Licencia,Laguna,PATON,0,0037-2002 AG.DRA.LC/AAH-ATDRH,http://file2.ana.gob.pe/dir_rada/17/17-RA-0037-2002-02.pdf,LAT-10.6591/LON-76.7061,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,COMPAÑIA MINERA RAURA S.A.,13/06/2002,Energético,Subterráneo,Licencia,Acuífero,FILTRACION SUCSHAPA,0,0121-2002 AG.DRA.LC/AAH-ATDRH,http://file2.ana.gob.pe/dir_rada/17/17-RA-0121-2002-02.pdf,LAT-10.6591/LON-76.7061,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,COMPAÑIA MINERA RAURA S.A.,13/06/2002,Energético,Superficial,Licencia,Laguna,Vetacocha,1e+06,0121-2002 AG.DRA.LC/AAH-ATDRH,http://file2.ana.gob.pe/dir_rada/17/17-RA-0121-2002-02.pdf,LAT-10.6591/LON-76.7061,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,26/05/2003,Energético,Superficial,Licencia,Laguna, JACHACANCHA,1.5105744e+07,0083-2003 AG.DRA.LC/ATDRH,http://file2.ana.gob.pe/dir_rada/17/17-RA-0083-2003-02.pdf,LAT-10.6848/LON-76.7061,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,"VILLANUEVA MELGAR, TEOFILO",01/03/2004,Acuícola,Superficial,Licencia,Río,TINTA,0,0024-2004 AG.DRA.LC./ATDRH,http://file2.ana.gob.pe/dir_rada/17/17-RA-0024-2004-02.pdf,LAT-10.6686/LON-76.8221,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,EMPRESA MINERA LOS QUENUALES S.A.,07/05/2004,Minero,Superficial,Licencia,Laguna,ESCONDIDA I,0,0063-2004 AG.DRA.LC./ATDRH,http://file2.ana.gob.pe/dir_rada/17/17-RA-0063-2004-02.pdf,,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,EMPRESA MINERA LOS QUENUALES S.A.,07/05/2004,Minero,Superficial,Licencia,Laguna,ESCONDIDA II,0,0063-2004 AG.DRA.LC./ATDRH,http://file2.ana.gob.pe/dir_rada/17/17-RA-0063-2004-02.pdf,,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,EDELNOR S.A.A.,14/12/2004,Energético,Superficial,Licencia,Río,HUAURA,1.7241e+07,0228-2004 AG.DRA.LC./ATDRH,http://file2.ana.gob.pe/dir_rada/17/17-RA-0228-2004-03.pdf,LAT-10.7386/LON-76.8581,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,26/07/2005,Minero,Superficial,Licencia,Laguna,CUTACOCHA,315360,0152-2005 AG.DRA.LC./ATDRH,http://file2.ana.gob.pe/dir_rada/17/17-RA-0152-2005-02.pdf,,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,EMPRESA MINERA LOS QUENUALES S.A.,28/12/2009,Minero,Superficial,Licencia,Laguna,QUELLAYCOCHA,2.723e+06,0231-2009 ANA-ALA HUAURA,http://file2.ana.gob.pe/dir_rada/17/17-RA-0231-2009-02.pdf,UTM WGS84 309162E 8809856N,Sierra
Cañete Fortaleza,Huaura,Lima,Oyon,LIMAOYON,EMPRESA MINERA LOS QUENUALES S.A.,28/12/2009,Minero,Superficial,Licencia,Laguna,URUCOCHA,2.177e+06,0231-2009 ANA-ALA HUAURA,http://file2.ana.gob.pe/dir_rada/17/17-RA-0231-2009-02.pdf,UTM WGS84 309162E 8809856N,Sierra
