aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Cañete Fortaleza,Mala Omas Cañete,Lima,Yauyos,LIMAYAUYOS,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL,09/05/1996,Poblacional,Superficial,Licencia,Laguna,TOROCOCHA,4.5e+06,0015-1996 UAD.LC-ATDRMOC,http://file2.ana.gob.pe/dir_rada/20/20-RA-0015-1996-02.pdf,,Sierra
Cañete Fortaleza,Mala Omas Cañete,Lima,Yauyos,LIMAYAUYOS,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL,09/05/1996,Poblacional,Superficial,Licencia,Laguna,PISCOCOCHA,1.7e+07,0015-1996 UAD.LC-ATDRMOC,http://file2.ana.gob.pe/dir_rada/20/20-RA-0015-1996-02.pdf,,Sierra
Cañete Fortaleza,Mala Omas Cañete,Lima,Yauyos,LIMAYAUYOS,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL,09/05/1996,Poblacional,Superficial,Licencia,Laguna,MULLOCOCHA,1.25e+07,0015-1996 UAD.LC-ATDRMOC,http://file2.ana.gob.pe/dir_rada/20/20-RA-0015-1996-02.pdf,,Sierra
Cañete Fortaleza,Mala Omas Cañete,Lima,Yauyos,LIMAYAUYOS,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL,09/05/1996,Poblacional,Superficial,Licencia,Laguna,PILICOCHA,1.07e+07,0015-1996 UAD.LC-ATDRMOC,http://file2.ana.gob.pe/dir_rada/20/20-RA-0015-1996-02.pdf,,Sierra
Cañete Fortaleza,Mala Omas Cañete,Lima,Yauyos,LIMAYAUYOS,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL,09/05/1996,Poblacional,Superficial,Licencia,Laguna,PARIACOCHA,6e+06,0015-1996 UAD.LC-ATDRMOC,http://file2.ana.gob.pe/dir_rada/20/20-RA-0015-1996-02.pdf,,Sierra
Cañete Fortaleza,Mala Omas Cañete,Lima,Yauyos,LIMAYAUYOS,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL,09/05/1996,Poblacional,Superficial,Licencia,Laguna,CHUSPICOCHA,4.3e+06,0015-1996 UAD.LC-ATDRMOC,http://file2.ana.gob.pe/dir_rada/20/20-RA-0015-1996-02.pdf,,Sierra
Cañete Fortaleza,Mala Omas Cañete,Lima,Yauyos,LIMAYAUYOS,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL,09/05/1996,Poblacional,Superficial,Licencia,Laguna,TICLIACOCHA,1.1e+07,0015-1996 UAD.LC-ATDRMOC,http://file2.ana.gob.pe/dir_rada/20/20-RA-0015-1996-02.pdf,,Sierra
Cañete Fortaleza,Mala Omas Cañete,Lima,Yauyos,LIMAYAUYOS,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL,09/05/1996,Poblacional,Superficial,Licencia,Laguna,PANCARCOCHA,4.65e+07,0015-1996 UAD.LC-ATDRMOC,http://file2.ana.gob.pe/dir_rada/20/20-RA-0015-1996-02.pdf,,Sierra
Cañete Fortaleza,Mala Omas Cañete,Lima,Yauyos,LIMAYAUYOS,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL,09/05/1996,Poblacional,Superficial,Licencia,Laguna,CAICO,3e+06,0015-1996 UAD.LC-ATDRMOC,http://file2.ana.gob.pe/dir_rada/20/20-RA-0015-1996-02.pdf,,Sierra
Cañete Fortaleza,Mala Omas Cañete,Lima,Yauyos,LIMAYAUYOS,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL,09/05/1996,Poblacional,Superficial,Licencia,Laguna,PARPATACHE,2e+06,0015-1996 UAD.LC-ATDRMOC,http://file2.ana.gob.pe/dir_rada/20/20-RA-0015-1996-02.pdf,,Sierra
