aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,PLUSPETROL NORTE S.A.,14/04/2004,Poblacional,Superficial,Licencia,Quebrada,Capahuari,292,0003-2004 INRENA-DRA-L-/ATDR-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0003-2004-02.pdf,LAT-3.31877/LON-76.2253,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,PLUSPETROL NORTE S.A.,14/04/2004,Industrial,Superficial,Licencia,Quebrada,Capahuari,584,0004-2004 INRENA-DRA-L-/ATDR-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0004-2004-02.pdf,LAT-2.67056/LON-76.5035,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,PLUSPETROL NORTE S.A.,14/04/2004,Poblacional,Superficial,Licencia,Río,Pastaza,216737,0005-2004 INRENA-DRA-L-/ATDR-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0005-2004-02.pdf,LAT-2.00072/LON-76.4018,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,PLUSPETROL NORTE S.A.,14/04/2004,Industrial,Superficial,Licencia,Río,Pastaza,199034.5,0006-2004 INRENA-DRA-L-/ATDR-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0006-2004-02.pdf,LAT-2.00072/LON-76.4018,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,PLUSPETROL NORTE S.A.,14/04/2004,Poblacional,Superficial,Licencia,Riachuelo,,292,0007-2004 INRENA-DRA-L-/ATDR-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0007-2004-02.pdf,LAT-2.8868/LON-76.3734,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,Occidental Exploradora del Peru LTD.,24/08/2004,Poblacional,Superficial,Licencia,Río,Morona,9125,0012-2004 INRENA-DRA-L-/ATDR-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0012-2004-02.pdf,LAT-2.93789/LON-77.7149,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,"Occidental Petrolera del Peru LLC, sucursal del Peru.",08/03/2005,Poblacional,Superficial,Licencia,Quebrada,Mashuentsa Wiralkentsa,6570,0002-2005 INRENA- DRA-L-/ATDR-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0002-2005-02.pdf,LAT-2.93789/LON-77.7149,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,"Occidental Petrolera del Peru LLC, sucursal del Peru.",17/03/2005,Industrial,Superficial,Licencia,Quebrada,Mashuentsa Wiralkentsa,9125,0003-2005 INRENA- DRA-L-/ATDR-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0003-2005-02.pdf,LAT-2.93789/LON-77.7149,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,"Occidental Petrolera del Peru LLC, sucursal del Peru.",10/06/2005,Poblacional,Superficial,Licencia,Río,Morona,9125,0009-2005 INRENA- DRA-L-/ATDR-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0009-2005-02.pdf,LAT-2.93789/LON-77.7149,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,PETROLEOS DEL PERU - PETROPERU S.A.,17/10/2006,Poblacional,Superficial,Licencia,Río,Pastaza,17520,0016-2006 INRENA- DRA-L-/ATDR-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0016-2006-02.pdf,LAT-2.80475/LON-76.4587,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,PETROLEOS DEL PERU - PETROPERU S.A.,17/10/2006,Poblacional,Superficial,Licencia,Quebrada,Pagkintsa,29200,0017-2006 INRENA- DRA-L-/ATDR-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0017-2006-02.pdf,LAT-4.63761/LON-77.5353,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,"Talisman Petrolera del peru LLC,. Sucursal del Peru",05/03/2009,Poblacional,Superficial,Autorización,Quebrada,Wiraikentsa,9384,0001-2009 ANA-ALA-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0001-2009-03.pdf,LAT-3.13876/LON-77.3006,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,Talisman Peru B.V. sucursal del Peru,10/02/2010,Poblacional,Superficial,Licencia,Río,Morona,9643.7,0004-2010 ANA-ALA-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0004-2010-02.pdf,LAT-3.22014/LON-77.6039,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,Talisman Peru B.V. sucursal del Peru,05/03/2010,Industrial,Superficial,Autorización,Quebrada,Wiraikentsa,10689,0006-2010 ANA-ALA-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0006-2010-03.pdf,LAT-3.13876/LON-77.3006,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,Talisman Peru B.V. sucursal del Peru,05/03/2010,Industrial,Superficial,Autorización,Quebrada,MORONA,10689,0006-2010 ANA-ALA-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0006-2010-03.pdf,LAT-3.13876/LON-77.3006,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,Talisman Peru B.V. sucursal del Peru,05/03/2010,Poblacional,Superficial,Autorización,Quebrada,Wiraikentsa,9384,0007-2010 ANA-ALA-AA,http://file2.ana.gob.pe/dir_rada/35/35-RA-0007-2010-03.pdf,LAT-3.13876/LON-77.3006,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,Talisman Peru B.V. sucursal del Peru,01/03/2012,Industrial,Superficial,Autorización,Río,SITUCHE,36266.4,0003-2012 ANA-ALA-ALTO AMAZONAS,http://file2.ana.gob.pe/dir_rada/35/35-RA-0003-2012-02.pdf,LAT-3.15433/LON-77.2938,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,PLUSPETROL NORTE S.A.,14/10/2014,Industrial,Superficial,Licencia,Río,Pastaza,641334.2,0106-2014 ANA-ALA-ALTO AMAZONAS,http://file2.ana.gob.pe/dir_rada/35/35-RA-0106-2014-02.pdf,LAT-2.80853/LON-76.4599,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,PACIFIC STRATUS ENERGY DEL PERU S.A.,16/11/2016,Poblacional,Superficial,Licencia,Río,Riachuelo Afluente del rio Pastaza,292,0024-2016 ANA-ALA-ALTO AMAZONAS,http://file2.ana.gob.pe/dir_rada/35/35-RA-0024-2016-02.pdf,LAT-2.86873/LON-76.3533,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,PACIFIC STRATUS ENERGY DEL PERU S.A.,16/11/2016,Industrial,Superficial,Licencia,Río,Pastaza,641334.2,0025-2016 ANA-ALA-ALTO AMAZONAS,http://file2.ana.gob.pe/dir_rada/35/35-RA-0025-2016-02.pdf,LAT-2.80853/LON-76.4599,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,PACIFIC STRATUS ENERGY DEL PERU S.A.,16/11/2016,Poblacional,Superficial,Licencia,Río,Pastaza,216737,0026-2016 ANA-ALA-ALTO AMAZONAS,http://file2.ana.gob.pe/dir_rada/35/35-RA-0026-2016-02.pdf,LAT-2.8073/LON-76.4549,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,NEGOCIOS TELMO SRL,27/01/2017,Industrial,Subterráneo,Autorización,Acuífero,Pozo Tubular Sector Cashacaño,1734.48,0001-2017 ANA-ALA-ALTO AMAZONAS,http://file2.ana.gob.pe/dir_rada/35/35-RA-0001-2017-02.pdf,LAT-4.27968/LON-77.2385,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,GEOPARK PERÚ S.A.C,31/01/2017,Industrial,Superficial,Licencia,Río,Morona,9125,0002-2017 ANA-ALA-ALTO AMAZONAS,http://file2.ana.gob.pe/dir_rada/35/35-RA-0002-2017-02.pdf,LAT-3.22014/LON-77.6039,Selva
Amazonas,Alto Amazonas,Loreto,Datem Del Marañon,LORETODATEMDELMARANON,PACIFIC STRATUS ENERGY DEL PERU S.A.,11/04/2017,Poblacional,Superficial,Licencia,Río,Pastaza,292,0014-2017 ANA-ALA-ALTO AMAZONAS,http://file2.ana.gob.pe/dir_rada/35/35-RA-0014-2017-02.pdf,LAT-2.67056/LON-76.5035,Selva
