aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,COMITE DE AGUA POTABLE TAMAÑA,12/04/1994,Poblacional,Superficial,Licencia,Manantial,PUCARA,31536,0027-1994 MAG/ATDR.T-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0027-1994-02.pdf,,Sierra
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,MUNICIPALIDAD DISTRITAL DE MATALAQUE,09/02/2006,Poblacional,Superficial,Licencia,Quebrada,HUAYRALLA,15768,0033-2006 GR/PR-DRAG-ATDR-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0033-2006-01.pdf,,Sierra
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,COMITE AGUA POTABLE SABAYA,22/08/2006,Poblacional,Superficial,Licencia,Manantial,OCCO IZQUIERDO FUNDO DIEGO,15768,0227-2006 GR/PR-DRAG-ATDR.T-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0227-2006-01.pdf,,Sierra
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,COMITE AGUA POTABLE ANEXO BELLAVISTA,22/08/2006,Poblacional,Superficial,Licencia,Manantial,EL EUCALIPTO,15768,0228-2006 GR/PR-DRAG-ATDR.T-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0228-2006-02.pdf,,Sierra
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,CONSEJO MENOR VILLA SACOHAYA,24/08/2006,Poblacional,Superficial,Licencia,,,11826,0229-2006 GR/DRAG-ATDR.T-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0229-2006-01.pdf,,Sierra
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,CONSEJO MENOR ANASCAPA,24/08/2006,Doméstico,Superficial,Licencia,,CERRO TALABIJON,10512,0232-2006 GR/PR-DRAG-ATDR.T-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0232-2006-01.pdf,,Sierra
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,COMITE AGUA POTABLE ANEXO COLOHUACHE,24/08/2006,Poblacional,Superficial,Licencia,,,18921.6,0233-2006 GR/PR-DRAG-ATDR.T-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0233-2006-01.pdf,,Sierra
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,JUNTA ADMINISTRADORA DE AGUA POTABLE DEL ANEXO DE QUINISTACA,24/08/2006,Poblacional,Superficial,Licencia,,,72217.44,0234-2006 GR/PR-DRAG-ATDR.T-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0234-2006-02.pdf,,Sierra
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,COMITE AGUA POTABLE AMATA,14/09/2006,Poblacional,Superficial,Licencia,Quebrada,QUISCAPAMPA,22075.2,0263-2006 GR/PR-DRAG-ATDR.T-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0263-2006-01.pdf,,Sierra
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,COMITE AGUA POTABLE URINAY ALTO,14/09/2006,Poblacional,Superficial,Licencia,Manantial,EL PINTOR,9460.8,0264-2006 GR/PR-DRAG-ATDR.T-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0264-2006-01.pdf,,Sierra
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,MUNICIPALIDAD DISTRITAL DE QUINISTAQUILLAS,28/11/2006,Doméstico,Superficial,Licencia,Manantial, TASSATA,126144,0329-2006 GR/PR-DRAG-ATDR.T-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0329-2006-03.pdf,,Sierra
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,COMITÉ DE AGUA POTABLE SAN JOSÉ DE RONJADERO,28/02/2007,Doméstico,Superficial,Licencia,,OJO DE AGUA PUENTE RIO AMARILLO,27751.68,0159-2007 GR/PR-DRAG-ATDR.T-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0159-2007-01.pdf,,Sierra
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,COMITE DE AGUA POTABLE SAN JUAN DE DIOS,09/03/2007,Poblacional,Superficial,Licencia,,,15768,0161-2007 GRA/PR-DRAG-ATDR.T-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0161-2007-02.pdf,,Sierra
Caplina Ocoña,Tambo - Alto Tambo,Moquegua,General Sanchez Cerro,MOQUEGUAGENERALSANCHEZCERRO,COMITE DE AGUA POTABLE DE LA COMUNIDAD DE HUARINA,12/06/2007,Poblacional,Superficial,Licencia,Manantial,CHIAN,23652,0291-2007 GRA/PR-DRAG-ATDR.T-AT,http://file2.ana.gob.pe/dir_rada/29/29-RA-0291-2007-02.pdf,,Sierra
