aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Jequetepeque Zarumilla,Motupe Olmos La Leche,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRATIVA DE LOS SERVICIOS DE SANEAMIENTO - JASS DEL CASERIO EL TOCTO,29/02/2016,Poblacional,Superficial,Licencia,Manantial,,18396,0522-2016 ANA-AAA-JZ-V,http://file2.ana.gob.pe/dir_rada/06/06-RD-0522-2016-02.pdf,,Sierra
Jequetepeque Zarumilla,Motupe Olmos La Leche,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO JASS DEL CASERIO EL PASAJE,13/12/2016,Poblacional,Superficial,Licencia,Manantial,EL FAICAL,3135,5234-2016 ANA-AAA JZ V,http://file2.ana.gob.pe/dir_rada/06/06-RD-5234-2016-03.PDF,LAT-5.81065/LON-79.6453,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,SISTEMA DE AGUA POTABLE VILELA PAMPA PARTE BAJA,24/07/2009,Poblacional,Superficial,Licencia,Quebrada,,0,0040-2009 ANA-ALA.ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0040-2009-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE AGUA POTABLE DEL CASERIO DE YUMBE-CANCHAQUE,16/11/2010,Poblacional,Superficial,Licencia,Manantial,PIEDRA LIVORIO,3189,0175-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0175-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DEL SERVICIO DE SANEAMIENTO LAGUNA DEL TORO,30/12/2010,Poblacional,Superficial,Licencia,Manantial,LA CHANTA,4592,0249-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0249-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE AGUA POTABLE DEL CASERIO YUMBE EX PUENTE FIERRO,30/12/2010,Poblacional,Superficial,Licencia,Puquio,PIEDRA LIVORIO,3189,0250-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0250-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE AGUA POTABLE DEL CASERIO LA PACCHA ALTA,30/12/2010,Poblacional,Superficial,Licencia,Manantial,PALTA PUQUIO- PEÑA AZUL,7334,0251-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0251-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE SERVICIO Y SANEAMIENTO SAN FRANCISCO,30/12/2010,Poblacional,Superficial,Licencia,Manantial,PEÑA BLANCA,12117,0252-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0252-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE SERVICIOS Y SANEAMIENTO DEL CASERIO HUEREQUEQUE,30/12/2010,Poblacional,Superficial,Licencia,Manantial,EL TIGRE,1254,0253-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0253-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE SERVICIOS Y SANEAMIENTO DEL CASERIO ANEXO LOS LAURELES,30/12/2010,Poblacional,Superficial,Licencia,Quebrada,EL GALLO,1090,0254-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0254-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE SERVICIOS Y SANEAMIENTO DEL CASERIO AGUA AZUL,30/12/2010,Poblacional,Superficial,Licencia,Manantial,SURUPE,4361,0255-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0255-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE AGUA POTABLE DEL CASERIO ALMIRANTE GRAU,30/12/2010,Poblacional,Superficial,Licencia,Manantial,GUAYAQUIL,2998,0256-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0256-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE AGUA POTABLE DEL CASERIO DE HUABAL,30/12/2010,Poblacional,Superficial,Licencia,Manantial,JAHUAY DEL LIMON,7632,0257-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0257-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERIO PAMPA MINAS,30/12/2010,Poblacional,Superficial,Licencia,Manantial,LA TUNA,4088,0258-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0258-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERIO PAMPA MINAS,30/12/2010,Poblacional,Superficial,Licencia,Manantial,OJO DE MAR,6132.67,0259-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0259-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE SERVICIO Y SANEAMIENTO SAN JUAN DE LA FILADERA,30/12/2010,Poblacional,Superficial,Licencia,Manantial,EL PLATANAL,5178.7,0260-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0260-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE AGUA POTABLE DEL BARRIO SAN MARTIN,30/12/2010,Poblacional,Superficial,Licencia,Manantial,LAS PEÑAS,7653,0261-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0261-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE AGUA POTABLE DE VILLA PALAMBLA,30/12/2010,Poblacional,Superficial,Licencia,Puquio,PALO DE OSO,29846,0262-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0262-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO DEL CASERIO SAN CRISTOBAL,30/12/2010,Poblacional,Superficial,Licencia,Manantial,LA LIMA,14827,0263-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0263-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE SERVICIO DE SANEAMIENTO DEL CASERIO SAN CRISTOBAL,30/12/2010,Poblacional,Superficial,Licencia,Manantial,SERIMBACHE,0,0263-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0263-2010-03.pdf,,Sierra
Jequetepeque Zarumilla,Alto Piura Huancabamba,Piura,Huancabamba,PIURAHUANCABAMBA,JUNTA ADMINISTRADORA DE AGUA POTABLE DEL CASERIO GASPAR,30/12/2010,Poblacional,Superficial,Licencia,Manantial,CAMBITE,3843,0264-2010 ANA-ALA-ALTO PIURA-HUANCABAMBA,http://file2.ana.gob.pe/dir_rada/05/05-RA-0264-2010-03.pdf,,Sierra
