aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Titicaca,Ramis,Puno,Carabaya,PUNOCARABAYA,COMISION DE REGANTES ORURO,12/07/1995,Agrario,Superficial,Licencia,Laguna,,0,0029-1995 RJMC-DRA-JCM-AAM-ATDRR,http://file2.ana.gob.pe/dir_rada/65/65-RA-0029-1995-01.pdf,,Sierra
Titicaca,Ramis,Puno,Carabaya,PUNOCARABAYA,COMISION DE REGANTES ORURO,12/07/1995,Agrario,Superficial,Licencia,Laguna,,0,0029-1995 RJMC-DRA-JCM-AAM-ATDRR,http://file2.ana.gob.pe/dir_rada/65/65-RA-0029-1995-01.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,COMPAÑÍA MINERA KURI KULLU S.A.,22/06/2009,Minero,Superficial,Autorización,Río,OSJO CACHI,0,0479-2009 ANA/ALA H.I.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0479-2009-03.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,EMPRESA DE GENERACION ELECTRICA SAN GABAN S.A.,04/06/2001,Energético,Superficial,Licencia,Río,SAN GABAN,0,0027-2001 DRA.P-AAM-ATDRR.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0027-2001-02.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,EMPRESA DE GENERACION ELECTRICA SAN GABAN S.A.,04/06/2001,Energético,Superficial,Licencia,Río,SAN GABAN,0,0027-2001 DRA.P-AAM-ATDRR.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0027-2001-02.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,MUNICIPALIDAD PROVINCIAL DE CARABAYA - MACUSANI,22/03/2002,Poblacional,Superficial,Autorización,Manantial,UCHUY PINAYA Nº 5,0,0066-2002 PUNO.DRA.P-ATDRR/AT.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0066-2002-01.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,MUNICIPALIDAD PROVINCIAL DE CARABAYA - MACUSANI,22/03/2002,Poblacional,Superficial,Autorización,Manantial,UCHUY PINAYA Nº 4,0,0066-2002 PUNO.DRA.P-ATDRR/AT.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0066-2002-01.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,MUNICIPALIDAD PROVINCIAL DE CARABAYA - MACUSANI,22/03/2002,Poblacional,Superficial,Autorización,Manantial,UCHUY PINAYA Nº 1,568909.44,0066-2002 PUNO.DRA.P-ATDRR/AT.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0066-2002-01.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,MUNICIPALIDAD PROVINCIAL DE CARABAYA - MACUSANI,22/03/2002,Poblacional,Superficial,Autorización,Manantial,UCHUY PINAYA Nº 2,0,0066-2002 PUNO.DRA.P-ATDRR/AT.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0066-2002-01.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,MUNICIPALIDAD PROVINCIAL DE CARABAYA - MACUSANI,22/03/2002,Poblacional,Superficial,Autorización,Manantial,UCHUY PINAYA Nº 3,0,0066-2002 PUNO.DRA.P-ATDRR/AT.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0066-2002-01.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,MUNICIPALIDAD PROVINCIAL DE CARABAYA - MACUSANI,22/03/2002,Poblacional,Superficial,Autorización,Manantial,UCHUY PINAYA Nº 6,0,0066-2002 PUNO.DRA.P-ATDRR/AT.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0066-2002-01.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,MUNICIPALIDAD PROVINCIAL DE CARABAYA - MACUSANI,22/03/2002,Poblacional,Superficial,Autorización,Manantial,UCHUY PINAYA Nº 7,0,0066-2002 PUNO.DRA.P-ATDRR/AT.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0066-2002-01.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,"COMITE DE ADMINISTRACION DE AGUA POTABLE ""PATAPAMPA HATUN PHYNAYA Y JORGE CHAVEZ""",19/05/2003,Poblacional,Superficial,Licencia,Manantial,QUECHAPUJIO UNO,63072,0051-2003 DRA.P-ATDRR/AT.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0051-2003-01.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,"COMITE DE ADMINISTRACION DE AGUA POTABLE ""PATAPAMPA HATUN PHYNAYA Y JORGE CHAVEZ""",19/05/2003,Poblacional,Superficial,Licencia,Manantial,QUECHAPUJIO DOS,0,0051-2003 DRA.P-ATDRR/AT.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0051-2003-01.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,"COMITE DE ADMINISTRACION DE AGUA POTABLE ""PATAPAMPA HATUN PHYNAYA Y JORGE CHAVEZ""",19/05/2003,Poblacional,Superficial,Licencia,Manantial,QUECHAPUJIO TRES,0,0051-2003 DRA.P-ATDRR/AT.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0051-2003-01.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,"COMITE DE ADMINISTRACION DE AGUA POTABLE ""PATAPAMPA HATUN PHYNAYA Y JORGE CHAVEZ""",19/05/2003,Poblacional,Superficial,Licencia,Manantial,QUECHAPUJIO CUATRO,0,0051-2003 DRA.P-ATDRR/AT.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0051-2003-01.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,EMPRESA PESQUERA SAN PEDRO DE CHUM S.R.LTDA.,19/05/2003,Acuícola,Superficial,Licencia,Laguna,SUSUYA,346896,0052-2003 DRA.P-ATDRR/A.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0052-2003-01.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,JUNTA ADMINISTRADORA DE AGUA POTABLE TAYPE CCOCHAHUMA,10/10/2007,Poblacional,Superficial,Licencia,Manantial,ACCAMAYO Nº 1,23652,0106-2007 DRA-P-ATDR H I.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0106-2007-02.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,COMPAÑÍA MINERA KURI KULLU S.A.,22/06/2009,Minero,Superficial,Autorización,Río,OSJO CACHI,9953.28,0479-2009 ANA/ALA H.I.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0479-2009-03.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,COMPAÑÍA MINERA KURI KULLU S.A.,22/06/2009,Minero,Superficial,Autorización,Río,OSJO CACHI,0,0479-2009 ANA/ALA H.I.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0479-2009-03.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,COMPAÑÍA MINERA KURI KULLU S.A.,22/06/2009,Minero,Superficial,Autorización,Río,OSJO CACHI,0,0479-2009 ANA/ALA H.I.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0479-2009-03.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,COMPAÑÍA MINERA KURI KULLU S.A.,22/06/2009,Minero,Superficial,Autorización,Manantial,MATICUYOC CUCHO,0,0479-2009 ANA/ALA H.I.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0479-2009-03.pdf,,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,CONSORCIO CONSTRUCTOR TRAMO 4,30/09/2009,Industrial,Superficial,Autorización,Río,TANTAMAYO CHICO,3410.9,0497-2009 ANA/ALA H.I.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0497-2009-03.pdf,LAT-13.3762/LON-70.3488,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,CONSORCIO CONSTRUCTOR TRAMO 4,30/09/2009,Industrial,Superficial,Autorización,Quebrada,TANTAMAYO CHICO,3410.9,0497-2009 ANA/ALA H.I.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0497-2009-03.pdf,LAT-13.3762/LON-70.3488,Sierra
Madre de Dios,Tambopata - Inambari,Puno,Carabaya,PUNOCARABAYA,CONSORCIO CONSTRUCTOR TRAMO 4,30/09/2009,Industrial,Superficial,Autorización,Quebrada,,3410.9,0497-2009 ANA/ALA H.I.,http://file2.ana.gob.pe/dir_rada/64/64-RA-0497-2009-03.pdf,LAT-13.3762/LON-70.3488,Sierra
