aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA,26/12/2015,Agrario,Superficial,Licencia,Manantial,COSAPA,343200,1748-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1748-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA,26/12/2015,Agrario,Superficial,Licencia,Manantial,COSAPA I,0,1748-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1748-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA,26/12/2015,Agrario,Superficial,Licencia,Manantial,COSAPA II,0,1748-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1748-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA,26/12/2015,Agrario,Superficial,Licencia,Manantial,COSAPA III,0,1748-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1748-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA,26/12/2015,Agrario,Superficial,Licencia,Manantial,GEPACO,0,1748-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1748-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA,26/12/2015,Agrario,Superficial,Licencia,Manantial,CCALA CANCHA,0,1748-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1748-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA,26/12/2015,Agrario,Superficial,Licencia,Manantial,MURUYO,0,1748-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1748-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA DEL DISTRITO DE PIZACOMA,26/12/2015,Agrario,Superficial,Licencia,Manantial,FASIL,676191,1749-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1749-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA DEL DISTRITO DE PIZACOMA,26/12/2015,Agrario,Superficial,Licencia,,JALANTILLANI,0,1749-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1749-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA DEL DISTRITO DE PIZACOMA,26/12/2015,Agrario,Superficial,Licencia,Manantial,SAYTOCCO,0,1749-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1749-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA DEL DISTRITO DE PIZACOMA,26/12/2015,Agrario,Superficial,Licencia,Manantial,CHIAR SALLA,0,1749-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1749-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA DEL DISTRITO DE PIZACOMA,26/12/2015,Agrario,Superficial,Licencia,Manantial,CHIAR SALLA I,0,1749-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1749-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA DEL DISTRITO DE PIZACOMA,26/12/2015,Agrario,Superficial,Licencia,Manantial,COLLPA,0,1749-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1749-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA DEL DISTRITO DE PIZACOMA,26/12/2015,Agrario,Superficial,Licencia,Manantial,MILLUNI,0,1749-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1749-2015-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Puno,El Collao,PUNOELCOLLAO,COMUNIDAD CAMPESINA DE ROSARIO ALTO ANCOMARCA DEL DISTRITO DE PIZACOMA,26/12/2015,Agrario,Superficial,Licencia,Manantial,HUAYLLA,0,1749-2015 ANA/AAA I C-O,http://file2.ana.gob.pe/dir_rada/32/32-RD-1749-2015-02.pdf,,Sierra
