aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,"Empresa Municipal de Agua Potable y Alcantarillado de Yunguyo ""EMAPA YUNGUYO""",03/03/1997,Poblacional,Superficial,Licencia,Manantial,SIQUECCAPIA CAYURANA II,0,0014-1997 ATDRPI/DRA-JCM,http://file2.ana.gob.pe/dir_rada/68/68-RA-0014-1997-02.pdf,,Sierra
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,"Empresa Municipal de Agua Potable y Alcantarillado de Yunguyo ""EMAPA YUNGUYO""",03/03/1997,Poblacional,Superficial,Licencia,Manantial,HUMALLAVITA CAYURANA,0,0014-1997 ATDRPI/DRA-JCM,http://file2.ana.gob.pe/dir_rada/68/68-RA-0014-1997-02.pdf,,Sierra
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,"Empresa Municipal de Agua Potable y Alcantarillado de Yunguyo ""EMAPA YUNGUYO""",03/03/1997,Poblacional,Superficial,Licencia,Manantial,SURALANI,0,0014-1997 ATDRPI/DRA-JCM,http://file2.ana.gob.pe/dir_rada/68/68-RA-0014-1997-02.pdf,,Sierra
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,"Empresa Municipal de Agua Potable y Alcantarillado de Yunguyo ""EMAPA YUNGUYO""",03/03/1997,Poblacional,Superficial,Licencia,Manantial,CHACCARKALANI,0,0014-1997 ATDRPI/DRA-JCM,http://file2.ana.gob.pe/dir_rada/68/68-RA-0014-1997-02.pdf,,Sierra
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,"Empresa Municipal de Agua Potable y Alcantarillado de Yunguyo ""EMAPA YUNGUYO""",03/03/1997,Poblacional,Superficial,Licencia,Manantial,CHUNTANI,0,0014-1997 ATDRPI/DRA-JCM,http://file2.ana.gob.pe/dir_rada/68/68-RA-0014-1997-02.pdf,,Sierra
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,"Empresa Municipal de Agua Potable y Alcantarillado de Yunguyo ""EMAPA YUNGUYO""",03/03/1997,Poblacional,Superficial,Licencia,Manantial,TAMPONI,0,0014-1997 ATDRPI/DRA-JCM,http://file2.ana.gob.pe/dir_rada/68/68-RA-0014-1997-02.pdf,,Sierra
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,"Empresa Municipal de Agua Potable y Alcantarillado de Yunguyo ""EMAPA YUNGUYO""",03/03/1997,Poblacional,Superficial,Licencia,Manantial,Humajalso,0,0014-1997 ATDRPI/DRA-JCM,http://file2.ana.gob.pe/dir_rada/68/68-RA-0014-1997-02.pdf,,Sierra
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,SECTOR TAMBUYO HULLATIRI Y AMAQUILLA,19/05/1997,Poblacional,Superficial,Licencia,Manantial,SAN CRISTOBAL DE HUMAJALSO,0,0025-1997 ATDRPI/DRA-JCM,http://file2.ana.gob.pe/dir_rada/68/68-RA-0025-1997-01.pdf,,Sierra
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,"Asociación de Usuarios del Servicio de Agua Potable, Alcantarillado y Saneamiento Ambiental del Distrito de Ollaraya",20/01/1998,Poblacional,Superficial,Licencia,Manantial,HUAYLLAJOCCO,0,0002-1998 ATDRPI/DRA-JCM,http://file2.ana.gob.pe/dir_rada/68/68-RA-0002-1998-02.pdf,,Sierra
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,"Asociación de Usuarios del Servicio de Agua Potable, Alcantarillado y Saneamiento Ambiental del Distrito de Ollaraya",20/01/1998,Poblacional,Superficial,Licencia,Manantial,HUAYLLAFUJO,0,0002-1998 ATDRPI/DRA-JCM,http://file2.ana.gob.pe/dir_rada/68/68-RA-0002-1998-02.pdf,,Sierra
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,"Asociación de Usuarios del Servicio de Agua Potable, Alcantarillado y Saneamiento Ambiental del Distrito de Ollaraya",20/01/1998,Poblacional,Superficial,Licencia,Manantial,KAYNAFUJO NONACAMAYAFUJO,0,0002-1998 ATDRPI/DRA-JCM,http://file2.ana.gob.pe/dir_rada/68/68-RA-0002-1998-02.pdf,,Sierra
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,IRRIGACION PACHACUTEC,23/08/1999,Agrario,Superficial,Licencia,Quebrada,,0,0048-1999 DRA-P/ATDRPI,http://file2.ana.gob.pe/dir_rada/68/68-RA-0048-1999-02.pdf,,Sierra
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,IRRIGACION HUECCO SANTA ROSA Y CENTRAL,18/04/2000,Agrario,Superficial,Licencia,Manantial,,0,0016-2000 DRA-P/AAPATDRPI,http://file2.ana.gob.pe/dir_rada/68/68-RA-0016-2000-02.pdf,,Sierra
Titicaca,Ilave,Puno,Yunguyo,PUNOYUNGUYO,IRRIGACION HUECCO SANTA ROSA Y CENTRAL,18/04/2000,Agrario,Superficial,Licencia,Manantial,,0,0016-2000 DRA-P/AAPATDRPI,http://file2.ana.gob.pe/dir_rada/68/68-RA-0016-2000-02.pdf,,Sierra
