aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Huallaga,Huallaga Central,San Martin,Bellavista,SANMARTINBELLAVISTA,EMAPA - SAN MARTIN,20/05/2004,Poblacional,Superficial,Licencia,Manantial,VALENCIA,567648,0067-2004 G.R-SM-DRASAM/ATDRHC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0067-2004-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Bellavista,SANMARTINBELLAVISTA,INSTITUCION EDUCATIVA N° 202 - PEDRO RUIZ GALLO,29/05/2013,Poblacional,Subterráneo,Licencia,Acuífero,,63072,0097-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0097-2013-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Bellavista,SANMARTINBELLAVISTA,INSTITUCION EDUCATIVA N° 202 - PEDRO RUIZ GALLO,29/05/2013,Poblacional,Subterráneo,Licencia,Acuífero,,0,0097-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0097-2013-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Bellavista,SANMARTINBELLAVISTA,MUNICIPALIDAD DISTRITAL DE ALTO BIAVO,13/06/2013,Poblacional,Superficial,Licencia,Río,BIAVO,246375,0137-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0137-2013-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Bellavista,SANMARTINBELLAVISTA,MUNICIPALIDAD DISTRITAL DE ALTO BIAVO,13/06/2013,Poblacional,Superficial,Licencia,Río,BIAVO,0,0137-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0137-2013-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Bellavista,SANMARTINBELLAVISTA,CONSORCIO VIAL SAN MARTIN,03/11/2015,Otros Usos,Superficial,Autorización,Río,BIAVO,9447.24,0395-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/43/43-RD-0395-2015-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Bellavista,SANMARTINBELLAVISTA,MUNICIPALIDAD DEL CENTRO POBLADO MENOR DE CRISTINO GARCÍA CARHUAPOMA,26/02/2016,Poblacional,Superficial,Licencia,Manantial,ALARCON,63190.39,0143-2016 ANA-AAA,http://file2.ana.gob.pe/dir_rada/43/43-RD-0143-2016-02.pdf,LAT-6.98159/LON-76.5326,Selva
Huallaga,Huallaga Central,San Martin,Bellavista,SANMARTINBELLAVISTA,MUNICIPALIDAD DEL CENTRO POBLADO MENOR DE CRISTINO GARCÍA CARHUAPOMA,26/02/2016,Poblacional,Superficial,Licencia,Manantial,VISTA ALEGRE,185048.59,0143-2016 ANA-AAA,http://file2.ana.gob.pe/dir_rada/43/43-RD-0143-2016-02.pdf,LAT-6.98159/LON-76.5326,Selva
Huallaga,Huallaga Central,San Martin,Bellavista,SANMARTINBELLAVISTA,CONSORCIO VIAL SAN MARTIN,03/05/2016,Otros Usos,Superficial,Autorización,Río,HUALLAGA,10320,0284-2016 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/43/43-RD-0284-2016-02.pdf,LAT-7.07006/LON-76.5792,Selva
Huallaga,Huallaga Central,San Martin,Bellavista,SANMARTINBELLAVISTA,CONSORCIO VIAL SAN MARTIN,03/05/2016,Otros Usos,Superficial,Autorización,Río,HUALLAGA,5118,0284-2016 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/43/43-RD-0284-2016-02.pdf,LAT-7.07006/LON-76.5792,Selva
