aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,JASS DE LA LOCALIDAD ALTO PALMICHE,29/09/2015,Poblacional,Superficial,Licencia,Quebrada,CHONTAL,22075.2,0328-2005 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0328-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,JASS DEL SECTOR ALTO MIRADOR,08/09/2015,Poblacional,Superficial,Licencia,Manantial,ALTO MIRADOR,5991.84,0284-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0284-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,JASS DE LA COMUNIDAD NATIVA PAMPASACHA,15/09/2015,Poblacional,Superficial,Licencia,Manantial,PUQUIO,21759.84,0289-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0289-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,JASS DEL CASERIO PALMICHE,15/09/2015,Poblacional,Superficial,Licencia,Manantial,SANTA RITA 1,11195.27,0290-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0290-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,JASS DEL CASERIO PALMICHE,15/09/2015,Poblacional,Superficial,Licencia,Manantial,SANTA RITA 2,11195.26,0290-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0290-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,JASS DEL CENTRO POBLADO LA LIBERTAD DEL BAJO MAYO,15/09/2015,Poblacional,Superficial,Licencia,Manantial,LA LIBERTAD,43193.82,0291-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0291-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,JASS DEL CENTRO POBLADO COCHAPATA,15/09/2015,Poblacional,Superficial,Licencia,Manantial,COCHAPATILLO,22390.56,0293-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0293-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,COMITÉ DE USUARIOS DE AGUA DE LA COMUNIDAD NATIVA ALTO SHAMBOYACU,17/09/2015,Poblacional,Superficial,Licencia,Quebrada,CHONTAL,37527.84,0296-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0296-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,JASS DEL CASERIO MIRA MAYO LAS PALMERAS,17/09/2015,Poblacional,Superficial,Licencia,Quebrada,MIRA MAYO,3468.96,0298-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0298-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,MUNICIPALIDAD DISTRITAL SAN ROQUE DE CUMBAZA,21/09/2015,Poblacional,Superficial,Licencia,Quebrada,BORGENIO,68748.48,0311-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0311-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,JASS DE LA COMUNIDAD DE LA NUEVA TACABAMBA,21/09/2015,Poblacional,Superficial,Licencia,Quebrada,GALINDONA,44781.12,0313-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0313-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,JASS DEL CASERIO RAMON CASTILLA,21/09/2015,Poblacional,Superficial,Licencia,Quebrada,CONDORYAQUILLO 2,2838.24,0315-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0315-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,JASS DEL CASERIO RAMON CASTILLA,21/09/2015,Poblacional,Superficial,Licencia,Quebrada,CONDORYAQUILLO 1,2838.24,0315-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0315-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,JASS DEL CASERIO DE SANTA MARIA,29/09/2015,Poblacional,Superficial,Licencia,Manantial,PERICOTE,29959.2,0324-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0324-2015-02.pdf,,Sierra
Amazonas,Alto Amazonas,San Martin,Lamas,SANMARTINLAMAS,JASS DE LA COMUNIDAD NATIVA PUCALLPA,12/10/2015,Poblacional,Superficial,Licencia,Manantial,PUCALLPARARCA,17029.44,0341-2015 ANA/AAA-HUALLAGA,http://file2.ana.gob.pe/dir_rada/35/35-RD-0341-2015-02.pdf,,Sierra
