aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Huallaga,Huallaga Central,San Martin,Tocache,SANMARTINTOCACHE,MUNICIPALIDAD PROVINCIAL DE TOCACHE,11/10/2010,Poblacional,Superficial,Licencia,Quebrada,Roca Fuerte,958694.4,0112-2010 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0112-2010-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Tocache,SANMARTINTOCACHE,PALMAS DEL ESPINO S.A.,24/05/2013,Poblacional,Subterráneo,Licencia,Acuífero,,5256,0089-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0089-2013-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Tocache,SANMARTINTOCACHE,PALMAS DEL ESPINO S.A.,06/06/2013,Poblacional,Subterráneo,Licencia,Acuífero,,5256,0120-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0120-2013-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Tocache,SANMARTINTOCACHE,PALMAS DEL ESPINO S.A.,06/06/2013,Poblacional,Subterráneo,Licencia,Acuífero,,3679.2,0121-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0121-2013-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Tocache,SANMARTINTOCACHE,PALMAS DEL ESPINO S.A.,06/06/2013,Poblacional,Subterráneo,Licencia,Acuífero,,6570,0122-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0122-2013-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Tocache,SANMARTINTOCACHE,PALMAS DEL ESPINO S.A.,06/06/2013,Poblacional,Subterráneo,Licencia,Acuífero,,6438.6,0123-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0123-2013-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Tocache,SANMARTINTOCACHE,PALMAS DEL ESPINO S.A.,06/06/2013,Poblacional,Subterráneo,Licencia,Acuífero,,9855,0124-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0124-2013-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Tocache,SANMARTINTOCACHE,PALMAS DEL ESPINO S.A.,06/06/2013,Poblacional,Subterráneo,Licencia,Acuífero,,5256,0125-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0125-2013-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Tocache,SANMARTINTOCACHE,PALMAS DEL ESPINO S.A.,06/06/2013,Poblacional,Subterráneo,Licencia,Acuífero,,6570,0126-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0125-2013-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Tocache,SANMARTINTOCACHE,PALMAS DEL ESPINO S.A.,06/06/2013,Poblacional,Subterráneo,Licencia,Acuífero,,6570,0127-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0126-2013-02.pdf,,Selva
Huallaga,Huallaga Central,San Martin,Tocache,SANMARTINTOCACHE,PALMAS DEL ESPINO S.A.,07/06/2013,Poblacional,Subterráneo,Licencia,Acuífero,,4467.6,0128-2013 ANA/ALA-HC,http://file2.ana.gob.pe/dir_rada/43/43-RA-0128-2013-02.pdf,,Selva
