aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,SOUTHERN PERU COPPER CORPORATION,13/04/1977,Doméstico,Superficial,Licencia,Quebrada,HONDA,0,0405-1977 AG/DGA,http://file2.ana.gob.pe/dir_rada/31/31-RM-0405-1977-01.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,SOUTHERN PERU COPPER CORPORATION,13/04/1977,Industrial,Superficial,Licencia,Río,CINTO,0,0405-1977 AG/DGA,http://file2.ana.gob.pe/dir_rada/31/31-RM-0405-1977-01.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,SOUTHERN PERU COPPER CORPORATION,15/06/1983,Minero,Subterráneo,Licencia,,,0,0062-1983 DGASI-AU-SUTD,http://file2.ana.gob.pe/dir_rada/31/31-RD-0062-1983-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,SOUTHERN PERU COPPER CORPORATION,15/06/1983,Minero,Subterráneo,Licencia,,,1.36188e+07,0062-1983 DGASI-AU-SUTD,http://file2.ana.gob.pe/dir_rada/31/31-RD-0062-1983-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,SOUTHERN PERU COPPER CORPORATION,15/06/1983,Minero,Subterráneo,Licencia,,,0,0062-1983 DGASI-AU-SUTD,http://file2.ana.gob.pe/dir_rada/31/31-RD-0062-1983-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,SOUTHERN PERU COPPER CORPORATION,15/06/1983,Minero,Subterráneo,Licencia,,,0,0062-1983 DGASI-AU-SUTD,http://file2.ana.gob.pe/dir_rada/31/31-RD-0062-1983-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,SOUTHERN PERU COPPER CORPORATION,15/06/1983,Poblacional,Superficial,Licencia,Río,CUENCA HUAYTIRE-GENTILAR,13618.8,0062-1983 DGASI-AU-SUTD,http://file2.ana.gob.pe/dir_rada/31/31-RD-0062-1983-02.pdf,LAT-16.8954/LON-70.3524,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,SOUTHERN PERU COPPER CORPORATION,15/06/1983,Energético,Superficial,Licencia,Río,CUENCA HUAYTIRE-GENTILAR,0,0062-1983 DGASI-AU-SUTD,http://file2.ana.gob.pe/dir_rada/31/31-RD-0062-1983-02.pdf,LAT-16.9295/LON-70.2998,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,SOUTHERN PERU COPPER CORPORATION,20/04/1988,Poblacional,Superficial,Licencia,Laguna,SUCHES,0,0053-1988 AG-DGAS,http://file2.ana.gob.pe/dir_rada/31/31-RD-0053-1988-02.pdf,LAT-16.9316/LON-70.399,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,SOUTHERN PERU COPPER CORPORATION,20/01/1994,Minero,,Licencia,,,0,0002-1994 DISRAG/ATDRL-S,http://file2.ana.gob.pe/dir_rada/31/31-RA-0002-1994-04.pdf,LAT-16.9302/LON-70.4234,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,COMITE DE AGUA POTABLE DEL ANEXO JIRATA,13/11/1995,Poblacional,Superficial,Licencia,Río,VERTIENTE DE CHUÑAVE,0,0415-1995 DISRAGT-ATDRL/S,http://file2.ana.gob.pe/dir_rada/31/31-RA-0415-1995-01.pdf,LAT-17.3069/LON-70.1941,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,COMITE DE AGUA POTABLE DEL ANEXO DE BUENA VISTA,21/12/1995,Poblacional,Superficial,Licencia,Río,HUMALANTE,0,0444-1995 DISRAGT-ATDRL/S,http://file2.ana.gob.pe/dir_rada/31/31-RA-0444-1995-02.pdf,LAT-17.331/LON-70.2002,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,COMITE DE AGUA POTABLE DEL ANEXO DE TALACA,10/08/1996,Poblacional,Superficial,Licencia,Vertiente,TIRICUCHO,0,0139-1996 DISRAGT-ATDRL/S,http://file2.ana.gob.pe/dir_rada/31/31-RA-0139-1996-02.pdf,LAT-17.275/LON-70.253,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,COMITÉ DE AGUA POTABLE DE LA COMUNIDAD CAMPAESINA DE HUAYTIRE,02/09/1996,Poblacional,Superficial,Licencia,Vertiente,CHAULLAPUQUIO,0,0157-1996 DISRAGT-ATDRL/S,http://file2.ana.gob.pe/dir_rada/31/31-RA-0157-1996-02.pdf,LAT-16.939/LON-70.3101,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,EMPRESA DE GENERACION ELECTRICA DEL SUR EGESUR S.A.,09/10/1996,Energético,Superficial,Licencia,Laguna,ARICOTA,0,0173-1996 DISRAGT-ATDRL/S,http://file2.ana.gob.pe/dir_rada/31/31-RA-0173-1996-03.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,EMPRESA DE GENERACION ELECTRICA DEL SUR EGESUR S.A.,09/10/1996,Energético,Superficial,Licencia,Laguna,ARICOTA,0,0173-1996 DISRAGT-ATDRL/S,http://file2.ana.gob.pe/dir_rada/31/31-RA-0173-1996-03.pdf,LAT-17.374/LON-70.305,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,EMPRESA DE GENERACION ELECTRICA DEL SUR EGESUR S.A.,09/10/1996,Energético,Superficial,Licencia,Laguna,ARICOTA,0,0173-1996 DISRAGT-ATDRL/S,http://file2.ana.gob.pe/dir_rada/31/31-RA-0173-1996-03.pdf,LAT-17.374/LON-70.305,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,COMITE DE REGANTES JIRATA BUENA VISTA,20/01/2000,Agrario,Superficial,Licencia,Río,,0,0007-2000 CTART/DRAT-ATDRL/S,http://file2.ana.gob.pe/dir_rada/31/31-RA-0007-2000-02.pdf,,Sierra
Caplina Ocoña,Caplina - Locumba ,Tacna,Candarave,TACNACANDARAVE,JUNTA DE USUARIOS CANDARAVE,27/08/2002,Agrario,Superficial,Licencia,Río,,0,0151-2002 CTART/DRAT-ATDRL/S,http://file2.ana.gob.pe/dir_rada/31/31-RA-0151-2002-02.pdf,,Sierra
