aaa,ala,departamento,provincia,key,usuario,fecha,tipodeuso,clasedefuente,clasedederecho,tipodefuente,nombredefuente,volumen,resolucion,linkpdf,coordenadas,region
Ucayali,Pucallpa,Ucayali,Padre Abad,UCAYALIPADREABAD,THE MAPLE GAS CORPORATION DEL PERU - SUCURSAL PERUANA.,20/07/1998,Industrial,Superficial,Licencia,Quebrada,UCAYALI,91003.02,0008-1998 RA Nº 0008-1998-CTARU-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/44/44-RA-0008-1998-02.pdf,,Selva
Ucayali,Pucallpa,Ucayali,Padre Abad,UCAYALIPADREABAD,THE MAPLE GAS CORPORATION DEL PERU - SUCURSAL PERUANA.,20/07/1998,,Subterráneo,Licencia,Acuífero,PUCALLPA,54714.96,0009-1998 RA Nº 0009-1998-CTARU-DRA/ATDRP,http://file2.ana.gob.pe/dir_rada/44/44-RA-0009-1998-02.pdf,,Selva
Ucayali,Pucallpa,Ucayali,Padre Abad,UCAYALIPADREABAD,TERMOSELVA SRL.,07/03/2002,Industrial,Subterráneo,Licencia,Acuífero,AGUAYTIA,2058.36,0019-2002 RA Nº 0019-2002-CTARU-DRAU/ATDR-P,http://file2.ana.gob.pe/dir_rada/44/44-RA-0019-2002-02.pdf,LAT-9.02908/LON-75.4928,Selva
Ucayali,Pucallpa,Ucayali,Padre Abad,UCAYALIPADREABAD,TERMOSELVA SRL.,08/03/2002,,Subterráneo,Licencia,Acuífero,AGUAYTIA,11952,0022-2002 RA Nº 0022-2002-CTARU-DRAU/ATDR-P,http://file2.ana.gob.pe/dir_rada/44/44-RA-0022-2002-02.pdf,LAT-9.02905/LON-75.4935,Selva
Ucayali,Pucallpa,Ucayali,Padre Abad,UCAYALIPADREABAD,SERVICENTRO UCAYALI. - AGUAYTIA.,24/04/2002,Industrial,Subterráneo,Licencia,Acuífero,PUCALLPA,4835.52,0035-2002 RA Nº 0035-2002-CTARU-DRAU/ATDR-P,http://file2.ana.gob.pe/dir_rada/44/44-RA-0035-2002-02.pdf,LAT-9.05281/LON-75.5264,Selva
Ucayali,Pucallpa,Ucayali,Padre Abad,UCAYALIPADREABAD,COMITÉ DE USUARIOS DE AGUAS - SECTOR BARRIO UNIDO.,17/03/2003,,Superficial,Licencia,Quebrada,BOLA DE ORO,15768,0024-2003 RA Nº 0024-2003-CTARU-DRAU/ATDR-P,http://file2.ana.gob.pe/dir_rada/44/44-RA-0024-2003-02.pdf,LAT-9.05112/LON-75.4806,Selva
Ucayali,Pucallpa,Ucayali,Padre Abad,UCAYALIPADREABAD,ODEBRECHT PERU INGENIERIA Y CONSTRUCCION S.A.C.,08/08/2003,,Subterráneo,Licencia,Acuífero,PUCALLPA,43729.92,0071-2003 RA Nº 0071-2003-CTARU-DRAU/ATDR-P,http://file2.ana.gob.pe/dir_rada/44/44-RA-0071-2003-02.pdf,LAT-9.06064/LON-75.6393,Selva
Ucayali,Pucallpa,Ucayali,Padre Abad,UCAYALIPADREABAD,ODEBRECHT PERU INGENIERIA Y CONSTRUCCION S.A.C.,08/08/2003,Industrial,Superficial,Licencia,Río,YURAC,15768,0072-2003 RA Nº 0072-2003-CTARU-DRAU/ATDR-P,http://file2.ana.gob.pe/dir_rada/44/44-RA-0072-2003-02.pdf,,Selva
Ucayali,Pucallpa,Ucayali,Padre Abad,UCAYALIPADREABAD,"NIETO FARES , MARTHA.",23/09/2003,,Subterráneo,Licencia,Acuífero,AGUAYTIA,246.37,0096-2003 RA Nº 0096-2003-CTARU-DRAU/ATDR-P,http://file2.ana.gob.pe/dir_rada/44/44-RA-0096-2003-02.pdf,LAT-9.04898/LON-75.5236,Selva
Ucayali,Pucallpa,Ucayali,Padre Abad,UCAYALIPADREABAD,"ITAKURA TAMAKI,MARIO.",23/09/2003,,Subterráneo,Licencia,Acuífero,AGUAYTIA,985.5,0097-2003 RA Nº 0097-2003-CTARU-DRAU/ATDR-P,http://file2.ana.gob.pe/dir_rada/44/44-RA-0097-2003-02.pdf,LAT-9.04974/LON-75.522,Selva
